"Australia,"				
				
Year	Age	Female	Male	Total
1921	0	0.05999	0.07653	0.06826
1921	1	0.01206	0.01434	0.0132
1921	2	0.00578	0.00605	0.005915
1921	3	0.00289	0.0042	0.003545
1921	4	0.00325	0.00325	0.00325
1921	5	0.00252	0.00251	0.002515
1921	6	0.00248	0.00222	0.00235
1921	7	0.00181	0.00192	0.001865
1921	8	0.00138	0.00191	0.001645
1921	9	0.00137	0.00142	0.001395
1921	10	0.00125	0.00151	0.00138
1921	11	0.00116	0.0021	0.00163
1921	12	0.00113	0.00164	0.001385
1921	13	0.00142	0.00155	0.001485
1921	14	0.00144	0.00181	0.001625
1921	15	0.0016	0.00146	0.00153
1921	16	0.00181	0.00202	0.001915
1921	17	0.00217	0.00252	0.002345
1921	18	0.00248	0.00257	0.002525
1921	19	0.0022	0.00241	0.002305
1921	20	0.00298	0.0025	0.00274
1921	21	0.00254	0.00326	0.0029
1921	22	0.00254	0.00335	0.002945
1921	23	0.00326	0.00324	0.00325
1921	24	0.00314	0.00366	0.0034
1921	25	0.00353	0.00335	0.00344
1921	26	0.00342	0.00373	0.003575
1921	27	0.00397	0.00354	0.003755
1921	28	0.00383	0.00384	0.003835
1921	29	0.00409	0.00415	0.00412
1921	30	0.00395	0.00394	0.003945
1921	31	0.00327	0.00456	0.003915
1921	32	0.00442	0.00442	0.00442
1921	33	0.00489	0.00467	0.00478
1921	34	0.00476	0.00446	0.00461
1921	35	0.00438	0.00584	0.00511
1921	36	0.00498	0.00513	0.005055
1921	37	0.00555	0.00537	0.00546
1921	38	0.00649	0.00601	0.00625
1921	39	0.00544	0.00687	0.006155
1921	40	0.00561	0.00756	0.006585
1921	41	0.00483	0.00575	0.00529
1921	42	0.00588	0.0076	0.00674
1921	43	0.00587	0.00818	0.007025
1921	44	0.00602	0.00755	0.006785
1921	45	0.00673	0.01037	0.00855
1921	46	0.00617	0.00848	0.007325
1921	47	0.00685	0.01028	0.008565
1921	48	0.00717	0.01096	0.009065
1921	49	0.00758	0.00957	0.008575
1921	50	0.00912	0.01313	0.011125
1921	51	0.00738	0.01088	0.00913
1921	52	0.00982	0.01236	0.01109
1921	53	0.00917	0.01407	0.01162
1921	54	0.01188	0.01482	0.01335
1921	55	0.01134	0.01516	0.01325
1921	56	0.01312	0.01917	0.016145
1921	57	0.01246	0.01773	0.015095
1921	58	0.01376	0.02179	0.017775
1921	59	0.01375	0.02127	0.01751
1921	60	0.01683	0.03069	0.02376
1921	61	0.01518	0.02345	0.019315
1921	62	0.01923	0.02792	0.023575
1921	63	0.02264	0.03156	0.0271
1921	64	0.02293	0.03079	0.02686
