"Austria,"				
				
Year	Age	Female	Male	Total
1947	0	0.07981	0.0994	0.089605
1947	1	0.00657	0.00845	0.00751
1947	2	0.00425	0.00469	0.00447
1947	3	0.00337	0.0034	0.003385
1947	4	0.00235	0.0027	0.002525
1947	5	0.00174	0.00195	0.001845
1947	6	0.00131	0.00152	0.001415
1947	7	0.00132	0.00169	0.001505
1947	8	0.00115	0.00149	0.00132
1947	9	0.00084	0.001	0.00092
1947	10	0.00116	0.00134	0.00125
1947	11	0.00096	0.00164	0.0013
1947	12	0.00092	0.00104	0.00098
1947	13	0.00118	0.00109	0.001135
1947	14	0.00114	0.00146	0.0013
1947	15	0.00131	0.0017	0.001505
1947	16	0.00165	0.0016	0.001625
1947	17	0.00183	0.00234	0.002085
1947	18	0.00167	0.00255	0.00211
1947	19	0.00203	0.00319	0.00261
1947	20	0.00254	0.00325	0.002895
1947	21	0.00283	0.00313	0.00298
1947	22	0.00238	0.00379	0.003085
1947	23	0.00224	0.00384	0.00304
1947	24	0.00269	0.00354	0.003115
1947	25	0.00216	0.00337	0.002765
1947	26	0.00285	0.00337	0.00311
1947	27	0.00249	0.00368	0.003085
1947	28	0.00222	0.00316	0.00269
1947	29	0.00209	0.00311	0.0026
1947	30	0.00296	0.00377	0.003365
1947	31	0.0027	0.00338	0.00304
1947	32	0.00299	0.00383	0.00341
1947	33	0.00282	0.00334	0.00308
1947	34	0.00312	0.00409	0.003605
1947	35	0.00292	0.00334	0.00313
1947	36	0.00292	0.00435	0.003635
1947	37	0.00311	0.00446	0.003785
1947	38	0.00359	0.00513	0.00436
1947	39	0.00354	0.0049	0.00422
1947	40	0.0041	0.00507	0.004585
1947	41	0.00395	0.00503	0.00449
1947	42	0.00395	0.00583	0.00489
1947	43	0.00389	0.00606	0.004975
1947	44	0.00461	0.0064	0.005505
1947	45	0.00453	0.00725	0.00589
1947	46	0.00496	0.00804	0.0065
1947	47	0.0053	0.00835	0.006825
1947	48	0.00634	0.00964	0.00799
1947	49	0.00641	0.00946	0.007935
1947	50	0.00685	0.01139	0.00912
1947	51	0.00708	0.01153	0.009305
1947	52	0.00736	0.01367	0.010515
1947	53	0.00701	0.01321	0.01011
1947	54	0.00825	0.01311	0.01068
1947	55	0.0094	0.01631	0.012855
1947	56	0.00958	0.01855	0.014065
1947	57	0.01177	0.01827	0.01502
1947	58	0.0115	0.01936	0.01543
1947	59	0.01397	0.02104	0.017505
1947	60	0.01337	0.02352	0.018445
1947	61	0.0167	0.02502	0.02086
1947	62	0.01773	0.02766	0.022695
1947	63	0.02065	0.02897	0.02481
1947	64	0.02182	0.03278	0.0273
1947	65	0.02463	0.03573	0.03018
1947	66	0.02752	0.0384	0.03296
1947	67	0.02897	0.04072	0.034845
1947	68	0.03285	0.04733	0.04009
1947	69	0.0376	0.05163	0.044615
1947	70	0.0431	0.0548	0.04895
1947	71	0.04673	0.05814	0.052435
1947	72	0.05184	0.06499	0.058415
1947	73	0.05576	0.07508	0.06542
1947	74	0.06334	0.07411	0.068725
1947	75	0.07433	0.09054	0.082435
1947	76	0.07992	0.09771	0.088815
1947	77	0.08884	0.10866	0.09875
1947	78	0.09954	0.11742	0.10848
1947	79	0.11025	0.13232	0.121285
1947	80	0.12666	0.14613	0.136395
1947	81	0.13833	0.1504	0.144365
1947	82	0.13856	0.1772	0.15788
1947	83	0.16792	0.19085	0.179385
1947	84	0.18537	0.20192	0.193645
1947	85	0.18675	0.23694	0.211845
1947	86	0.21467	0.25141	0.23304
1947	87	0.24233	0.28603	0.26418
1947	88	0.24968	0.30305	0.276365
1947	89	0.30442	0.32492	0.31467
1947	90	0.30349	0.37314	0.338315
1947	91	0.31896	0.38148	0.35022
1947	92	0.34297	0.41006	0.376515
1947	93	0.36782	0.43925	0.403535
1947	94	0.39338	0.46888	0.43113
1947	95	0.41954	0.49872	0.45913
1947	96	0.44617	0.52858	0.487375
1947	97	0.4731	0.55823	0.515665
1947	98	0.50019	0.58747	0.54383
1947	99	0.52728	0.61611	0.571695
1947	100	0.55422	0.64396	0.59909
1947	101	0.58083	0.67088	0.625855
1947	102	0.60699	0.69671	0.65185
1947	103	0.63254	0.72136	0.67695
1947	104	0.65737	0.74474	0.701055
1947	105	0.68137	0.7668	0.724085
1947	106	0.70445	0.78749	0.74597
1947	107	0.72652	0.80681	0.766665
1947	108	0.74754	0.82476	0.78615
1947	109	0.76745	0.84137	0.80441
1947	110+	0.78625	0.85669	0.82147
1948	0	0.07327	0.09421	0.08374
1948	1	0.0056	0.00671	0.006155
