"Belgium,"				
				
Year	Age	Female	Male	Total
1841	0	0.15159	0.18652	0.169055
1841	1	0.07492	0.07413	0.074525
1841	2	0.0417	0.03983	0.040765
1841	3	0.02546	0.02333	0.024395
1841	4	0.01848	0.01707	0.017775
1841	5	0.01392	0.0124	0.01316
1841	6	0.01283	0.0102	0.011515
1841	7	0.01094	0.008	0.00947
1841	8	0.00881	0.00701	0.00791
1841	9	0.00814	0.00696	0.00755
1841	10	0.00739	0.00603	0.00671
1841	11	0.00676	0.00519	0.005975
1841	12	0.0065	0.0049	0.0057
1841	13	0.0069	0.00495	0.005925
1841	14	0.00747	0.0051	0.006285
1841	15	0.00817	0.00539	0.00678
1841	16	0.00883	0.0059	0.007365
1841	17	0.00909	0.00664	0.007865
1841	18	0.00924	0.00757	0.008405
1841	19	0.00922	0.00863	0.008925
1841	20	0.0092	0.00994	0.00957
1841	21	0.00925	0.0112	0.010225
1841	22	0.00938	0.01203	0.010705
1841	23	0.0099	0.01276	0.01133
1841	24	0.00936	0.01143	0.010395
1841	25	0.00945	0.01031	0.00988
1841	26	0.01026	0.01016	0.01021
1841	27	0.01015	0.00933	0.00974
1841	28	0.01047	0.00913	0.0098
1841	29	0.0104	0.00881	0.009605
1841	30	0.0101	0.00851	0.009305
1841	31	0.01053	0.0091	0.009815
1841	32	0.01089	0.00957	0.01023
1841	33	0.01108	0.00939	0.010235
1841	34	0.01058	0.00843	0.009505
1841	35	0.0111	0.00834	0.00972
1841	36	0.01264	0.00922	0.01093
1841	37	0.01293	0.00933	0.01113
1841	38	0.01342	0.00972	0.01157
1841	39	0.01307	0.00956	0.011315
1841	40	0.01275	0.0095	0.011125
1841	41	0.01369	0.01067	0.01218
1841	42	0.01442	0.01181	0.013115
1841	43	0.01428	0.01185	0.013065
1841	44	0.01276	0.01072	0.01174
1841	45	0.01254	0.01089	0.011715
1841	46	0.01409	0.01303	0.01356
1841	47	0.01409	0.0137	0.013895
1841	48	0.01439	0.01447	0.01443
1841	49	0.0146	0.01499	0.014795
1841	50	0.01532	0.01559	0.015455
1841	51	0.01727	0.01759	0.01743
1841	52	0.01892	0.01973	0.019325
1841	53	0.01956	0.02085	0.020205
1841	54	0.01731	0.01858	0.017945
1841	55	0.01701	0.0187	0.017855
1841	56	0.02014	0.02294	0.02154
1841	57	0.02106	0.02449	0.022775
1841	58	0.02224	0.02596	0.0241
1841	59	0.02355	0.02724	0.025395
1841	60	0.02559	0.02818	0.026885
1841	61	0.02944	0.0317	0.03057
1841	62	0.03406	0.03729	0.035675
1841	63	0.03706	0.04113	0.039095
1841	64	0.03619	0.04011	0.03815
1841	65	0.03898	0.04332	0.04115
1841	66	0.04638	0.05222	0.0493
1841	67	0.04834	0.05462	0.05148
1841	68	0.05225	0.05764	0.054945
1841	69	0.05564	0.0585	0.05707
1841	70	0.05959	0.05998	0.059785
1841	71	0.0669	0.0668	0.06685
1841	72	0.07354	0.07377	0.073655
1841	73	0.0798	0.07996	0.07988
1841	74	0.08048	0.08139	0.080935
1841	75	0.08546	0.08691	0.086185
1841	76	0.10017	0.10233	0.10125
1841	77	0.10614	0.11117	0.108655
1841	78	0.11167	0.12026	0.115965
1841	79	0.11771	0.12846	0.123085
1841	80	0.13544	0.15016	0.1428
1841	81	0.1486	0.16592	0.15726
1841	82	0.16262	0.18214	0.17238
1841	83	0.17724	0.19787	0.187555
1841	84	0.19172	0.21127	0.201495
1841	85	0.2054	0.22059	0.212995
1841	86	0.21937	0.22893	0.22415
1841	87	0.23435	0.23851	0.23643
1841	88	0.25	0.2507	0.25035
1841	89	0.25908	0.27	0.26454
1841	90	0.27559	0.28517	0.28038
1841	91	0.29274	0.30085	0.296795
1841	92	0.31049	0.317	0.313745
1841	93	0.32882	0.33361	0.331215
1841	94	0.34769	0.35064	0.349165
1841	95	0.36705	0.36807	0.36756
1841	96	0.38684	0.38584	0.38634
1841	97	0.40702	0.40392	0.40547
1841	98	0.42751	0.42227	0.42489
1841	99	0.44826	0.44083	0.444545
1841	100	0.46919	0.45956	0.464375
1841	101	0.49023	0.47841	0.48432
1841	102	0.5113	0.49731	0.504305
1841	103	0.53234	0.51623	0.524285
1841	104	0.55325	0.5351	0.544175
1841	105	0.57399	0.55387	0.56393
1841	106	0.59446	0.57248	0.58347
1841	107	0.61461	0.5909	0.602755
