"Bulgaria,"				
				
Year	Age	Female	Male	Total
1947	0	0.13565	0.15624	0.145945
1947	1	0.03069	0.03146	0.031075
1947	2	0.01402	0.01327	0.013645
1947	3	0.00701	0.00617	0.00659
1947	4	0.00495	0.00468	0.004815
1947	5	0.00372	0.00433	0.004025
1947	6	0.00276	0.00302	0.00289
1947	7	0.00229	0.00283	0.00256
1947	8	0.00202	0.00242	0.00222
1947	9	0.00179	0.00246	0.002125
1947	10	0.00206	0.00215	0.002105
1947	11	0.00172	0.00188	0.0018
1947	12	0.00203	0.0018	0.001915
1947	13	0.00207	0.00192	0.001995
1947	14	0.00266	0.002	0.00233
1947	15	0.00283	0.0026	0.002715
1947	16	0.00311	0.00325	0.00318
1947	17	0.00463	0.00358	0.004105
1947	18	0.00445	0.00418	0.004315
1947	19	0.00479	0.00479	0.00479
1947	20	0.00536	0.00505	0.005205
1947	21	0.00467	0.00561	0.00514
1947	22	0.00484	0.00567	0.005255
1947	23	0.0052	0.00484	0.00502
1947	24	0.00471	0.00507	0.00489
1947	25	0.00457	0.00505	0.00481
1947	26	0.00481	0.00463	0.00472
1947	27	0.00467	0.00459	0.00463
1947	28	0.00481	0.00421	0.00451
1947	29	0.00446	0.00405	0.004255
1947	30	0.00511	0.00485	0.00498
1947	31	0.0044	0.00442	0.00441
1947	32	0.00386	0.00451	0.004185
1947	33	0.00356	0.00436	0.00396
1947	34	0.00432	0.00468	0.0045
1947	35	0.00447	0.00481	0.00464
1947	36	0.00387	0.00479	0.00433
1947	37	0.00443	0.0046	0.004515
1947	38	0.00488	0.00495	0.004915
1947	39	0.00416	0.00543	0.004795
1947	40	0.00457	0.00604	0.005305
1947	41	0.00416	0.00584	0.005
1947	42	0.00492	0.00615	0.005535
1947	43	0.00496	0.00668	0.00582
1947	44	0.0048	0.00645	0.005625
1947	45	0.00528	0.00888	0.00708
1947	46	0.00527	0.0082	0.006735
1947	47	0.00536	0.00858	0.00697
1947	48	0.00588	0.0092	0.00754
1947	49	0.00675	0.00875	0.00775
1947	50	0.00754	0.011	0.00927
1947	51	0.00825	0.01125	0.00975
1947	52	0.00905	0.01358	0.011315
1947	53	0.0095	0.01411	0.011805
1947	54	0.00938	0.01479	0.012085
1947	55	0.01206	0.01823	0.015145
1947	56	0.00989	0.01749	0.01369
1947	57	0.01181	0.02102	0.016415
1947	58	0.01189	0.02119	0.01654
1947	59	0.01435	0.02148	0.017915
1947	60	0.01759	0.02571	0.02165
1947	61	0.01802	0.02313	0.020575
1947	62	0.02011	0.02747	0.02379
1947	63	0.02031	0.02887	0.02459
1947	64	0.0218	0.03065	0.026225
1947	65	0.025	0.03567	0.030335
1947	66	0.02719	0.03732	0.032255
1947	67	0.03564	0.04279	0.039215
1947	68	0.03432	0.04472	0.03952
1947	69	0.03966	0.04792	0.04379
1947	70	0.04744	0.06086	0.05415
1947	71	0.04771	0.05954	0.053625
1947	72	0.06567	0.06999	0.06783
1947	73	0.0622	0.06841	0.065305
