"Canada,"				
				
Year	Age	Female	Male	Total
1921	0	0.10582	0.13825	0.122035
1921	1	0.01559	0.01781	0.0167
1921	2	0.00741	0.00852	0.007965
1921	3	0.00544	0.00611	0.005775
1921	4	0.00456	0.00474	0.00465
1921	5	0.00343	0.00383	0.00363
1921	6	0.00285	0.00363	0.00324
1921	7	0.00283	0.00318	0.003005
1921	8	0.00247	0.00261	0.00254
1921	9	0.00216	0.00245	0.002305
1921	10	0.00192	0.00214	0.00203
1921	11	0.00203	0.00222	0.002125
1921	12	0.00204	0.0021	0.00207
1921	13	0.00201	0.00217	0.00209
1921	14	0.00224	0.00208	0.00216
1921	15	0.00241	0.00252	0.002465
1921	16	0.00293	0.00274	0.002835
1921	17	0.00276	0.00358	0.00317
1921	18	0.0034	0.00351	0.003455
1921	19	0.00376	0.00359	0.003675
1921	20	0.0039	0.00367	0.003785
1921	21	0.00382	0.00417	0.003995
1921	22	0.0042	0.00381	0.004005
1921	23	0.00452	0.00421	0.004365
1921	24	0.00455	0.00371	0.00413
1921	25	0.00423	0.00397	0.0041
1921	26	0.00456	0.004	0.00428
1921	27	0.00473	0.00416	0.004445
1921	28	0.00476	0.00439	0.004575
1921	29	0.00458	0.00394	0.00426
1921	30	0.00507	0.004	0.004535
1921	31	0.00432	0.00358	0.00395
1921	32	0.00479	0.00415	0.00447
1921	33	0.00467	0.00404	0.004355
1921	34	0.00526	0.00385	0.004555
1921	35	0.00567	0.00507	0.00537
1921	36	0.00582	0.00453	0.005175
1921	37	0.00572	0.00429	0.005005
1921	38	0.00624	0.00592	0.00608
1921	39	0.006	0.00466	0.00533
1921	40	0.00634	0.00648	0.00641
1921	41	0.0054	0.0053	0.00535
1921	42	0.00712	0.00673	0.006925
1921	43	0.00672	0.00555	0.006135
1921	44	0.00675	0.0057	0.006225
1921	45	0.00791	0.00766	0.007785
1921	46	0.00701	0.007	0.007005
1921	47	0.00721	0.00714	0.007175
1921	48	0.00792	0.00859	0.008255
1921	49	0.00817	0.0082	0.008185
1921	50	0.00959	0.01074	0.010165
1921	51	0.00876	0.00815	0.008455
1921	52	0.01225	0.01126	0.011755
1921	53	0.01049	0.01079	0.01064
1921	54	0.01184	0.01183	0.011835
1921	55	0.01191	0.01379	0.01285
1921	56	0.0125	0.01522	0.01386
1921	57	0.01318	0.01442	0.0138
1921	58	0.01698	0.01779	0.017385
1921	59	0.01573	0.01783	0.01678
1921	60	0.02082	0.02134	0.02108
1921	61	0.01663	0.0187	0.017665
1921	62	0.02007	0.02371	0.02189
1921	63	0.02162	0.02506	0.02334
1921	64	0.02494	0.02533	0.025135
1921	65	0.0307	0.03364	0.03217
1921	66	0.03115	0.02924	0.030195
1921	67	0.03343	0.03549	0.03446
1921	68	0.04291	0.041	0.041955
1921	69	0.03706	0.03947	0.038265
1921	70	0.04952	0.05145	0.050485
1921	71	0.04176	0.044	0.04288
1921	72	0.05345	0.05852	0.055985
1921	73	0.05454	0.06109	0.057815
1921	74	0.06237	0.06605	0.06421
1921	75	0.07151	0.07536	0.073435
1921	76	0.07811	0.08329	0.0807
1921	77	0.07631	0.08554	0.080925
1921	78	0.09791	0.10339	0.10065
1921	79	0.08011	0.10168	0.090895
1921	80	0.10438	0.12243	0.113405
1921	81	0.08738	0.09903	0.093205
1921	82	0.115	0.12105	0.118025
1921	83	0.13025	0.14749	0.13887
1921	84	0.13812	0.16361	0.150865
1921	85	0.15246	0.17408	0.16327
1921	86	0.15674	0.18983	0.173285
1921	87	0.19871	0.21868	0.208695
1921	88	0.20092	0.24913	0.225025
1921	89	0.18709	0.22172	0.204405
1921	90	0.24434	0.23056	0.23745
1921	91	0.21224	0.2366	0.22442
1921	92	0.25556	0.27405	0.264805
1921	93	0.27445	0.29249	0.28347
1921	94	0.29419	0.31165	0.30292
1921	95	0.31473	0.33147	0.3231
1921	96	0.33602	0.35191	0.343965
1921	97	0.358	0.37291	0.365455
1921	98	0.38059	0.3944	0.387495
1921	99	0.40372	0.4163	0.41001
1921	100	0.42728	0.43854	0.43291
1921	101	0.45117	0.46103	0.4561
1921	102	0.47529	0.48368	0.479485
1921	103	0.49952	0.50639	0.502955
1921	104	0.52376	0.52908	0.52642
1921	105	0.54789	0.55165	0.54977
1921	106	0.57179	0.57401	0.5729
1921	107	0.59537	0.59607	0.59572
1921	108	0.61851	0.61775	0.61813
1921	109	0.64112	0.63897	0.640045
1921	110+	0.66313	0.65966	0.661395
1922	0	0.10584	0.13904	0.12244
1922	1	0.01546	0.01811	0.016785
1922	2	0.00768	0.00833	0.008005
1922	3	0.00487	0.00541	0.00514
1922	4	0.00415	0.00431	0.00423
1922	5	0.00313	0.00344	0.003285
1922	6	0.00275	0.00305	0.0029
1922	7	0.00232	0.00288	0.0026
1922	8	0.00243	0.00262	0.002525
1922	9	0.00211	0.00242	0.002265
1922	10	0.00189	0.00216	0.002025
1922	11	0.00188	0.00191	0.001895
1922	12	0.00196	0.00219	0.002075
1922	13	0.00222	0.00211	0.002165
1922	14	0.00194	0.00232	0.00213
1922	15	0.00234	0.00228	0.00231
1922	16	0.00277	0.00272	0.002745
1922	17	0.00292	0.00312	0.00302
1922	18	0.00323	0.00328	0.003255
1922	19	0.00356	0.00359	0.003575
1922	20	0.00369	0.00357	0.00363
1922	21	0.0041	0.00385	0.003975
1922	22	0.00417	0.00407	0.00412
1922	23	0.00468	0.00419	0.004435
1922	24	0.00447	0.00353	0.004
1922	25	0.00401	0.00391	0.00396
1922	26	0.00444	0.00389	0.004165
1922	27	0.00485	0.00411	0.00448
1922	28	0.00506	0.00357	0.004315
1922	29	0.00429	0.0043	0.004295
1922	30	0.0048	0.00438	0.00459
1922	31	0.0041	0.00347	0.003785
1922	32	0.00567	0.00426	0.004965
1922	33	0.00482	0.004	0.00441
1922	34	0.00496	0.00383	0.004395
1922	35	0.00544	0.00493	0.005185
1922	36	0.00547	0.00459	0.00503
1922	37	0.00541	0.0045	0.004955
1922	38	0.00679	0.00495	0.00587
1922	39	0.00584	0.00478	0.00531
1922	40	0.00671	0.0064	0.006555
1922	41	0.0053	0.00447	0.004885
1922	42	0.00727	0.00686	0.007065
1922	43	0.00621	0.00597	0.00609
1922	44	0.00691	0.00597	0.00644
1922	45	0.0081	0.00798	0.00804
1922	46	0.00778	0.00663	0.007205
1922	47	0.00715	0.00703	0.00709
1922	48	0.00828	0.00816	0.00822
1922	49	0.0082	0.008	0.0081
1922	50	0.00951	0.01028	0.009895
1922	51	0.0083	0.00828	0.00829
1922	52	0.01113	0.01123	0.01118
1922	53	0.00972	0.01093	0.010325
1922	54	0.01177	0.01112	0.011445
1922	55	0.01172	0.01516	0.01344
1922	56	0.01354	0.015	0.01427
1922	57	0.01365	0.01658	0.015115
1922	58	0.01709	0.01777	0.01743
1922	59	0.01523	0.01782	0.016525
1922	60	0.01918	0.02156	0.02037
1922	61	0.01632	0.01874	0.01753
1922	62	0.02323	0.02317	0.0232
1922	63	0.02187	0.02461	0.02324
1922	64	0.02406	0.02617	0.025115
1922	65	0.0311	0.03447	0.032785
1922	66	0.02821	0.03205	0.03013
1922	67	0.03311	0.03715	0.03513
1922	68	0.04073	0.0437	0.042215
1922	69	0.03889	0.04272	0.040805
1922	70	0.0488	0.05125	0.050025
1922	71	0.04196	0.04598	0.04397
1922	72	0.05815	0.06212	0.060135
1922	73	0.05553	0.06726	0.061395
1922	74	0.06231	0.0691	0.065705
1922	75	0.0766	0.07789	0.077245
1922	76	0.0865	0.08244	0.08447
1922	77	0.0813	0.08983	0.085565
1922	78	0.10563	0.10909	0.10736
