"Switzerland,"				
				
Year	Age	Female	Male	Total
1876	0	0.22666	0.2808	0.25373
1876	1	0.03892	0.03582	0.03737
1876	2	0.01801	0.0197	0.018855
1876	3	0.01241	0.01262	0.012515
1876	4	0.00917	0.0095	0.009335
1876	5	0.0077	0.00743	0.007565
1876	6	0.00624	0.00691	0.006575
1876	7	0.00482	0.00549	0.005155
1876	8	0.00409	0.00405	0.00407
1876	9	0.00407	0.00516	0.004615
1876	10	0.00449	0.00404	0.004265
1876	11	0.00358	0.00373	0.003655
1876	12	0.00368	0.00323	0.003455
1876	13	0.00383	0.00316	0.003495
1876	14	0.00472	0.00345	0.004085
1876	15	0.0052	0.00415	0.004675
1876	16	0.00518	0.00484	0.00501
1876	17	0.00773	0.00456	0.006145
1876	18	0.00549	0.00773	0.00661
1876	19	0.00628	0.00893	0.007605
1876	20	0.00646	0.00733	0.006895
1876	21	0.00662	0.00764	0.00713
1876	22	0.00759	0.0076	0.007595
1876	23	0.00835	0.00863	0.00849
1876	24	0.00854	0.00977	0.009155
1876	25	0.00854	0.01028	0.00941
1876	26	0.00919	0.00915	0.00917
1876	27	0.00934	0.01063	0.009985
1876	28	0.00863	0.00917	0.0089
1876	29	0.00877	0.00921	0.00899
1876	30	0.00909	0.01069	0.00989
1876	31	0.00977	0.01188	0.010825
1876	32	0.01088	0.01057	0.010725
1876	33	0.00887	0.0114	0.010135
1876	34	0.01203	0.01058	0.011305
1876	35	0.01232	0.01179	0.012055
1876	36	0.01108	0.01341	0.012245
1876	37	0.01187	0.01242	0.012145
1876	38	0.01221	0.01472	0.013465
1876	39	0.01232	0.01369	0.013005
1876	40	0.01104	0.01336	0.0122
1876	41	0.01105	0.0156	0.013325
1876	42	0.01186	0.01529	0.013575
1876	43	0.01216	0.01482	0.01349
1876	44	0.01237	0.01844	0.015405
1876	45	0.01349	0.01652	0.015005
1876	46	0.01279	0.01875	0.01577
1876	47	0.0132	0.02057	0.016885
1876	48	0.01352	0.02006	0.01679
1876	49	0.01441	0.02293	0.01867
1876	50	0.01727	0.02423	0.02075
1876	51	0.01656	0.02462	0.02059
1876	52	0.01919	0.02651	0.02285
1876	53	0.02079	0.02708	0.023935
1876	54	0.02346	0.02799	0.025725
1876	55	0.02593	0.03252	0.029225
1876	56	0.02737	0.03695	0.03216
1876	57	0.02617	0.03962	0.032895
1876	58	0.02257	0.02858	0.025575
1876	59	0.03435	0.04027	0.03731
1876	60	0.04061	0.04067	0.04064
1876	61	0.03936	0.04962	0.04449
1876	62	0.04357	0.05008	0.046825
1876	63	0.04732	0.05063	0.048975
1876	64	0.05436	0.05979	0.057075
1876	65	0.05131	0.05957	0.05544
1876	66	0.06384	0.06359	0.063715
1876	67	0.06834	0.06892	0.06863
1876	68	0.08006	0.07501	0.077535
1876	69	0.07817	0.07882	0.078495
1876	70	0.08949	0.09262	0.091055
1876	71	0.09562	0.09464	0.09513
1876	72	0.10589	0.11854	0.112215
1876	73	0.11637	0.12384	0.120105
1876	74	0.12378	0.14159	0.132685
1876	75	0.13168	0.13635	0.134015
1876	76	0.14035	0.14133	0.14084
1876	77	0.14551	0.15375	0.14963
1876	78	0.15606	0.15928	0.15767
1876	79	0.15583	0.18091	0.16837
1876	80	0.18784	0.2086	0.19822
1876	81	0.20617	0.19438	0.200275
1876	82	0.20358	0.22893	0.216255
1876	83	0.24869	0.23956	0.244125
1876	84	0.28846	0.2486	0.26853
1876	85	0.25905	0.26878	0.263915
1876	86	0.2944	0.31965	0.307025
1876	87	0.3145	0.34539	0.329945
1876	88	0.33531	0.37206	0.353685
1876	89	0.35678	0.39954	0.37816
1876	90	0.37884	0.42766	0.40325
1876	91	0.40142	0.45626	0.42884
1876	92	0.42442	0.48516	0.45479
1876	93	0.44775	0.51415	0.48095
1876	94	0.47132	0.54305	0.507185
1876	95	0.49501	0.57165	0.53333
1876	96	0.51873	0.59979	0.55926
1876	97	0.54236	0.62729	0.584825
1876	98	0.56581	0.65399	0.6099
1876	99	0.58896	0.67975	0.634355
1876	100	0.61172	0.70445	0.658085
1876	101	0.63401	0.72802	0.681015
1876	102	0.65574	0.75037	0.703055
1876	103	0.67684	0.77146	0.72415
1876	104	0.69724	0.79127	0.744255
1876	105	0.71689	0.80978	0.763335
1876	106	0.73575	0.82701	0.78138
1876	107	0.75378	0.84298	0.79838
1876	108	0.77097	0.85773	0.81435
1876	109	0.7873	0.87131	0.829305
