"Chile,"				
				
Year	Age	Female	Male	Total
1992	0	0.01384	0.01624	0.01504
1992	1	0.0011	0.00156	0.00133
1992	2	0.00067	0.00093	0.0008
1992	3	0.00036	0.00074	0.00055
1992	4	0.0003	0.00031	0.000305
1992	5	0.00022	0.00026	0.00024
1992	6	0.00029	0.00024	0.000265
1992	7	0.00022	0.00034	0.00028
1992	8	0.00024	0.00033	0.000285
1992	9	0.00021	0.00028	0.000245
1992	10	0.00018	0.00028	0.00023
1992	11	0.00019	0.00038	0.000285
1992	12	0.00021	0.0003	0.000255
1992	13	0.00021	0.00038	0.000295
1992	14	0.00028	0.00049	0.000385
1992	15	0.00033	0.00053	0.00043
1992	16	0.00043	0.00077	0.0006
1992	17	0.0004	0.00086	0.00063
1992	18	0.00035	0.001	0.000675
1992	19	0.00042	0.00121	0.000815
1992	20	0.00045	0.00135	0.0009
1992	21	0.00043	0.00167	0.00105
1992	22	0.0006	0.00163	0.001115
1992	23	0.00047	0.00158	0.001025
1992	24	0.0004	0.00154	0.00097
1992	25	0.0005	0.00179	0.001145
1992	26	0.00056	0.00169	0.001125
1992	27	0.00046	0.00161	0.001035
1992	28	0.00063	0.0017	0.001165
1992	29	0.00051	0.00166	0.001085
1992	30	0.00051	0.00189	0.0012
1992	31	0.00065	0.00191	0.00128
1992	32	0.00054	0.002	0.00127
1992	33	0.00064	0.00187	0.001255
1992	34	0.00084	0.00208	0.00146
1992	35	0.00095	0.00246	0.001705
1992	36	0.00092	0.00209	0.001505
1992	37	0.00094	0.00237	0.001655
1992	38	0.00136	0.00242	0.00189
1992	39	0.00125	0.00243	0.00184
1992	40	0.00113	0.00274	0.001935
1992	41	0.00174	0.00317	0.002455
1992	42	0.00162	0.00345	0.002535
1992	43	0.00187	0.00331	0.00259
1992	44	0.00211	0.00369	0.0029
1992	45	0.00229	0.00469	0.00349
1992	46	0.00251	0.00468	0.003595
1992	47	0.00242	0.00421	0.003315
1992	48	0.00261	0.00481	0.00371
1992	49	0.00342	0.00564	0.00453
1992	50	0.0033	0.00684	0.00507
1992	51	0.00407	0.00672	0.005395
1992	52	0.00441	0.00692	0.005665
1992	53	0.00448	0.00666	0.00557
1992	54	0.00476	0.00872	0.00674
1992	55	0.00536	0.01041	0.007885
1992	56	0.00629	0.01025	0.00827
1992	57	0.00679	0.01054	0.008665
1992	58	0.00715	0.01287	0.01001
1992	59	0.00769	0.01377	0.01073
1992	60	0.00723	0.01578	0.011505
1992	61	0.00944	0.01852	0.01398
1992	62	0.01114	0.01938	0.01526
1992	63	0.01141	0.01965	0.01553
1992	64	0.01287	0.02226	0.017565
1992	65	0.01338	0.02128	0.01733
1992	66	0.01541	0.02384	0.019625
1992	67	0.01727	0.02994	0.023605
1992	68	0.01928	0.03236	0.02582
1992	69	0.02308	0.03628	0.02968
1992	70	0.02369	0.04078	0.032235
1992	71	0.02704	0.04422	0.03563
1992	72	0.02868	0.04527	0.036975
1992	73	0.03028	0.04842	0.03935
1992	74	0.03549	0.05573	0.04561
1992	75	0.04023	0.06028	0.050255
1992	76	0.04242	0.06846	0.05544
1992	77	0.05051	0.07101	0.06076
1992	78	0.05445	0.07906	0.066755
1992	79	0.05673	0.08785	0.07229
1992	80	0.06045	0.08787	0.07416
1992	81	0.06978	0.10073	0.085255
1992	82	0.08018	0.11162	0.0959
1992	83	0.08529	0.11974	0.102515
1992	84	0.095	0.13755	0.116275
1992	85	0.10218	0.14149	0.121835
1992	86	0.11578	0.1631	0.13944
1992	87	0.12618	0.16776	0.14697
1992	88	0.1375	0.18761	0.162555
1992	89	0.15437	0.18757	0.17097
1992	90	0.17742	0.18652	0.18197
1992	91	0.2016	0.24035	0.220975
1992	92	0.19417	0.24334	0.218755
1992	93	0.23174	0.2337	0.23272
1992	94	0.22084	0.3342	0.27752
1992	95	0.2669	0.30074	0.28382
1992	96	0.28968	0.32125	0.305465
1992	97	0.31357	0.34248	0.328025
1992	98	0.33849	0.36436	0.351425
1992	99	0.36435	0.38681	0.37558
1992	100	0.39101	0.40976	0.400385
1992	101	0.41833	0.4331	0.425715
1992	102	0.44617	0.45675	0.45146
1992	103	0.47435	0.48059	0.47747
1992	104	0.50269	0.50452	0.503605
1992	105	0.53101	0.52843	0.52972
1992	106	0.55914	0.55221	0.555675
1992	107	0.58689	0.57575	0.58132
1992	108	0.61411	0.59896	0.606535
1992	109	0.64062	0.62173	0.631175
1992	110+	0.66631	0.64397	0.65514
1993	0	0.01241	0.01506	0.013735
1993	1	0.00103	0.00137	0.0012
1993	2	0.00071	0.0006	0.000655
1993	3	0.00037	0.00047	0.00042
1993	4	0.00021	0.00038	0.000295
1993	5	0.00032	0.00028	0.0003
1993	6	0.00025	0.00036	0.000305
1993	7	0.00019	0.00034	0.000265
1993	8	0.00016	0.00036	0.00026
1993	9	0.00023	0.00027	0.00025
1993	10	0.00022	0.00032	0.00027
1993	11	0.00027	0.0003	0.000285
1993	12	0.00016	0.00033	0.000245
1993	13	0.00024	0.00037	0.000305
1993	14	0.00026	0.00048	0.00037
1993	15	0.0003	0.00055	0.000425
1993	16	0.00046	0.00075	0.000605
1993	17	0.00035	0.00097	0.00066
1993	18	0.00036	0.00112	0.00074
1993	19	0.00039	0.00126	0.000825
1993	20	0.00048	0.00153	0.001005
1993	21	0.00039	0.00154	0.000965
1993	22	0.00037	0.00143	0.0009
1993	23	0.00039	0.00183	0.00111
1993	24	0.00041	0.00164	0.001025
1993	25	0.00042	0.00204	0.00123
1993	26	0.00054	0.00184	0.00119
1993	27	0.00048	0.00196	0.00122
1993	28	0.00053	0.00178	0.001155
1993	29	0.0005	0.00184	0.00117
1993	30	0.00062	0.0019	0.00126
1993	31	0.00064	0.00191	0.001275
1993	32	0.00057	0.00202	0.001295
1993	33	0.00063	0.00185	0.00124
