"Czechia,"				
				
Year	Age	Female	Male	Total
1950	0	0.06012	0.07559	0.067855
1950	1	0.00476	0.00509	0.004925
1950	2	0.00214	0.00256	0.00235
1950	3	0.00117	0.00177	0.00147
1950	4	0.00113	0.00155	0.00134
1950	5	0.00083	0.00082	0.000825
1950	6	0.00086	0.00099	0.000925
1950	7	0.00066	0.00097	0.000815
1950	8	0.00053	0.00083	0.00068
1950	9	0.00062	0.00076	0.00069
1950	10	0.00072	0.00092	0.00082
1950	11	0.00043	0.001	0.000715
1950	12	0.00089	0.00076	0.000825
1950	13	0.00068	0.00102	0.00085
1950	14	0.00071	0.00113	0.00092
1950	15	0.00082	0.00111	0.000965
1950	16	0.00091	0.00145	0.00118
1950	17	0.00116	0.00159	0.001375
1950	18	0.00122	0.00198	0.0016
1950	19	0.00111	0.00235	0.00173
1950	20	0.00121	0.0023	0.001755
1950	21	0.00154	0.00257	0.002055
1950	22	0.00141	0.00189	0.00165
1950	23	0.00179	0.00227	0.00203
1950	24	0.0014	0.00218	0.00179
1950	25	0.00181	0.00238	0.002095
1950	26	0.0017	0.00265	0.002175
1950	27	0.00176	0.00271	0.002235
1950	28	0.00165	0.00272	0.002185
1950	29	0.00168	0.00269	0.002185
1950	30	0.00175	0.00239	0.00207
1950	31	0.00179	0.00267	0.00223
1950	32	0.00205	0.00261	0.00233
1950	33	0.00185	0.00279	0.00232
1950	34	0.00223	0.00308	0.002655
1950	35	0.0024	0.00335	0.002875
1950	36	0.00241	0.00296	0.002685
1950	37	0.00263	0.0032	0.002915
1950	38	0.00254	0.00309	0.002815
1950	39	0.00273	0.00354	0.003135
1950	40	0.003	0.00414	0.00357
1950	41	0.00323	0.00419	0.00371
1950	42	0.00321	0.00483	0.00402
1950	43	0.00352	0.00532	0.00442
1950	44	0.00399	0.00553	0.00476
1950	45	0.00448	0.00595	0.005215
1950	46	0.00422	0.00623	0.005225
1950	47	0.0047	0.007	0.00585
1950	48	0.00535	0.00765	0.0065
1950	49	0.00557	0.00895	0.00726
1950	50	0.00559	0.01032	0.007955
1950	51	0.00679	0.01042	0.008605
1950	52	0.00655	0.01202	0.009285
1950	53	0.00748	0.01374	0.01061
1950	54	0.00817	0.01474	0.011455
1950	55	0.00976	0.01655	0.013155
1950	56	0.01018	0.0177	0.01394
1950	57	0.01072	0.01809	0.014405
1950	58	0.01184	0.02018	0.01601
1950	59	0.01366	0.02205	0.017855
1950	60	0.01408	0.02581	0.019945
1950	61	0.01623	0.02767	0.02195
1950	62	0.01841	0.02932	0.023865
1950	63	0.02054	0.03337	0.026955
1950	64	0.02298	0.03394	0.02846
1950	65	0.02548	0.03815	0.031815
1950	66	0.02672	0.04131	0.034015
1950	67	0.03164	0.04363	0.037635
1950	68	0.03501	0.05076	0.042885
1950	69	0.0386	0.04981	0.044205
1950	70	0.04285	0.05826	0.050555
1950	71	0.05133	0.06625	0.05879
1950	72	0.05356	0.07019	0.061875
1950	73	0.05934	0.07422	0.06678
1950	74	0.06945	0.08761	0.07853
1950	75	0.0761	0.09037	0.083235
1950	76	0.08499	0.10033	0.09266
1950	77	0.09216	0.10452	0.09834
1950	78	0.1045	0.11036	0.10743
1950	79	0.11908	0.12917	0.124125
1950	80	0.12721	0.14503	0.13612
1950	81	0.14413	0.14657	0.14535
1950	82	0.15264	0.17747	0.165055
1950	83	0.15823	0.1908	0.174515
1950	84	0.18869	0.2193	0.203995
1950	85	0.19143	0.21255	0.20199
1950	86	0.22222	0.25942	0.24082
1950	87	0.23835	0.2741	0.256225
1950	88	0.23161	0.26966	0.250635
1950	89	0.29618	0.33583	0.316005
1950	90	0.27654	0.31445	0.295495
1950	91	0.33434	0.38496	0.35965
1950	92	0.34243	0.41801	0.38022
1950	93	0.36472	0.42504	0.39488
1950	94	0.38942	0.45339	0.421405
1950	95	0.41469	0.48205	0.44837
1950	96	0.44042	0.51083	0.475625
1950	97	0.46647	0.53954	0.503005
1950	98	0.49271	0.56799	0.53035
1950	99	0.51899	0.59599	0.55749
1950	100	0.54517	0.62339	0.58428
1950	101	0.57109	0.65001	0.61055
1950	102	0.59664	0.67574	0.63619
1950	103	0.62167	0.70044	0.661055
1950	104	0.64606	0.72403	0.685045
1950	105	0.66972	0.74644	0.70808
1950	106	0.69255	0.76761	0.73008
1950	107	0.71448	0.78752	0.751
1950	108	0.73544	0.80615	0.770795
1950	109	0.75539	0.82351	0.78945
1950	110+	0.77429	0.83963	0.80696
1951	0	0.05237	0.06532	0.058845
1951	1	0.0049	0.00541	0.005155
1951	2	0.00227	0.00244	0.002355
1951	3	0.00133	0.00165	0.00149
1951	4	0.00107	0.00128	0.001175
1951	5	0.00061	0.00087	0.00074
1951	6	0.00057	0.00085	0.00071
1951	7	0.00064	0.00092	0.00078
1951	8	0.00063	0.00086	0.000745
1951	9	0.00041	0.00083	0.00062
1951	10	0.00043	0.00067	0.00055
1951	11	0.00045	0.00084	0.000645
1951	12	0.00062	0.00059	0.000605
1951	13	0.00058	0.00072	0.00065
1951	14	0.00047	0.0012	0.000835
1951	15	0.00054	0.00088	0.00071
1951	16	0.00063	0.00129	0.00096
1951	17	0.00089	0.0016	0.001245
1951	18	0.00093	0.00175	0.00134
1951	19	0.00118	0.00192	0.00155
1951	20	0.00127	0.00216	0.001715
1951	21	0.00134	0.00193	0.001635
1951	22	0.00122	0.00219	0.001705
1951	23	0.00113	0.00236	0.001745
1951	24	0.00124	0.00221	0.001725
1951	25	0.00129	0.00226	0.001775
1951	26	0.00143	0.00206	0.001745
1951	27	0.0016	0.00229	0.001945
1951	28	0.00135	0.0025	0.001925
1951	29	0.00144	0.00205	0.001745
1951	30	0.00182	0.00274	0.00228
1951	31	0.0016	0.00263	0.002115
1951	32	0.0017	0.00215	0.001925
1951	33	0.0018	0.00302	0.00241
1951	34	0.0023	0.00277	0.002535
1951	35	0.00164	0.00318	0.00241
1951	36	0.00227	0.00283	0.00255
1951	37	0.00236	0.00282	0.00259
1951	38	0.00245	0.00291	0.00268
1951	39	0.00264	0.00341	0.003025
1951	40	0.00257	0.0035	0.003035
1951	41	0.00284	0.00419	0.003515
1951	42	0.00328	0.00447	0.003875
1951	43	0.00349	0.00458	0.004035
1951	44	0.0032	0.00535	0.004275
