"Germany,"				
				
Year	Age	Female	Male	Total
1990	0	0.0061	0.00808	0.00709
1990	1	0.00062	0.00068	0.00065
1990	2	0.00035	0.00046	0.000405
1990	3	0.00032	0.00043	0.000375
1990	4	0.00021	0.0003	0.000255
1990	5	0.00021	0.0003	0.000255
1990	6	0.00022	0.00022	0.00022
1990	7	0.00022	0.00027	0.000245
1990	8	0.00019	0.00026	0.000225
1990	9	0.00015	0.00018	0.000165
1990	10	0.00014	0.00021	0.000175
1990	11	0.00013	0.00024	0.000185
1990	12	0.00014	0.00018	0.00016
1990	13	0.00019	0.00025	0.00022
1990	14	0.00023	0.00035	0.00029
1990	15	0.00025	0.00039	0.00032
1990	16	0.00027	0.00056	0.000415
1990	17	0.00031	0.00068	0.000495
1990	18	0.00035	0.00114	0.000745
1990	19	0.0004	0.00114	0.00077
1990	20	0.00042	0.0011	0.00076
1990	21	0.00038	0.0012	0.00079
1990	22	0.0004	0.00111	0.000755
1990	23	0.00043	0.0011	0.000765
1990	24	0.0004	0.00098	0.00069
1990	25	0.00043	0.00112	0.000775
1990	26	0.00038	0.00108	0.00073
1990	27	0.00042	0.00108	0.00075
1990	28	0.00041	0.00114	0.000775
1990	29	0.00054	0.00126	0.0009
1990	30	0.00054	0.00136	0.00095
1990	31	0.00059	0.00126	0.000925
1990	32	0.00061	0.00147	0.00104
1990	33	0.00063	0.00163	0.00113
1990	34	0.00078	0.00165	0.001215
1990	35	0.00083	0.00181	0.00132
1990	36	0.001	0.00179	0.001395
1990	37	0.00103	0.00211	0.00157
1990	38	0.00109	0.00214	0.001615
1990	39	0.00124	0.00231	0.001775
1990	40	0.00136	0.00245	0.001905
1990	41	0.00137	0.00252	0.001945
1990	42	0.00153	0.00292	0.002225
1990	43	0.0016	0.00317	0.002385
1990	44	0.00184	0.00326	0.00255
1990	45	0.00208	0.00393	0.003005
1990	46	0.00226	0.00442	0.00334
1990	47	0.00238	0.00455	0.003465
1990	48	0.00262	0.00516	0.00389
1990	49	0.00266	0.00546	0.00406
1990	50	0.00296	0.00641	0.004685
1990	51	0.00316	0.00678	0.00497
1990	52	0.00347	0.00729	0.00538
1990	53	0.00381	0.00848	0.006145
1990	54	0.00427	0.00921	0.00674
1990	55	0.00481	0.01078	0.007795
1990	56	0.00511	0.01112	0.008115
1990	57	0.0058	0.01242	0.00911
1990	58	0.00622	0.01369	0.009955
1990	59	0.00684	0.01548	0.01116
1990	60	0.00759	0.017	0.012295
1990	61	0.00831	0.01853	0.01342
1990	62	0.00907	0.01942	0.014245
1990	63	0.00993	0.02123	0.01558
1990	64	0.01111	0.02289	0.017
1990	65	0.01205	0.02569	0.01887
1990	66	0.01349	0.02806	0.020775
1990	67	0.01481	0.03039	0.0226
1990	68	0.0171	0.03368	0.02539
1990	69	0.0186	0.03705	0.027825
1990	70	0.02339	0.04521	0.0343
1990	71	0.02101	0.04116	0.031085
1990	72	0.02577	0.04764	0.036705
1990	73	0.02896	0.05399	0.041475
1990	74	0.03087	0.05547	0.04317
1990	75	0.0384	0.06658	0.05249
1990	76	0.04151	0.07126	0.056385
1990	77	0.04752	0.08022	0.06387
1990	78	0.05404	0.08867	0.071355
1990	79	0.0604	0.098	0.0792
1990	80	0.06936	0.1104	0.08988
1990	81	0.07833	0.12125	0.09979
1990	82	0.08884	0.13238	0.11061
1990	83	0.09966	0.14904	0.12435
1990	84	0.11308	0.16111	0.137095
1990	85	0.12651	0.17868	0.152595
1990	86	0.1437	0.19522	0.16946
1990	87	0.15838	0.21323	0.185805
1990	88	0.17909	0.23013	0.20461
1990	89	0.19686	0.24731	0.222085
1990	90	0.22099	0.27678	0.248885
1990	91	0.24397	0.28867	0.26632
1990	92	0.26532	0.3134	0.28936
1990	93	0.29108	0.34653	0.318805
1990	94	0.31066	0.37453	0.342595
1990	95	0.34823	0.39574	0.371985
1990	96	0.37844	0.42258	0.40051
1990	97	0.40963	0.44989	0.42976
1990	98	0.44156	0.47751	0.459535
1990	99	0.47398	0.50526	0.48962
1990	100	0.50662	0.53298	0.5198
1990	101	0.53921	0.5605	0.549855
1990	102	0.57146	0.58765	0.579555
1990	103	0.60312	0.61428	0.6087
1990	104	0.63394	0.64025	0.637095
1990	105	0.6637	0.66541	0.664555
1990	106	0.69221	0.68967	0.69094
1990	107	0.71933	0.71293	0.71613
1990	108	0.74494	0.73512	0.74003
1990	109	0.76896	0.75617	0.762565
1990	110+	0.79136	0.77607	0.783715
1991	0	0.00569	0.00727	0.00648
1991	1	0.00055	0.00068	0.000615
1991	2	0.00032	0.00045	0.000385
1991	3	0.00029	0.00037	0.00033
1991	4	0.00025	0.0003	0.000275
1991	5	0.00021	0.00026	0.000235
1991	6	0.00018	0.00021	0.000195
1991	7	0.00014	0.00021	0.000175
1991	8	0.00017	0.00024	0.000205
1991	9	0.00016	0.00017	0.000165
1991	10	0.00013	0.00017	0.00015
1991	11	0.00017	0.0002	0.000185
1991	12	0.00014	0.00023	0.000185
1991	13	0.00014	0.0002	0.00017
1991	14	0.00018	0.00025	0.000215
