"Denmark,"				
				
Year	Age	Female	Male	Total
1835	0	0.18635	0.23683	0.212066
1835	1	0.05611	0.06126	0.058712
1835	2	0.04117	0.04573	0.04347
1835	3	0.02764	0.02885	0.028249
1835	4	0.0187	0.01791	0.018299
1835	5	0.01557	0.01509	0.015326
1835	6	0.01387	0.01393	0.013897
1835	7	0.01225	0.01257	0.01241
1835	8	0.01081	0.0111	0.010955
1835	9	0.00971	0.00967	0.00969
1835	10	0.0088	0.00833	0.008562
1835	11	0.00808	0.00727	0.007677
1835	12	0.00757	0.00652	0.007043
1835	13	0.0071	0.00602	0.006561
1835	14	0.00669	0.00578	0.006233
1835	15	0.00627	0.00577	0.006019
1835	16	0.00597	0.00585	0.00591
1835	17	0.00587	0.00602	0.005941
1835	18	0.00597	0.00633	0.006148
1835	19	0.00637	0.00686	0.006617
1835	20	0.00708	0.00762	0.007348
1835	21	0.00775	0.00829	0.008016
1835	22	0.00818	0.00866	0.008421
1835	23	0.00847	0.0088	0.008629
1835	24	0.00866	0.00876	0.00871
1835	25	0.00898	0.00877	0.008879
1835	26	0.00925	0.0088	0.009029
1835	27	0.00924	0.00871	0.008981
1835	28	0.00918	0.00869	0.008937
1835	29	0.00909	0.00878	0.008935
1835	30	0.00892	0.0088	0.008862
1835	31	0.00892	0.00898	0.008948
1835	32	0.00922	0.00946	0.009341
1835	33	0.00967	0.01004	0.009856
1835	34	0.0103	0.01076	0.010531
1835	35	0.01107	0.01183	0.01145
1835	36	0.01178	0.01287	0.01232
1835	37	0.01231	0.01345	0.01287
1835	38	0.01261	0.01381	0.013207
1835	39	0.01278	0.01407	0.013418
1835	40	0.01237	0.01407	0.013204
1835	41	0.012	0.01416	0.013046
1835	42	0.01211	0.0146	0.01332
1835	43	0.0123	0.0153	0.013764
1835	44	0.01264	0.01637	0.014461
1835	45	0.01321	0.01801	0.015541
1835	46	0.01385	0.01955	0.016611
1835	47	0.01444	0.02048	0.017362
1835	48	0.01517	0.02116	0.018065
1835	49	0.01603	0.02155	0.018692
1835	50	0.01681	0.0216	0.01911
1835	51	0.01754	0.02189	0.019623
1835	52	0.01836	0.02268	0.02043
1835	53	0.01905	0.0238	0.021329
1835	54	0.0196	0.02526	0.022315
1835	55	0.01998	0.02713	0.023401
1835	56	0.02057	0.02896	0.024565
1835	57	0.02154	0.03057	0.025837
