"Spain,"				
				
Year	Age	Female	Male	Total
1908	0	0.15983	0.18925	0.174845
1908	1	0.08275	0.08635	0.084561
1908	2	0.04518	0.04546	0.04532
1908	3	0.02472	0.02578	0.025253
1908	4	0.01627	0.01658	0.016423
1908	5	0.01113	0.01084	0.010982
1908	6	0.00927	0.00871	0.008989
1908	7	0.00616	0.00573	0.005946
1908	8	0.00493	0.00468	0.004807
1908	9	0.00414	0.00386	0.004004
1908	10	0.0038	0.00329	0.003549
1908	11	0.00352	0.0031	0.00331
1908	12	0.00388	0.00336	0.003622
1908	13	0.00375	0.00353	0.003643
1908	14	0.00479	0.0039	0.004356
1908	15	0.00473	0.00366	0.004213
1908	16	0.00537	0.00433	0.004876
1908	17	0.0057	0.00634	0.005992
1908	18	0.00694	0.00773	0.007304
1908	19	0.0066	0.00695	0.006773
1908	20	0.00743	0.00665	0.007043
1908	21	0.00614	0.00672	0.006419
1908	22	0.0079	0.00796	0.00793
1908	23	0.00777	0.00796	0.007856
1908	24	0.00869	0.00833	0.008516
1908	25	0.00785	0.00787	0.00786
1908	26	0.00849	0.008	0.008259
1908	27	0.00679	0.0063	0.006564
1908	28	0.00812	0.00784	0.007992
1908	29	0.00757	0.00711	0.007345
1908	30	0.01346	0.00953	0.011549
1908	31	0.00615	0.00575	0.005955
1908	32	0.00975	0.00799	0.008911
1908	33	0.00805	0.00828	0.008156
1908	34	0.00911	0.00848	0.008814
1908	35	0.0098	0.00975	0.009778
1908	36	0.01015	0.00979	0.009979
1908	37	0.00588	0.00589	0.005888
1908	38	0.0076	0.00856	0.008059
1908	39	0.00783	0.00837	0.008098
1908	40	0.01856	0.01703	0.017813
1908	41	0.00675	0.00796	0.007337
1908	42	0.01083	0.0121	0.011454
1908	43	0.00703	0.00921	0.008094
1908	44	0.01094	0.013	0.011939
1908	45	0.01251	0.01567	0.014036
1908	46	0.01134	0.01392	0.0126
1908	47	0.00594	0.00952	0.007641
1908	48	0.0099	0.01399	0.011846
1908	49	0.01105	0.01321	0.012123
1908	50	0.02924	0.02916	0.0292
1908	51	0.00874	0.01256	0.010574
