"Estonia,"				
				
Year	Age	Female	Male	Total
1959	0	0.0291	0.03472	0.031999
1959	1	0.00274	0.0028	0.002771
1959	2	0.00132	0.00167	0.001498
1959	3	0.00042	0.00122	0.000829
1959	4	0.00042	0.0009	0.00066
1959	5	0.00053	0.00112	0.000835
1959	6	0.00075	0.00134	0.001053
1959	7	0.00022	0.00082	0.000523
1959	8	0.0011	0.00041	0.000749
1959	9	0.00044	0.00113	0.000797
1959	10	0.00054	0.00051	0.000523
1959	11	0.00055	0.00074	0.00065
1959	12	0.00069	0.00066	0.000678
1959	13	0.00063	0.00135	0.000999
1959	14	0.0007	0.0011	0.000905
1959	15	0.00071	0.00181	0.001271
1959	16	0.0004	0.00141	0.000912
1959	17	0.00111	0.0012	0.001155
1959	18	0.00064	0.00242	0.001532
1959	19	0.00097	0.00215	0.001558
1959	20	0.00132	0.00308	0.002206
1959	21	0.00166	0.00354	0.002625
1959	22	0.00097	0.00279	0.001882
1959	23	0.00151	0.0034	0.00244
1959	24	0.00085	0.00312	0.001979
1959	25	0.00104	0.00394	0.002459
1959	26	0.00145	0.00302	0.002205
1959	27	0.0012	0.00311	0.002112
1959	28	0.00143	0.003	0.002185
1959	29	0.0009	0.00253	0.001679
1959	30	0.00104	0.00389	0.002363
1959	31	0.00131	0.00502	0.003012
1959	32	0.00198	0.00223	0.00209
1959	33	0.00151	0.00352	0.002346
1959	34	0.00129	0.00392	0.002335
1959	35	0.0022	0.00461	0.003139
1959	36	0.00169	0.00346	0.002373
1959	37	0.00154	0.0044	0.002649
1959	38	0.00172	0.00431	0.002755
1959	39	0.00145	0.00527	0.003021
1959	40	0.00259	0.00438	0.003332
1959	41	0.00286	0.00587	0.004115
1959	42	0.00374	0.00577	0.00458
1959	43	0.00305	0.00372	0.003327
1959	44	0.00399	0.00617	0.004894
1959	45	0.00267	0.00721	0.004531
1959	46	0.00337	0.005	0.004039
1959	47	0.00471	0.00673	0.005541
1959	48	0.0049	0.00682	0.005683
1959	49	0.0046	0.01034	0.006931
1959	50	0.005	0.01133	0.00755
1959	51	0.00498	0.00824	0.006295
1959	52	0.00488	0.01192	0.007766
1959	53	0.00866	0.01247	0.010214
1959	54	0.00467	0.01411	0.008459
1959	55	0.00597	0.01659	0.010207
1959	56	0.008	0.01698	0.01158
1959	57	0.00694	0.0176	0.011142
1959	58	0.0089	0.02007	0.013065
1959	59	0.00901	0.02167	0.01366
1959	60	0.00922	0.01838	0.0126
1959	61	0.01122	0.02471	0.016117
1959	62	0.01316	0.02481	0.017306
1959	63	0.0151	0.03164	0.020768
1959	64	0.01494	0.03368	0.02122
1959	65	0.01721	0.03628	0.023527
1959	66	0.01794	0.03796	0.024549
1959	67	0.02114	0.04315	0.028491
1959	68	0.02845	0.04728	0.034786
1959	69	0.03061	0.05362	0.038247
1959	70	0.03778	0.05335	0.042747
1959	71	0.03159	0.06059	0.040787
1959	72	0.04424	0.06633	0.051202
1959	73	0.04843	0.07154	0.055473
1959	74	0.04841	0.08877	0.060499
1959	75	0.0574	0.07923	0.063938
1959	76	0.05573	0.09526	0.067531
1959	77	0.07272	0.11267	0.084382
1959	78	0.07337	0.1257	0.088175
1959	79	0.09118	0.12691	0.101075
1959	80	0.10548	0.14653	0.116656
1959	81	0.10482	0.14122	0.114572
1959	82	0.12601	0.15136	0.13275
1959	83	0.13797	0.17518	0.134671
1959	84	0.15185	0.19006	0.175942
1959	85	0.16686	0.20588	0.194503
1959	86	0.18303	0.22266	0.180875
1959	87	0.20039	0.24039	0.21971
1959	88	0.21896	0.25906	0.231779
1959	89	0.23873	0.27865	0.246512
1959	90	0.25969	0.29912	0.249041
1959	91	0.28182	0.32043	0.284958
1959	92	0.30505	0.34252	0.352203
1959	93	0.32932	0.36531	0.30364
