"Finland,"				
				
Year	Age	Female	Male	Total
1878	0	0.18301	0.21054	0.196775
1878	1	0.0836	0.08267	0.083135
1878	2	0.04683	0.04462	0.045725
1878	3	0.02823	0.02804	0.028135
1878	4	0.02138	0.01945	0.020415
1878	5	0.01569	0.0148	0.015245
1878	6	0.01256	0.012	0.01228
1878	7	0.01002	0.00976	0.00989
1878	8	0.00825	0.00724	0.007745
1878	9	0.00642	0.00672	0.00657
1878	10	0.00668	0.00593	0.006305
1878	11	0.00578	0.00515	0.005465
1878	12	0.0056	0.0049	0.00525
1878	13	0.00514	0.00387	0.004505
1878	14	0.00502	0.00409	0.004555
1878	15	0.00569	0.00489	0.00529
1878	16	0.00627	0.00468	0.005475
1878	17	0.00614	0.0048	0.00547
1878	18	0.00584	0.00635	0.006095
1878	19	0.0057	0.00635	0.006025
1878	20	0.00569	0.00708	0.006385
1878	21	0.00606	0.00664	0.00635
1878	22	0.00717	0.00809	0.00763
1878	23	0.00606	0.00667	0.006365
1878	24	0.00682	0.00832	0.00757
1878	25	0.00593	0.00732	0.006625
1878	26	0.00833	0.00923	0.00878
1878	27	0.00848	0.00801	0.008245
1878	28	0.00847	0.00775	0.00811
1878	29	0.00748	0.00771	0.007595
1878	30	0.00795	0.009	0.008475
1878	31	0.00738	0.00798	0.00768
1878	32	0.00732	0.00762	0.00747
1878	33	0.00839	0.0079	0.008145
1878	34	0.00861	0.00757	0.00809
1878	35	0.00916	0.01035	0.009755
1878	36	0.00848	0.00811	0.008295
1878	37	0.00906	0.01007	0.009565
1878	38	0.00977	0.01036	0.010065
1878	39	0.00969	0.01014	0.009915
1878	40	0.01049	0.01227	0.01138
1878	41	0.01056	0.01294	0.01175
1878	42	0.01136	0.01268	0.01202
1878	43	0.01147	0.01309	0.01228
1878	44	0.01032	0.01251	0.011415
1878	45	0.00911	0.01156	0.010335
1878	46	0.01231	0.01355	0.01293
1878	47	0.0123	0.01549	0.013895
1878	48	0.01023	0.01769	0.01396
1878	49	0.01104	0.01736	0.0142
1878	50	0.01404	0.01776	0.0159
1878	51	0.01592	0.02171	0.018815
1878	52	0.01536	0.02049	0.017925
1878	53	0.01477	0.02283	0.0188
1878	54	0.01438	0.02064	0.01751
1878	55	0.01982	0.02219	0.021005
1878	56	0.02026	0.02612	0.02319
1878	57	0.02428	0.02935	0.026815
1878	58	0.01961	0.03126	0.025435
1878	59	0.02482	0.03305	0.028935
1878	60	0.03274	0.03835	0.035545
1878	61	0.03368	0.04648	0.04008
1878	62	0.03475	0.04912	0.041935
1878	63	0.03944	0.04158	0.04051
1878	64	0.03959	0.04693	0.04326
1878	65	0.04574	0.05595	0.050845
1878	66	0.05065	0.05475	0.0527
1878	67	0.05919	0.0709	0.065045
1878	68	0.06171	0.06453	0.06312
1878	69	0.05535	0.06136	0.058355
1878	70	0.06602	0.0755	0.07076
1878	71	0.08489	0.08555	0.08522
1878	72	0.0884	0.10579	0.097095
1878	73	0.08958	0.1111	0.10034
1878	74	0.09061	0.10583	0.09822
1878	75	0.10574	0.10979	0.107765
1878	76	0.12322	0.10966	0.11644
1878	77	0.1578	0.16437	0.161085
1878	78	0.13447	0.16317	0.14882
1878	79	0.12444	0.12925	0.126845
1878	80	0.18959	0.20893	0.19926
1878	81	0.18499	0.21658	0.200785
1878	82	0.19579	0.23141	0.2136
1878	83	0.20706	0.24693	0.226995
1878	84	0.2188	0.26314	0.24097
1878	85	0.23102	0.28001	0.255515
1878	86	0.2437	0.29754	0.27062
1878	87	0.25685	0.31567	0.28626
1878	88	0.27045	0.33439	0.30242
1878	89	0.28449	0.35365	0.31907
1878	90	0.29897	0.37339	0.33618
1878	91	0.31386	0.39356	0.35371
1878	92	0.32914	0.4141	0.37162
1878	93	0.3448	0.43494	0.38987
1878	94	0.3608	0.45602	0.40841
1878	95	0.37711	0.47725	0.42718
1878	96	0.3937	0.49857	0.446135
1878	97	0.41055	0.51989	0.46522
1878	98	0.42761	0.54114	0.484375
1878	99	0.44484	0.56224	0.50354
1878	100	0.4622	0.58312	0.52266
1878	101	0.47966	0.60371	0.541685
1878	102	0.49717	0.62393	0.56055
1878	103	0.51468	0.64373	0.579205
1878	104	0.53216	0.66306	0.59761
1878	105	0.54956	0.68185	0.615705
1878	106	0.56684	0.70007	0.633455
1878	107	0.58396	0.71767	0.650815
1878	108	0.60087	0.73464	0.667755
1878	109	0.61755	0.75094	0.684245
1878	110+	0.63396	0.76655	0.700255
1879	0	0.14307	0.16986	0.156465
1879	1	0.05056	0.05319	0.051875
1879	2	0.03392	0.03155	0.032735
1879	3	0.02326	0.02243	0.022845
1879	4	0.01745	0.01553	0.01649
1879	5	0.01106	0.01054	0.0108
1879	6	0.00791	0.00723	0.00757
1879	7	0.00747	0.00663	0.00705
1879	8	0.00599	0.00561	0.0058
1879	9	0.00541	0.0045	0.004955
1879	10	0.0047	0.00432	0.00451
1879	11	0.00354	0.00442	0.00398
1879	12	0.00396	0.0047	0.00433
1879	13	0.00372	0.00378	0.00375
1879	14	0.00487	0.00416	0.004515
1879	15	0.00462	0.00487	0.004745
1879	16	0.00369	0.0041	0.003895
1879	17	0.00439	0.00433	0.00436
1879	18	0.00442	0.0052	0.00481
1879	19	0.00507	0.00606	0.005565
1879	20	0.00622	0.00732	0.00677
1879	21	0.00597	0.00636	0.006165
1879	22	0.00659	0.00724	0.006915
1879	23	0.00597	0.00655	0.00626
1879	24	0.00581	0.0071	0.006455
1879	25	0.00652	0.00744	0.00698
1879	26	0.00577	0.00803	0.0069
1879	27	0.00642	0.00664	0.00653
1879	28	0.00709	0.00759	0.00734
1879	29	0.00548	0.00845	0.006965
1879	30	0.00901	0.00868	0.008845
1879	31	0.00863	0.00802	0.008325
1879	32	0.00844	0.00672	0.00758
1879	33	0.00776	0.00736	0.00756
1879	34	0.00931	0.009	0.009155
1879	35	0.00851	0.00883	0.00867
1879	36	0.01076	0.00927	0.010015
1879	37	0.00951	0.0086	0.009055
1879	38	0.00916	0.01086	0.01001
1879	39	0.00854	0.01027	0.009405
1879	40	0.01004	0.01022	0.01013
1879	41	0.00825	0.00896	0.008605
1879	42	0.00872	0.01064	0.00968
1879	43	0.00992	0.00982	0.00987
1879	44	0.00958	0.01208	0.01083
1879	45	0.00938	0.01156	0.01047
1879	46	0.00826	0.01258	0.01042
1879	47	0.00961	0.01007	0.00984
1879	48	0.01106	0.0143	0.01268
1879	49	0.00991	0.01546	0.012685
1879	50	0.01026	0.01675	0.013505
1879	51	0.01334	0.01777	0.015555
1879	52	0.01378	0.01679	0.015285
1879	53	0.01509	0.01816	0.016625
