"France,"				
				
Year	Age	Female	Male	Total
1816	0	0.18699	0.22293	0.20496
1816	1	0.0467	0.04667	0.046685
1816	2	0.03393	0.03431	0.03412
1816	3	0.02291	0.02315	0.02303
1816	4	0.01599	0.01607	0.01603
1816	5	0.01383	0.01364	0.013735
1816	6	0.0121	0.01163	0.011865
1816	7	0.01043	0.00991	0.01017
1816	8	0.00891	0.00838	0.008645
1816	9	0.0076	0.0071	0.00735
1816	10	0.00629	0.00601	0.00615
1816	11	0.00537	0.00521	0.00529
1816	12	0.00491	0.00465	0.00478
1816	13	0.00485	0.00443	0.00464
1816	14	0.00521	0.00455	0.00488
1816	15	0.00576	0.00496	0.00536
1816	16	0.00631	0.00561	0.00596
1816	17	0.00688	0.00645	0.006665
1816	18	0.00739	0.00752	0.007455
1816	19	0.00782	0.00884	0.00833
1816	20	0.00764	0.01029	0.008965
1816	21	0.00753	0.01157	0.00955
1816	22	0.00791	0.01251	0.01021
1816	23	0.00825	0.01292	0.010585
1816	24	0.00855	0.0127	0.010625
1816	25	0.00871	0.01209	0.0104
1816	26	0.00869	0.01123	0.00996
1816	27	0.00873	0.01045	0.00959
1816	28	0.00874	0.00989	0.009315
1816	29	0.00869	0.00953	0.00911
1816	30	0.00915	0.00946	0.009305
1816	31	0.00964	0.00942	0.00953
1816	32	0.00982	0.00954	0.00968
1816	33	0.01005	0.00968	0.009865
1816	34	0.01031	0.00984	0.010075
1816	35	0.01057	0.00995	0.01026
1816	36	0.01094	0.01015	0.010545
1816	37	0.01131	0.01038	0.010845
1816	38	0.01175	0.01065	0.0112
1816	39	0.01228	0.01099	0.011635
1816	40	0.01234	0.01138	0.01186
1816	41	0.01239	0.01191	0.01215
1816	42	0.01288	0.01253	0.012705
1816	43	0.01328	0.01324	0.01326
1816	44	0.01362	0.01407	0.013845
1816	45	0.01409	0.01504	0.014565
1816	46	0.01448	0.0159	0.01519
1816	47	0.01475	0.01663	0.01569
1816	48	0.01518	0.01743	0.016305
1816	49	0.01575	0.01828	0.017015
1816	50	0.01695	0.01911	0.01803
1816	51	0.01826	0.02001	0.019135
1816	52	0.01905	0.02094	0.019995
1816	53	0.01977	0.0218	0.020785
1816	54	0.02044	0.02264	0.02154
1816	55	0.02123	0.02328	0.022255
1816	56	0.02271	0.02448	0.023595
1816	57	0.02435	0.02608	0.025215
1816	58	0.02672	0.02832	0.02752
1816	59	0.03003	0.03138	0.030705
1816	60	0.03356	0.03452	0.03404
1816	61	0.03749	0.03802	0.037755
1816	62	0.04066	0.04093	0.040795
1816	63	0.04331	0.04342	0.043365
1816	64	0.04528	0.04538	0.04533
1816	65	0.04592	0.04634	0.04613
1816	66	0.04795	0.04857	0.04826
1816	67	0.05125	0.05201	0.05163
1816	68	0.056	0.05687	0.056435
1816	69	0.06246	0.0634	0.06293
1816	70	0.07011	0.07081	0.07046
1816	71	0.0787	0.07913	0.078915
1816	72	0.08681	0.08728	0.087045
1816	73	0.09492	0.09555	0.095235
1816	74	0.10153	0.10257	0.10205
1816	75	0.10648	0.10873	0.107605
1816	76	0.11209	0.11566	0.113875
1816	77	0.12017	0.12474	0.122455
1816	78	0.13086	0.13649	0.133675
1816	79	0.13274	0.13858	0.13566
1816	80	0.16112	0.16529	0.163205
1816	81	0.17925	0.18273	0.18099
1816	82	0.19738	0.19991	0.198645
1816	83	0.21398	0.21559	0.214785
1816	84	0.22557	0.2268	0.226185
1816	85	0.22735	0.22922	0.228285
1816	86	0.22414	0.2273	0.22572
1816	87	0.21911	0.2239	0.221505
1816	88	0.21378	0.22046	0.21712
1816	89	0.21295	0.22182	0.217385
1816	90	0.22429	0.23527	0.22978
1816	91	0.23971	0.25141	0.24556
1816	92	0.25677	0.26823	0.2625
1816	93	0.2775	0.28652	0.28201
1816	94	0.30499	0.30511	0.30505
1816	95	0.3052	0.31226	0.30873
1816	96	0.31558	0.32299	0.319285
1816	97	0.32614	0.3339	0.33002
1816	98	0.33689	0.34499	0.34094
1816	99	0.34781	0.35626	0.352035
1816	100	0.35889	0.36769	0.36329
1816	101	0.37012	0.37926	0.37469
1816	102	0.38149	0.39098	0.386235
1816	103	0.393	0.40282	0.39791
1816	104	0.40463	0.41478	0.409705
1816	105	0.41636	0.42684	0.4216
1816	106	0.42819	0.43899	0.43359
1816	107	0.4401	0.45121	0.445655
1816	108	0.45208	0.46349	0.457785
1816	109	0.46412	0.47581	0.469965
1816	110+	0.4762	0.48817	0.482185
1817	0	0.18173	0.21795	0.19984
1817	1	0.05425	0.05391	0.05408
1817	2	0.0389	0.0386	0.03875
1817	3	0.02705	0.02709	0.02707
1817	4	0.01884	0.01892	0.01888
1817	5	0.01524	0.01538	0.01531
1817	6	0.01286	0.01288	0.01287
1817	7	0.01074	0.01069	0.010715
1817	8	0.00893	0.0089	0.008915
1817	9	0.00749	0.00745	0.00747
1817	10	0.00647	0.00637	0.00642
1817	11	0.00575	0.00569	0.00572
1817	12	0.00533	0.00526	0.005295
1817	13	0.00531	0.00509	0.0052
1817	14	0.00565	0.00526	0.005455
1817	15	0.00628	0.00573	0.006005
1817	16	0.00674	0.00629	0.006515
1817	17	0.00711	0.00691	0.00701
1817	18	0.00761	0.00768	0.007645
1817	19	0.00812	0.00862	0.00837
1817	20	0.0086	0.00967	0.009135
1817	21	0.0085	0.0105	0.0095
1817	22	0.00839	0.0111	0.009745
1817	23	0.00872	0.01139	0.010055
1817	24	0.00888	0.01116	0.01002
1817	25	0.00892	0.01049	0.009705
1817	26	0.00881	0.0099	0.009355
1817	27	0.0087	0.00945	0.009075
1817	28	0.00872	0.00914	0.00893
1817	29	0.00883	0.00913	0.00898
1817	30	0.00896	0.00931	0.009135
1817	31	0.00944	0.00938	0.00941
1817	32	0.01003	0.00951	0.00977
1817	33	0.01023	0.00971	0.00997
1817	34	0.01042	0.00989	0.010155
1817	35	0.01064	0.01008	0.01036
1817	36	0.01094	0.01032	0.01063
1817	37	0.01126	0.01058	0.01092
1817	38	0.01165	0.01093	0.01129
1817	39	0.01213	0.01139	0.01176
1817	40	0.01273	0.01196	0.012345
1817	41	0.01288	0.01264	0.01276
1817	42	0.01303	0.01339	0.01321
1817	43	0.01364	0.0141	0.01387
1817	44	0.01411	0.0147	0.014405
1817	45	0.01447	0.01523	0.01485
1817	46	0.01507	0.01597	0.01552
1817	47	0.0157	0.01684	0.01627
1817	48	0.01621	0.0178	0.017005
1817	49	0.01694	0.01908	0.01801
1817	50	0.01783	0.02062	0.019225
1817	51	0.01915	0.02194	0.020545
1817	52	0.02039	0.02306	0.021725
1817	53	0.02088	0.02404	0.02246
1817	54	0.02109	0.02469	0.02289
1817	55	0.0212	0.0252	0.0232
1817	56	0.02232	0.02628	0.0243
1817	57	0.02419	0.02789	0.02604
1817	58	0.02648	0.03012	0.0283
1817	59	0.02981	0.03323	0.03152
1817	60	0.03405	0.03711	0.03558
1817	61	0.03835	0.04106	0.039705
1817	62	0.0418	0.04432	0.04306
1817	63	0.04417	0.04685	0.04551
