Northern				
				
Year	Age	Female	Male	Total
1922	0	0.07217	0.08912	0.080645
1922	1	0.01996	0.02178	0.02087
1922	2	0.00938	0.01051	0.009945
1922	3	0.00551	0.00475	0.00513
1922	4	0.00461	0.00433	0.00447
1922	5	0.00392	0.00369	0.003805
1922	6	0.00331	0.00287	0.00309
1922	7	0.00278	0.00225	0.002515
1922	8	0.0024	0.00186	0.00213
1922	9	0.00215	0.00164	0.001895
1922	10	0.00198	0.00155	0.001765
1922	11	0.00198	0.00162	0.0018
1922	12	0.00218	0.00189	0.002035
1922	13	0.00253	0.00233	0.00243
1922	14	0.00305	0.00289	0.00297
1922	15	0.00375	0.0036	0.003675
1922	16	0.0044	0.00434	0.00437
1922	17	0.00491	0.00501	0.00496
1922	18	0.00524	0.00565	0.005445
1922	19	0.00535	0.00635	0.00585
1922	20	0.00528	0.0069	0.00609
1922	21	0.00512	0.00698	0.00605
1922	22	0.00516	0.00701	0.006085
1922	23	0.00547	0.00729	0.00638
1922	24	0.00575	0.00736	0.006555
1922	25	0.00604	0.00712	0.00658
1922	26	0.00629	0.00683	0.00656
1922	27	0.00708	0.00711	0.007095
1922	28	0.00785	0.00743	0.00764
1922	29	0.00797	0.00746	0.007715
1922	30	0.008	0.00759	0.007795
1922	31	0.0076	0.00726	0.00743
1922	32	0.00761	0.00734	0.007475
1922	33	0.00796	0.00772	0.00784
1922	34	0.00797	0.00752	0.007745
1922	35	0.00787	0.0072	0.007535
1922	36	0.00773	0.00695	0.00734
1922	37	0.00877	0.00774	0.008255
1922	38	0.00974	0.00867	0.009205
1922	39	0.0094	0.00862	0.00901
1922	40	0.00953	0.00862	0.009075
1922	41	0.00885	0.0079	0.008375
1922	42	0.00885	0.00814	0.008495
1922	43	0.00953	0.00901	0.00927
1922	44	0.00955	0.00897	0.00926
1922	45	0.00946	0.00861	0.009035
1922	46	0.00943	0.00832	0.008875
1922	47	0.01154	0.01014	0.01084
1922	48	0.01419	0.01283	0.01351
1922	49	0.01441	0.0136	0.014005
1922	50	0.01532	0.01497	0.015145
1922	51	0.01579	0.01559	0.01569
1922	52	0.01703	0.01682	0.016925
1922	53	0.01896	0.01913	0.019045
1922	54	0.01927	0.01954	0.019405
1922	55	0.01833	0.01797	0.01815
1922	56	0.01787	0.01662	0.017245
1922	57	0.02121	0.01897	0.02009
1922	58	0.02585	0.02325	0.02455
1922	59	0.02658	0.02448	0.02553
1922	60	0.02846	0.02669	0.027575
1922	61	0.02827	0.02671	0.02749
1922	62	0.03125	0.02958	0.030415
1922	63	0.03603	0.03506	0.035545
1922	64	0.03454	0.03528	0.03491
1922	65	0.03181	0.03442	0.033115
1922	66	0.03118	0.03645	0.033815
1922	67	0.03492	0.04268	0.0388
1922	68	0.04019	0.04924	0.044715
1922	69	0.04618	0.05533	0.050755
1922	70	0.05697	0.06525	0.06111
1922	71	0.06466	0.07172	0.06819
1922	72	0.07446	0.08085	0.077655
1922	73	0.09131	0.09604	0.093675
1922	74	0.1023	0.10387	0.103085
1922	75	0.10321	0.10268	0.102945
1922	76	0.09717	0.09829	0.09773
1922	77	0.1023	0.10291	0.102605
1922	78	0.11808	0.11596	0.11702
1922	79	0.12181	0.12384	0.122825
1922	80	0.14162	0.14564	0.14363
1922	81	0.15663	0.1625	0.159565
1922	82	0.17231	0.17865	0.17548
1922	83	0.18769	0.19234	0.190015
1922	84	0.2014	0.20074	0.20107
1922	85	0.20397	0.20658	0.205275
1922	86	0.21663	0.21966	0.218145
1922	87	0.22985	0.23333	0.23159
1922	88	0.24362	0.24757	0.245595
1922	89	0.25795	0.26239	0.26017
1922	90	0.27281	0.27776	0.275285
1922	91	0.28819	0.29368	0.290935
1922	92	0.30408	0.31012	0.3071
1922	93	0.32046	0.32705	0.323755
1922	94	0.33728	0.34445	0.340865
1922	95	0.35453	0.36227	0.3584
1922	96	0.37217	0.38048	0.376325
1922	97	0.39015	0.39903	0.39459
1922	98	0.40844	0.41788	0.41316
1922	99	0.42698	0.43697	0.431975
1922	100	0.44573	0.45625	0.45099
1922	101	0.46464	0.47566	0.47015
1922	102	0.48365	0.49514	0.489395
1922	103	0.50271	0.51464	0.508675
1922	104	0.52176	0.5341	0.52793
1922	105	0.54074	0.55345	0.547095
1922	106	0.55961	0.57264	0.566125
1922	107	0.57831	0.59161	0.58496
1922	108	0.59678	0.61032	0.60355
1922	109	0.61499	0.62871	0.62185
1922	110+	0.63288	0.64673	0.639805
1923	0	0.07471	0.0907	0.082705
1923	1	0.02375	0.02445	0.0241
1923	2	0.00908	0.00879	0.008935
1923	3	0.00664	0.00703	0.006835
1923	4	0.00338	0.00385	0.003615
1923	5	0.00234	0.00283	0.002585
1923	6	0.00235	0.0028	0.002575
1923	7	0.00228	0.00257	0.002425
1923	8	0.0022	0.0023	0.00225
1923	9	0.00219	0.00205	0.00212
1923	10	0.00225	0.00181	0.00203
1923	11	0.00235	0.00169	0.00202
1923	12	0.00249	0.0017	0.002095
1923	13	0.00268	0.00191	0.002295
1923	14	0.00286	0.00226	0.00256
1923	15	0.00306	0.00268	0.00287
1923	16	0.00335	0.00312	0.003235
1923	17	0.00371	0.0036	0.003655
1923	18	0.00414	0.00406	0.0041
1923	19	0.0046	0.00454	0.00457
1923	20	0.00505	0.0051	0.005075
1923	21	0.00542	0.00551	0.005465
1923	22	0.0056	0.0055	0.00555
1923	23	0.00581	0.00541	0.00561
1923	24	0.00616	0.00545	0.005805
1923	25	0.00631	0.00531	0.00581
1923	26	0.00631	0.00508	0.005695
1923	27	0.00623	0.00488	0.005555
1923	28	0.00668	0.00515	0.005915
1923	29	0.00704	0.00552	0.00628
1923	30	0.00681	0.00572	0.006265
1923	31	0.00666	0.00595	0.006305
1923	32	0.0063	0.00579	0.006045
1923	33	0.00638	0.00593	0.006155
1923	34	0.00688	0.00631	0.006595
1923	35	0.00713	0.00621	0.00667
1923	36	0.00721	0.00602	0.006615
1923	37	0.00718	0.0059	0.00654
1923	38	0.00821	0.00667	0.00744
1923	39	0.00914	0.0076	0.00837
1923	40	0.00881	0.00766	0.008235
1923	41	0.00899	0.00776	0.008375
1923	42	0.00838	0.00719	0.007785
1923	43	0.00838	0.0075	0.00794
1923	44	0.00899	0.00842	0.008705
1923	45	0.00897	0.00851	0.00874
1923	46	0.00896	0.00838	0.00867
1923	47	0.00912	0.00823	0.008675
1923	48	0.01152	0.01008	0.0108
