"Scotland,"				
				
Year	Age	Female	Male	Total
1855	0	0.11468	0.13777	0.126445
1855	1	0.06493	0.0645	0.064711
1855	2	0.03648	0.03249	0.034454
1855	3	0.02397	0.02294	0.023443
1855	4	0.01689	0.01627	0.016573
1855	5	0.01279	0.01239	0.012584
1855	6	0.01007	0.01016	0.010117
1855	7	0.00784	0.00827	0.00806
1855	8	0.00616	0.00684	0.006503
1855	9	0.00497	0.00586	0.005408
1855	10	0.00449	0.00536	0.004914
1855	11	0.0044	0.00515	0.00477
1855	12	0.00444	0.00514	0.004782
1855	13	0.00461	0.0054	0.004991
1855	14	0.00482	0.00605	0.005396
1855	15	0.0052	0.00692	0.005993
1855	16	0.0057	0.00771	0.006624
1855	17	0.00617	0.00849	0.007233
1855	18	0.00662	0.00935	0.007867
1855	19	0.00702	0.01044	0.008551
1855	20	0.00734	0.01138	0.009118
1855	21	0.00757	0.0118	0.009433
1855	22	0.00773	0.0119	0.009558
1855	23	0.00788	0.01172	0.009572
1855	24	0.00826	0.01143	0.009675
1855	25	0.0086	0.01096	0.009666
1855	26	0.00875	0.01051	0.009547
1855	27	0.00899	0.0103	0.009581
1855	28	0.0093	0.01028	0.009742
1855	29	0.00964	0.01043	0.009997
1855	30	0.00995	0.01067	0.010274
1855	31	0.01019	0.01086	0.010493
1855	32	0.01039	0.01097	0.010649
1855	33	0.01053	0.011	0.010743
1855	34	0.01062	0.01097	0.01078
1855	35	0.01081	0.01103	0.010909
1855	36	0.01111	0.01127	0.011184
1855	37	0.01146	0.01164	0.01154
1855	38	0.01189	0.01214	0.012005
1855	39	0.01242	0.01273	0.012563
1855	40	0.01284	0.01331	0.013054
1855	41	0.01302	0.01379	0.013379
1855	42	0.01308	0.01417	0.013586
1855	43	0.01301	0.01447	0.01369
1855	44	0.01282	0.01479	0.013728
1855	45	0.01271	0.01515	0.013831
1855	46	0.01285	0.01556	0.014092
1855	47	0.01323	0.01605	0.014525
1855	48	0.01403	0.01679	0.015292
1855	49	0.01554	0.01792	0.016633
1855	50	0.0171	0.01888	0.017921
1855	51	0.01803	0.01938	0.018648
1855	52	0.01875	0.01982	0.019244
1855	53	0.01893	0.02008	0.019458
1855	54	0.01804	0.01987	0.018862
1855	55	0.01769	0.02019	0.018795
1855	56	0.01859	0.02154	0.019889
1855	57	0.01993	0.0234	0.021454
1855	58	0.02222	0.02628	0.023993
1855	59	0.02678	0.03136	0.028794
1855	60	0.03169	0.03684	0.03396
1855	61	0.03395	0.03998	0.03659
1855	62	0.03547	0.04234	0.038455
1855	63	0.03648	0.04416	0.039802
1855	64	0.03729	0.04578	0.04094
1855	65	0.0378	0.04709	0.041765
1855	66	0.03889	0.04877	0.043074
