"Greece,"				
				
Year	Age	Female	Male	Total
1981	0	0.01239	0.01527	0.013884
1981	1	0.00066	0.00064	0.000653
1981	2	0.00034	0.00054	0.000443
1981	3	0.00027	0.00051	0.000391
1981	4	0.0003	0.00048	0.000397
1981	5	0.00022	0.00023	0.000225
1981	6	0.00021	0.00031	0.000259
1981	7	0.00023	0.00022	0.000228
1981	8	0.00014	0.00031	0.000229
1981	9	0.00026	0.00028	0.00027
1981	10	0.00022	0.00037	0.000294
1981	11	0.00019	0.00023	0.000208
1981	12	0.00016	0.0003	0.000228
1981	13	0.00023	0.00043	0.000334
1981	14	0.00025	0.00035	0.0003
1981	15	0.00028	0.00064	0.000465
1981	16	0.00041	0.00067	0.000543
1981	17	0.00034	0.00082	0.000585
1981	18	0.00042	0.00104	0.000734
1981	19	0.00026	0.00084	0.000556
1981	20	0.0005	0.00108	0.000797
1981	21	0.00033	0.00127	0.000804
1981	22	0.00033	0.00107	0.0007
1981	23	0.00054	0.00119	0.000862
1981	24	0.00036	0.00129	0.000815
1981	25	0.00048	0.00111	0.000789
1981	26	0.00041	0.00115	0.000779
1981	27	0.00046	0.00113	0.000798
1981	28	0.00058	0.00101	0.000795
1981	29	0.00053	0.00099	0.00076
1981	30	0.00057	0.00094	0.000756
1981	31	0.00055	0.00123	0.000886
1981	32	0.00062	0.00105	0.000832
1981	33	0.00057	0.00105	0.000804
1981	34	0.00068	0.00107	0.000874
1981	35	0.0009	0.00145	0.001171
1981	36	0.00045	0.0015	0.000962
1981	37	0.001	0.00156	0.001278
1981	38	0.0007	0.00122	0.000959
1981	39	0.00059	0.00137	0.000968
1981	40	0.00088	0.00182	0.001331
1981	41	0.00115	0.00207	0.001596
1981	42	0.00114	0.00178	0.001446
1981	43	0.00124	0.00239	0.001793
1981	44	0.00138	0.00217	0.001756
1981	45	0.00137	0.0026	0.001959
1981	46	0.00206	0.00291	0.002473
1981	47	0.00209	0.00329	0.002683
1981	48	0.00212	0.00343	0.002768
1981	49	0.00185	0.00396	0.002919
1981	50	0.003	0.00468	0.003832
1981	51	0.00273	0.00535	0.004014
1981	52	0.00338	0.00559	0.004467
1981	53	0.00318	0.00589	0.004503
1981	54	0.00356	0.00702	0.005243
1981	55	0.00423	0.00843	0.006245
1981	56	0.00405	0.00898	0.006408
1981	57	0.00497	0.01003	0.007403
1981	58	0.00526	0.01129	0.008079
1981	59	0.00522	0.01121	0.008078
1981	60	0.00696	0.01396	0.010324
1981	61	0.00858	0.01594	0.012039
1981	62	0.00865	0.01572	0.011901
1981	63	0.0107	0.01784	0.013949
1981	64	0.01083	0.02026	0.015199
1981	65	0.01217	0.02169	0.016551
1981	66	0.01492	0.02403	0.019179
1981	67	0.0142	0.026	0.019797
1981	68	0.0157	0.03019	0.022271
1981	69	0.01671	0.03149	0.023279
1981	70	0.02112	0.0346	0.027005
1981	71	0.02629	0.03699	0.031107
1981	72	0.03062	0.04378	0.036889
1981	73	0.03261	0.04686	0.039248
1981	74	0.03427	0.05055	0.04161
1981	75	0.04203	0.05373	0.04702
1981	76	0.04899	0.06329	0.055298
1981	77	0.05209	0.06876	0.05982
1981	78	0.06423	0.07483	0.06901
1981	79	0.0569	0.08255	0.067605
1981	80	0.08425	0.09522	0.088513
1981	81	0.08936	0.10705	0.096167
1981	82	0.08128	0.10495	0.091066
1981	83	0.11093	0.12401	0.116429
1981	84	0.10767	0.12958	0.116481
1981	85	0.13301	0.14625	0.138096
1981	86	0.15293	0.16149	0.156179
1981	87	0.14126	0.17058	0.152734
1981	88	0.17382	0.18105	0.176742
1981	89	0.16754	0.20546	0.18237
1981	90	0.20783	0.21802	0.211367
1981	91	0.2323	0.23031	0.231646
1981	92	0.19251	0.24733	0.211983
1981	93	0.26327	0.25245	0.259134
1981	94	0.21517	0.27473	0.237241
1981	95	0.27829	0.30161	0.274182
1981	96	0.29845	0.3218	0.310742
1981	97	0.31943	0.34268	0.273492
1981	98	0.34116	0.36419	0.305216
1981	99	0.36358	0.38626	0.386909
1981	100	0.38661	0.40881	0.389661
1981	101	0.41016	0.43174	0.413645
1981	102	0.43413	0.45497	0.439275
1981	103	0.45841	0.4784	0.46737
1981	104	0.48289	0.50193	0.500158
1981	105	0.50745	0.52544	0.535536
1981	106	0.53198	0.54885	0.569286
1981	107	0.55635	0.57204	0.610385
1981	108	0.58045	0.59491	0.660985
1981	109	0.60418	0.61739	0.773027
1981	110+	0.62742	0.63937	1.211334
1982	0	0.01317	0.01591	0.014586
1982	1	0.00049	0.00063	0.000562
1982	2	0.00044	0.00042	0.000428
1982	3	0.00035	0.00034	0.000347
1982	4	0.00024	0.00024	0.000239
1982	5	0.00039	0.00017	0.000275
1982	6	0.00022	0.00037	0.000297
1982	7	0.00018	0.00023	0.000205
1982	8	0.00034	0.00026	0.000301
1982	9	0.00022	0.00033	0.000275
1982	10	0.00019	0.00031	0.000255
1982	11	0.00018	0.00022	0.0002
1982	12	0.00011	0.00045	0.000285
1982	13	0.00018	0.0003	0.000241
1982	14	0.00023	0.00047	0.000352
1982	15	0.00034	0.00049	0.000414
1982	16	0.00024	0.00065	0.000451
1982	17	0.0004	0.00106	0.000737
1982	18	0.00039	0.00099	0.000691
1982	19	0.00035	0.00103	0.00069
1982	20	0.00046	0.00107	0.000766
1982	21	0.0005	0.00124	0.00088
1982	22	0.00041	0.00097	0.000693
1982	23	0.00035	0.00101	0.000683
1982	24	0.00026	0.00111	0.000681
1982	25	0.00044	0.00118	0.000806
1982	26	0.00039	0.00107	0.000723
1982	27	0.0005	0.00098	0.000739
1982	28	0.00043	0.0011	0.000765
1982	29	0.00046	0.0012	0.000832
1982	30	0.00063	0.00102	0.000825
1982	31	0.00046	0.00106	0.000762
1982	32	0.00046	0.00117	0.000819
1982	33	0.00059	0.0011	0.000838
1982	34	0.00065	0.00106	0.000848
1982	35	0.00081	0.00136	0.001081
1982	36	0.00085	0.00122	0.001033
1982	37	0.00056	0.00131	0.000924
1982	38	0.00083	0.00156	0.001191
1982	39	0.00094	0.00201	0.001473
1982	40	0.00099	0.00161	0.001292
1982	41	0.00096	0.00165	0.001293
1982	42	0.00109	0.00197	0.001515
1982	43	0.00135	0.00257	0.001939
1982	44	0.00136	0.00241	0.001863
1982	45	0.00143	0.00273	0.002052
1982	46	0.00163	0.00291	0.002246
1982	47	0.00169	0.00292	0.002287
1982	48	0.00201	0.00371	0.002845
1982	49	0.00249	0.00423	0.003353
1982	50	0.0021	0.00478	0.003456
1982	51	0.00228	0.00536	0.003809
1982	52	0.0028	0.00556	0.00415
1982	53	0.00346	0.00615	0.004784
1982	54	0.00355	0.00638	0.00493
1982	55	0.00436	0.00851	0.006377
1982	56	0.00393	0.00862	0.006182
1982	57	0.00506	0.01005	0.007438
1982	58	0.00502	0.01199	0.008361
1982	59	0.00567	0.01173	0.008502
1982	60	0.0062	0.01309	0.009481
1982	61	0.00717	0.01402	0.010448
1982	62	0.00905	0.01636	0.012471
1982	63	0.00845	0.01745	0.012573
1982	64	0.01065	0.0197	0.014756
1982	65	0.01138	0.02219	0.016376
1982	66	0.01249	0.02378	0.017667
1982	67	0.01488	0.02731	0.020662
1982	68	0.0158	0.02834	0.021719
1982	69	0.01828	0.03248	0.024684
1982	70	0.01886	0.03451	0.025778
1982	71	0.02552	0.03967	0.031674
1982	72	0.0283	0.04213	0.034495
1982	73	0.03236	0.04734	0.039433
1982	74	0.03802	0.05285	0.04488
1982	75	0.03817	0.05443	0.045467
1982	76	0.04483	0.06023	0.05136
1982	77	0.05235	0.06633	0.058464
1982	78	0.05899	0.07795	0.067707
1982	79	0.07147	0.08549	0.077735
1982	80	0.07043	0.09251	0.079749
1982	81	0.08645	0.0951	0.089775
1982	82	0.09711	0.10814	0.101313
1982	83	0.08774	0.11587	0.099258
1982	84	0.11601	0.13159	0.122486
1982	85	0.12771	0.13259	0.129659
1982	86	0.15058	0.1568	0.152958
1982	87	0.15803	0.15882	0.158324
1982	88	0.15464	0.17186	0.161326
1982	89	0.18783	0.2089	0.196261
1982	90	0.17308	0.21493	0.189235
1982	91	0.2125	0.23082	0.218771
1982	92	0.21913	0.23549	0.224415
1982	93	0.20629	0.25249	0.222425
1982	94	0.23817	0.27797	0.253193
1982	95	0.26915	0.29388	0.239866
1982	96	0.28883	0.31399	0.262156
1982	97	0.30934	0.33482	0.294816
1982	98	0.33062	0.35632	0.27247
1982	99	0.35263	0.37841	0.358852
1982	100	0.37527	0.40102	0.380509
1982	101	0.39848	0.42406	0.404501
1982	102	0.42215	0.44744	0.429243
1982	103	0.44619	0.47104	0.456037
1982	104	0.47048	0.49478	0.486869
1982	105	0.49491	0.51854	0.525353
1982	106	0.51936	0.54222	0.56974
1982	107	0.54372	0.56571	0.611959
1982	108	0.56788	0.58891	0.668757
1982	109	0.59171	0.61172	0.749766
1982	110+	0.61512	0.63405	1.166587
1983	0	0.01264	0.01593	0.014344
1983	1	0.00069	0.00072	0.000705
1983	2	0.00041	0.00032	0.000364
1983	3	0.00027	0.00045	0.000362
1983	4	0.00025	0.00032	0.000284
1983	5	0.00024	0.00024	0.000238
1983	6	0.00016	0.00026	0.000214
1983	7	0.00029	0.00036	0.000323
1983	8	0.00015	0.00031	0.000231
1983	9	0.00022	0.00026	0.00024
1983	10	0.00021	0.00023	0.000221
1983	11	0.00019	0.00031	0.000254
1983	12	0.00014	0.00031	0.000226
1983	13	0.00029	0.0003	0.000297
1983	14	0.00032	0.00059	0.000462
1983	15	0.00028	0.00056	0.000419
1983	16	0.00038	0.00067	0.000529
1983	17	0.00025	0.00115	0.000713
1983	18	0.0004	0.00139	0.000904
1983	19	0.00044	0.00137	0.00091
1983	20	0.00026	0.00132	0.00079
