"Hong Kong,"				
				
Year	Age	Female	Male	Total
1986	0	0.00703	0.00738	0.007205
1986	1	0.00065	0.00048	0.000565
1986	2	0.00037	0.0003	0.000335
1986	3	0.00031	0.0004	0.000355
1986	4	0.00023	0.0002	0.000215
1986	5	0.00017	0.00025	0.00021
1986	6	0.00015	0.00025	0.0002
1986	7	0.0002	0.00016	0.00018
1986	8	0.00018	0.00012	0.00015
1986	9	0.0002	0.00016	0.00018
1986	10	0.0001	0.00023	0.000165
1986	11	0.00024	0.00013	0.000185
1986	12	0.00029	0.00022	0.000255
1986	13	0.00035	0.0003	0.000325
1986	14	0.00017	0.00026	0.000215
1986	15	0.00015	0.00042	0.000285
1986	16	0.00031	0.00022	0.000265
1986	17	0.00021	0.00037	0.00029
1986	18	0.00038	0.00046	0.00042
1986	19	0.0004	0.00032	0.00036
1986	20	0.0004	0.0006	0.0005
1986	21	0.00028	0.00061	0.000445
1986	22	0.00025	0.00052	0.000385
1986	23	0.00022	0.00053	0.000375
1986	24	0.00032	0.0006	0.00046
1986	25	0.00036	0.00068	0.00052
1986	26	0.00026	0.00063	0.000445
1986	27	0.00041	0.00056	0.000485
1986	28	0.00039	0.00054	0.000465
1986	29	0.00044	0.00062	0.00053
1986	30	0.00039	0.00089	0.00064
1986	31	0.00047	0.00099	0.00073
1986	32	0.00055	0.00096	0.000755
1986	33	0.00066	0.0009	0.00078
1986	34	0.00058	0.00088	0.00073
1986	35	0.00066	0.00101	0.000835
1986	36	0.00085	0.00134	0.001095
1986	37	0.00087	0.00153	0.0012
1986	38	0.00086	0.0011	0.00098
1986	39	0.00085	0.00169	0.00127
1986	40	0.00087	0.00179	0.00133
1986	41	0.00106	0.00167	0.001365
1986	42	0.00115	0.00241	0.00178
1986	43	0.00171	0.00269	0.0022
1986	44	0.00126	0.00324	0.00225
1986	45	0.00152	0.00313	0.002325
1986	46	0.00127	0.00336	0.002315
1986	47	0.00189	0.0035	0.002695
1986	48	0.00201	0.00395	0.00298
1986	49	0.00267	0.00402	0.003345
1986	50	0.0028	0.00617	0.004485
1986	51	0.00317	0.00578	0.004475
1986	52	0.00373	0.00596	0.004845
1986	53	0.00414	0.00767	0.005905
1986	54	0.00401	0.00787	0.00594
1986	55	0.00466	0.00803	0.006345
1986	56	0.00529	0.01105	0.00817
1986	57	0.00427	0.00921	0.00674
1986	58	0.00592	0.01204	0.00898
1986	59	0.00564	0.0111	0.00837
1986	60	0.00678	0.01646	0.01162
1986	61	0.00748	0.01427	0.010875
1986	62	0.00886	0.0166	0.01273
1986	63	0.00855	0.01892	0.013735
1986	64	0.01188	0.02049	0.016185
1986	65	0.01339	0.02591	0.01965
1986	66	0.01288	0.02529	0.019085
1986	67	0.01298	0.02518	0.01908
1986	68	0.01762	0.02949	0.023555
1986	69	0.01733	0.03216	0.024745
1986	70	0.02006	0.03671	0.028385
1986	71	0.02191	0.03856	0.030235
1986	72	0.02218	0.0411	0.03164
1986	73	0.02689	0.0484	0.037645
1986	74	0.03046	0.05085	0.040655
1986	75	0.03655	0.06385	0.0502
1986	76	0.03861	0.06413	0.05137
1986	77	0.04107	0.0673	0.054185
1986	78	0.04511	0.06859	0.05685
1986	79	0.0436	0.06505	0.054325
1986	80	0.06247	0.10842	0.085445
1986	81	0.05841	0.09613	0.07727
1986	82	0.06459	0.12392	0.094255
1986	83	0.07818	0.13031	0.104245
1986	84	0.09507	0.14543	0.12025
1986	85	0.10404	0.15407	0.129055
1986	86	0.12059	0.163	0.141795
1986	87	0.1199	0.17575	0.147825
1986	88	0.13224	0.18928	0.16076
1986	89	0.14564	0.20359	0.174615
1986	90	0.16015	0.21869	0.18942
1986	91	0.1758	0.23458	0.20519
1986	92	0.19264	0.25126	0.22195
1986	93	0.21067	0.2687	0.239685
1986	94	0.22991	0.28689	0.2584
1986	95	0.25036	0.30579	0.278075
1986	96	0.27197	0.32538	0.298675
1986	97	0.29472	0.34559	0.320155
1986	98	0.31855	0.36638	0.342465
1986	99	0.34335	0.38768	0.365515
1986	100	0.36905	0.40941	0.38923
1986	101	0.39551	0.43151	0.41351
1986	102	0.42259	0.45388	0.438235
1986	103	0.45015	0.47643	0.46329
1986	104	0.47802	0.49909	0.488555
1986	105	0.50603	0.52175	0.51389
1986	106	0.534	0.54432	0.53916
1986	107	0.56175	0.56671	0.56423
1986	108	0.58913	0.58883	0.58898
1986	109	0.61596	0.61059	0.613275
1986	110+	0.64211	0.63193	0.63702
1987	0	0.00651	0.00743	0.00697
1987	1	0.00057	0.0007	0.000635
1987	2	0.00026	0.00033	0.000295
1987	3	0.00017	0.00042	0.000295
1987	4	0.00024	0.00024	0.00024
1987	5	0.00007	0.00018	0.000125
1987	6	0.00017	0.00013	0.00015
1987	7	0.0002	0.00021	0.000205
1987	8	0.00017	0.00021	0.00019
1987	9	0.00015	0.00019	0.00017
1987	10	0.0001	0.00014	0.00012
1987	11	0.00007	0.0002	0.000135
1987	12	0.00014	0.00029	0.000215
1987	13	0.00017	0.00022	0.000195
1987	14	0.00019	0.00022	0.000205
1987	15	0.00007	0.00024	0.000155
1987	16	0.00019	0.00027	0.00023
1987	17	0.00019	0.00037	0.00028
1987	18	0.00024	0.00054	0.00039
1987	19	0.00023	0.00038	0.000305
1987	20	0.00026	0.00052	0.00039
1987	21	0.00038	0.00029	0.000335
1987	22	0.00031	0.00029	0.0003
1987	23	0.00023	0.00065	0.00044
1987	24	0.00025	0.00061	0.00043
1987	25	0.00022	0.00056	0.00039
1987	26	0.00043	0.00051	0.00047
1987	27	0.00036	0.00056	0.00046
1987	28	0.00049	0.00078	0.000635
1987	29	0.0005	0.00068	0.00059
1987	30	0.00061	0.00102	0.000815
1987	31	0.00048	0.00075	0.000615
1987	32	0.00054	0.00085	0.000695
1987	33	0.00063	0.00087	0.00075
1987	34	0.00053	0.00072	0.000625
1987	35	0.0006	0.00086	0.00073
1987	36	0.00082	0.00129	0.001055
1987	37	0.00075	0.00123	0.00099
1987	38	0.00067	0.00126	0.000965
1987	39	0.00121	0.00112	0.001165
1987	40	0.00097	0.00194	0.001455
1987	41	0.00094	0.00168	0.00131
1987	42	0.0009	0.00184	0.00137
1987	43	0.00092	0.002	0.00146
1987	44	0.00122	0.00219	0.001705
1987	45	0.00116	0.00363	0.002395
1987	46	0.00153	0.00324	0.002385
1987	47	0.00158	0.00388	0.00273
1987	48	0.00211	0.00406	0.003085
1987	49	0.00243	0.00523	0.00383
1987	50	0.00256	0.00666	0.00461
1987	51	0.00258	0.00527	0.003925
1987	52	0.00338	0.00533	0.004355
1987	53	0.00347	0.00731	0.00539
1987	54	0.00395	0.00837	0.00616
1987	55	0.00431	0.00932	0.006815
1987	56	0.00437	0.00933	0.00685
1987	57	0.00516	0.01071	0.007935
1987	58	0.00589	0.01197	0.00893
1987	59	0.00574	0.01119	0.008465
1987	60	0.00745	0.01457	0.01101
