"Croatia,"				
				
Year	Age	Female	Male	Total
2001	0	0.00736	0.00786	0.00761
2001	1	0.00038	0.00063	0.000505
2001	2	0.00023	0.00043	0.00033
2001	3	0.00021	0.00037	0.00029
2001	4	0.00017	0.00027	0.00022
2001	5	0.00025	0.00008	0.000165
2001	6	0.00013	0.00017	0.00015
2001	7	0.00009	0.00017	0.00013
2001	8	0.00013	0.00028	0.000205
2001	9	0.00018	0.00033	0.000255
2001	10	0.00008	0.00015	0.000115
2001	11	0.00017	0.00008	0.000125
2001	12	0.00004	0.00012	0.00008
2001	13	0.00012	0.00023	0.000175
2001	14	0.00016	0.00057	0.000365
2001	15	0.00008	0.00044	0.00026
2001	16	0.00022	0.00067	0.000445
2001	17	0.00036	0.00083	0.000595
2001	18	0.0004	0.00105	0.000725
2001	19	0.00043	0.00111	0.00077
2001	20	0.00043	0.00088	0.000655
2001	21	0.00035	0.00147	0.00091
2001	22	0.00021	0.00105	0.00063
2001	23	0.00029	0.00164	0.000965
2001	24	0.00033	0.00147	0.0009
2001	25	0.0004	0.00141	0.000905
2001	26	0.00022	0.00106	0.00064
2001	27	0.00026	0.00122	0.00074
2001	28	0.00033	0.00111	0.00072
2001	29	0.00025	0.00099	0.00062
2001	30	0.00041	0.00099	0.0007
2001	31	0.00055	0.00123	0.00089
2001	32	0.00057	0.00139	0.00098
2001	33	0.00059	0.00142	0.001005
2001	34	0.00063	0.0012	0.000915
2001	35	0.00064	0.00223	0.001435
2001	36	0.00065	0.0019	0.001275
2001	37	0.00066	0.00189	0.001275
2001	38	0.00084	0.00209	0.001465
2001	39	0.0011	0.00245	0.001775
2001	40	0.00117	0.00274	0.001955
2001	41	0.00119	0.00319	0.00219
2001	42	0.0011	0.00364	0.00237
2001	43	0.00157	0.00403	0.0028
2001	44	0.00172	0.00439	0.003055
2001	45	0.00156	0.005	0.00328
2001	46	0.00214	0.00545	0.003795
2001	47	0.00227	0.00616	0.004215
2001	48	0.00214	0.00599	0.004065
2001	49	0.0025	0.00747	0.004985
2001	50	0.00291	0.00748	0.005195
2001	51	0.00391	0.0083	0.006105
2001	52	0.00355	0.01012	0.006835
2001	53	0.00415	0.01078	0.007465
2001	54	0.00455	0.01225	0.0084
2001	55	0.00408	0.01133	0.007705
2001	56	0.00508	0.01362	0.00935
2001	57	0.00646	0.01475	0.010605
2001	58	0.00514	0.01646	0.0108
2001	59	0.00664	0.01482	0.01073
2001	60	0.00669	0.01937	0.01303
2001	61	0.00852	0.01996	0.01424
2001	62	0.00941	0.02176	0.015585
2001	63	0.00973	0.0237	0.016715
2001	64	0.01091	0.02719	0.01905
2001	65	0.0117	0.02821	0.019955
2001	66	0.0139	0.03082	0.02236
2001	67	0.01461	0.0347	0.024655
2001	68	0.01827	0.03854	0.028405
2001	69	0.02082	0.04219	0.031505
2001	70	0.02385	0.04591	0.03488
2001	71	0.02649	0.05098	0.038735
2001	72	0.03022	0.05324	0.04173
2001	73	0.0317	0.05738	0.04454
2001	74	0.03695	0.06445	0.0507
