"Hungary,"				
				
Year	Age	Female	Male	Total
1950	0	0.08037	0.09971	0.09004
1950	1	0.00716	0.00756	0.00736
1950	2	0.00322	0.00348	0.00335
1950	3	0.00207	0.00278	0.002425
1950	4	0.00169	0.00198	0.001835
1950	5	0.00127	0.00149	0.00138
1950	6	0.00127	0.00172	0.001495
1950	7	0.00112	0.00118	0.00115
1950	8	0.00079	0.00133	0.00106
1950	9	0.00092	0.00118	0.00105
1950	10	0.00071	0.00115	0.00093
1950	11	0.0009	0.00116	0.00103
1950	12	0.00095	0.00128	0.001115
1950	13	0.00074	0.00132	0.00103
1950	14	0.00112	0.00114	0.00113
1950	15	0.00149	0.00145	0.00147
1950	16	0.00155	0.0016	0.001575
1950	17	0.00185	0.00176	0.001805
1950	18	0.00182	0.00237	0.002095
1950	19	0.00165	0.00265	0.00215
1950	20	0.00241	0.0032	0.002805
1950	21	0.00205	0.0032	0.002625
1950	22	0.00197	0.00329	0.00263
1950	23	0.00205	0.0032	0.002625
1950	24	0.00235	0.00307	0.00271
1950	25	0.00239	0.00326	0.002825
1950	26	0.00224	0.00304	0.00264
1950	27	0.0025	0.00323	0.002865
1950	28	0.00264	0.00341	0.003025
1950	29	0.00223	0.00335	0.00279
1950	30	0.00241	0.00374	0.003075
1950	31	0.00218	0.0029	0.00254
1950	32	0.00258	0.00314	0.00286
1950	33	0.00199	0.00396	0.002975
1950	34	0.00244	0.00332	0.00288
1950	35	0.00248	0.00376	0.00312
1950	36	0.0032	0.00341	0.003305
1950	37	0.00262	0.00386	0.00324
1950	38	0.00288	0.00411	0.003495
1950	39	0.0037	0.00466	0.00418
1950	40	0.00331	0.00491	0.00411
1950	41	0.00352	0.00549	0.004505
1950	42	0.00402	0.00559	0.004805
1950	43	0.00358	0.00615	0.004865
1950	44	0.00441	0.00654	0.005475
1950	45	0.00518	0.00695	0.006065
1950	46	0.00478	0.00683	0.005805
1950	47	0.00547	0.00784	0.006655
1950	48	0.00614	0.00871	0.007425
1950	49	0.00661	0.00924	0.007925
1950	50	0.0074	0.01018	0.00879
1950	51	0.00705	0.01062	0.008835
1950	52	0.00811	0.01192	0.010015
1950	53	0.00871	0.01306	0.010885
1950	54	0.00958	0.01465	0.012115
1950	55	0.00985	0.01477	0.01231
1950	56	0.01083	0.01501	0.01292
1950	57	0.01192	0.01717	0.014545
1950	58	0.01307	0.02046	0.016765
1950	59	0.01446	0.0219	0.01818
1950	60	0.01714	0.02316	0.02015
1950	61	0.01706	0.02487	0.020965
1950	62	0.01983	0.02717	0.0235
1950	63	0.02197	0.0291	0.025535
1950	64	0.0226	0.03063	0.026615
1950	65	0.02511	0.03598	0.030545
1950	66	0.02736	0.03431	0.030835
1950	67	0.03096	0.03819	0.034575
1950	68	0.0343	0.04413	0.039215
1950	69	0.03712	0.04605	0.041585
1950	70	0.04521	0.05058	0.047895
1950	71	0.0458	0.05488	0.05034
1950	72	0.05354	0.05874	0.05614
1950	73	0.05651	0.06374	0.060125
1950	74	0.06339	0.07609	0.06974
1950	75	0.07248	0.08631	0.079395
1950	76	0.07745	0.09401	0.08573
1950	77	0.08913	0.08871	0.08892
1950	78	0.09704	0.11871	0.107875
1950	79	0.09369	0.11801	0.10585
1950	80	0.1258	0.13042	0.12811
1950	81	0.122	0.13329	0.127645
1950	82	0.14838	0.15058	0.14948
1950	83	0.15975	0.16699	0.16337
1950	84	0.1793	0.19404	0.18667
1950	85	0.18191	0.21189	0.1969
1950	86	0.21378	0.2382	0.22599
1950	87	0.23783	0.22682	0.232325
1950	88	0.23453	0.26699	0.25076
1950	89	0.23412	0.28986	0.26199
1950	90	0.274	0.30327	0.288635
1950	91	0.28421	0.33888	0.311545
1950	92	0.31945	0.36493	0.34219
1950	93	0.34188	0.39196	0.36692
1950	94	0.36504	0.41966	0.39235
1950	95	0.38885	0.44788	0.418365
1950	96	0.41319	0.47644	0.444815
1950	97	0.43797	0.50516	0.471565
1950	98	0.46306	0.53384	0.49845
1950	99	0.48834	0.5623	0.52532
1950	100	0.51368	0.59035	0.552015
1950	101	0.53895	0.61783	0.57839
1950	102	0.56402	0.64457	0.604295
1950	103	0.58877	0.67044	0.629605
1950	104	0.61308	0.69532	0.6542
1950	105	0.63683	0.71911	0.67797
1950	106	0.65994	0.74173	0.700835
1950	107	0.68231	0.76313	0.72272
1950	108	0.70387	0.78327	0.74357
1950	109	0.72456	0.80215	0.763355
1950	110+	0.74432	0.81976	0.78204
1951	0	0.07728	0.09608	0.08668
1951	1	0.00753	0.00835	0.00794
1951	2	0.00281	0.00346	0.003135
1951	3	0.00209	0.00209	0.00209
1951	4	0.00157	0.00176	0.001665
1951	5	0.00108	0.0014	0.00124
1951	6	0.00096	0.00121	0.001085
1951	7	0.00094	0.00115	0.001045
1951	8	0.00084	0.001	0.00092
1951	9	0.00071	0.00095	0.00083
1951	10	0.0008	0.00102	0.00091
1951	11	0.00061	0.00093	0.00077
1951	12	0.00088	0.00103	0.000955
1951	13	0.00087	0.00121	0.00104
1951	14	0.00113	0.00098	0.001055
1951	15	0.00111	0.00126	0.001185
1951	16	0.00133	0.00177	0.00155
1951	17	0.00158	0.00208	0.00183
1951	18	0.00154	0.00233	0.001935
1951	19	0.00168	0.00247	0.002075
1951	20	0.002	0.00284	0.00242
1951	21	0.0017	0.00303	0.002365
1951	22	0.00183	0.00279	0.00231
1951	23	0.00209	0.0034	0.002745
1951	24	0.00222	0.0027	0.00246
1951	25	0.00223	0.00311	0.00267
1951	26	0.00208	0.00277	0.002425
1951	27	0.00228	0.00318	0.00273
1951	28	0.00213	0.00296	0.002545
1951	29	0.00215	0.00298	0.002565
1951	30	0.00203	0.00298	0.002505
1951	31	0.00265	0.00352	0.003085
1951	32	0.00238	0.00274	0.00256
1951	33	0.00214	0.00323	0.002685
1951	34	0.00275	0.00328	0.003015
1951	35	0.00214	0.00314	0.00264
1951	36	0.00244	0.00381	0.003125
1951	37	0.0027	0.00396	0.00333
1951	38	0.0029	0.00379	0.003345
1951	39	0.00286	0.00407	0.003465
1951	40	0.00322	0.00405	0.003635
1951	41	0.00342	0.00477	0.004095
1951	42	0.00347	0.00571	0.00459
1951	43	0.00374	0.00518	0.00446
1951	44	0.00434	0.00584	0.00509
1951	45	0.00405	0.00629	0.00517
1951	46	0.00451	0.00714	0.005825
1951	47	0.00515	0.00761	0.00638
1951	48	0.00636	0.00801	0.007185
1951	49	0.00633	0.00978	0.008055
1951	50	0.00626	0.01016	0.00821
1951	51	0.00682	0.01197	0.009395
1951	52	0.00759	0.01166	0.009625
1951	53	0.00831	0.01223	0.01027
1951	54	0.00812	0.01431	0.011215
1951	55	0.01	0.01446	0.01223
1951	56	0.01066	0.01587	0.013265
1951	57	0.01075	0.01723	0.01399
1951	58	0.01318	0.01903	0.016105
1951	59	0.01335	0.01894	0.016145
1951	60	0.01523	0.02303	0.01913
1951	61	0.01793	0.02648	0.022205
1951	62	0.01951	0.02808	0.023795
1951	63	0.01999	0.03044	0.025215
1951	64	0.02286	0.03027	0.026565
1951	65	0.02735	0.03729	0.03232
1951	66	0.02634	0.03766	0.032
1951	67	0.03256	0.04275	0.037655
1951	68	0.03335	0.04849	0.04092
1951	69	0.03659	0.04814	0.042365
1951	70	0.04293	0.05419	0.04856
1951	71	0.04849	0.06082	0.054655
1951	72	0.05579	0.06645	0.06112
1951	73	0.06028	0.06946	0.06487
1951	74	0.06829	0.08403	0.07616
1951	75	0.07486	0.08662	0.08074
1951	76	0.08073	0.09902	0.089875
1951	77	0.09171	0.10525	0.09848
1951	78	0.10056	0.11839	0.109475
1951	79	0.10544	0.12943	0.117435
1951	80	0.1204	0.14391	0.132155
1951	81	0.13864	0.16272	0.15068
1951	82	0.15818	0.17792	0.16805
1951	83	0.16176	0.1927	0.17723
1951	84	0.18541	0.2184	0.201905
1951	85	0.2251	0.22842	0.22676
1951	86	0.23423	0.26004	0.247135
1951	87	0.26742	0.30565	0.286535
1951	88	0.2671	0.3123	0.2897
1951	89	0.27996	0.33454	0.30725
1951	90	0.33051	0.41379	0.37215
1951	91	0.29738	0.38177	0.339575
1951	92	0.32009	0.44431	0.3822
1951	93	0.40654	0.47213	0.439335
1951	94	0.43601	0.50443	0.47022
1951	95	0.46594	0.5367	0.50132
1951	96	0.49611	0.56866	0.532385
1951	97	0.52632	0.60006	0.56319
1951	98	0.55633	0.63066	0.593495
1951	99	0.58593	0.66025	0.62309
1951	100	0.61493	0.68863	0.65178
1951	101	0.64314	0.71566	0.6794
1951	102	0.67038	0.74123	0.705805
1951	103	0.69653	0.76526	0.730895
1951	104	0.72147	0.78769	0.75458
1951	105	0.7451	0.80851	0.776805
1951	106	0.76738	0.82774	0.79756
1951	107	0.78826	0.84541	0.816835
1951	108	0.80774	0.86157	0.834655
1951	109	0.82582	0.87629	0.851055
1951	110+	0.84254	0.88964	0.86609
1952	0	0.06456	0.08242	0.07349
1952	1	0.00563	0.0054	0.005515
1952	2	0.00217	0.00202	0.002095
1952	3	0.00139	0.00166	0.001525
1952	4	0.0011	0.0012	0.00115
1952	5	0.00074	0.00106	0.0009
1952	6	0.00069	0.00083	0.00076
1952	7	0.00082	0.00106	0.00094
1952	8	0.0004	0.00097	0.000685
1952	9	0.00042	0.00083	0.000625
1952	10	0.00041	0.00103	0.00072
1952	11	0.0005	0.00077	0.000635
1952	12	0.00048	0.00089	0.000685
1952	13	0.00053	0.0008	0.000665
1952	14	0.00068	0.0013	0.00099
1952	15	0.00103	0.00131	0.00117
1952	16	0.00097	0.00135	0.00116
1952	17	0.00122	0.00182	0.00152
1952	18	0.00122	0.00182	0.00152
1952	19	0.00143	0.00208	0.001755
1952	20	0.00157	0.00245	0.00201
1952	21	0.00153	0.00271	0.00212
1952	22	0.00165	0.00266	0.002155
1952	23	0.00172	0.00266	0.00219
1952	24	0.00173	0.00283	0.00228
1952	25	0.00191	0.00277	0.00234
1952	26	0.0022	0.00247	0.002335
1952	27	0.00186	0.00224	0.00205
1952	28	0.00197	0.00245	0.00221
1952	29	0.00182	0.00275	0.002285
1952	30	0.00225	0.00275	0.0025
1952	31	0.00183	0.00268	0.002255
1952	32	0.00273	0.00312	0.002925
1952	33	0.00174	0.00254	0.00214
1952	34	0.00227	0.00349	0.00288
1952	35	0.00187	0.00298	0.002425
1952	36	0.00264	0.00286	0.00275
1952	37	0.00272	0.00348	0.0031
1952	38	0.00281	0.00394	0.003375
