"Ireland,"				
				
Year	Age	Female	Male	Total
1950	0	0.04025	0.05142	0.045835
1950	1	0.00331	0.00445	0.00388
1950	2	0.00198	0.00229	0.002135
1950	3	0.00173	0.00187	0.0018
1950	4	0.00163	0.00145	0.00154
1950	5	0.00137	0.00101	0.00119
1950	6	0.0008	0.00063	0.000715
1950	7	0.00087	0.00123	0.00105
1950	8	0.00071	0.00113	0.00092
1950	9	0.00044	0.00066	0.00055
1950	10	0.00084	0.00069	0.000765
1950	11	0.00048	0.00073	0.000605
1950	12	0.00081	0.0007	0.000755
1950	13	0.00092	0.00066	0.00079
1950	14	0.00077	0.00066	0.000715
1950	15	0.0013	0.00071	0.001005
1950	16	0.00118	0.00113	0.001155
1950	17	0.00169	0.00099	0.00134
1950	18	0.00213	0.00121	0.00167
1950	19	0.00196	0.00178	0.00187
1950	20	0.00221	0.0023	0.002255
1950	21	0.00211	0.00243	0.00227
1950	22	0.00197	0.00191	0.00194
1950	23	0.00323	0.00292	0.003075
1950	24	0.00312	0.00329	0.003205
1950	25	0.00241	0.00255	0.00248
1950	26	0.00225	0.00254	0.002395
1950	27	0.00299	0.00274	0.002865
1950	28	0.00306	0.00265	0.002855
1950	29	0.00307	0.00255	0.00281
1950	30	0.00307	0.00309	0.00308
1950	31	0.00271	0.00238	0.002545
1950	32	0.00416	0.00344	0.0038
1950	33	0.00324	0.00285	0.003045
1950	34	0.00332	0.00237	0.002845
1950	35	0.00425	0.00372	0.003985
1950	36	0.00344	0.00283	0.003135
1950	37	0.003	0.00295	0.002975
1950	38	0.00449	0.00374	0.004115
1950	39	0.00349	0.00293	0.00321
1950	40	0.00545	0.00549	0.00547
1950	41	0.00301	0.0031	0.003055
1950	42	0.00538	0.00495	0.005165
1950	43	0.0046	0.00444	0.00452
1950	44	0.00393	0.00555	0.00474
1950	45	0.00428	0.00721	0.005745
1950	46	0.00468	0.00552	0.0051
1950	47	0.00508	0.00598	0.00553
1950	48	0.00624	0.0082	0.00722
1950	49	0.0058	0.0067	0.00625
1950	50	0.01074	0.011	0.01087
1950	51	0.00467	0.00819	0.00643
1950	52	0.00889	0.01198	0.010435
1950	53	0.00879	0.01293	0.01086
1950	54	0.01023	0.01189	0.01106
1950	55	0.00976	0.01443	0.012095
1950	56	0.01418	0.01623	0.015205
1950	57	0.01084	0.01756	0.0142
1950	58	0.01426	0.01923	0.016745
1950	59	0.01273	0.01702	0.014875
1950	60	0.02454	0.02646	0.0255
1950	61	0.013	0.01809	0.015545
1950	62	0.02099	0.02462	0.022805
1950	63	0.02054	0.02446	0.0225
1950	64	0.02391	0.02941	0.02666
1950	65	0.02992	0.03946	0.03469
1950	66	0.02668	0.03157	0.029125
1950	67	0.02795	0.03028	0.029115
1950	68	0.03558	0.0425	0.03904
1950	69	0.03025	0.04564	0.037945
1950	70	0.04842	0.05716	0.05279
1950	71	0.04251	0.0454	0.043955
1950	72	0.05052	0.0699	0.06021
1950	73	0.0599	0.07014	0.06502
1950	74	0.06707	0.07464	0.070855
1950	75	0.08002	0.08861	0.084315
1950	76	0.08331	0.09538	0.089345
1950	77	0.0849	0.10452	0.09471
1950	78	0.10307	0.12441	0.11374
1950	79	0.09104	0.10734	0.09919
1950	80	0.13933	0.15823	0.14878
1950	81	0.09523	0.11984	0.107535
1950	82	0.14861	0.16706	0.157835
1950	83	0.13728	0.15599	0.146635
1950	84	0.17925	0.21382	0.196535
1950	85	0.20318	0.18211	0.192645
1950	86	0.22058	0.25259	0.236585
1950	87	0.20937	0.27139	0.24038
1950	88	0.16691	0.20791	0.18741
1950	89	0.18371	0.2453	0.214505
1950	90	0.29074	0.34843	0.319585
1950	91	0.26366	0.28987	0.276765
1950	92	0.28078	0.30719	0.293985
1950	93	0.29856	0.32507	0.311815
1950	94	0.31698	0.34347	0.330225
1950	95	0.33598	0.36235	0.349165
1950	96	0.35553	0.38167	0.3686
1950	97	0.37558	0.40137	0.388475
1950	98	0.39606	0.4214	0.40873
1950	99	0.41691	0.44168	0.429295
1950	100	0.43807	0.46217	0.45012
1950	101	0.45945	0.48278	0.471115
1950	102	0.48098	0.50345	0.492215
1950	103	0.50258	0.52411	0.513345
1950	104	0.52417	0.54468	0.534425
1950	105	0.54568	0.56511	0.555395
1950	106	0.56701	0.58531	0.57616
1950	107	0.5881	0.60524	0.59667
1950	108	0.60887	0.62482	0.616845
1950	109	0.62925	0.644	0.636625
1950	110+	0.64919	0.66272	0.655955
1951	0	0.0394	0.05253	0.045965
1951	1	0.00472	0.00491	0.004815
1951	2	0.00227	0.00299	0.00263
1951	3	0.00178	0.00167	0.001725
1951	4	0.00087	0.00146	0.001165
1951	5	0.00102	0.00094	0.00098
1951	6	0.00067	0.00118	0.000925
1951	7	0.00062	0.00084	0.00073
1951	8	0.00053	0.00083	0.00068
1951	9	0.00059	0.00083	0.00071
1951	10	0.00048	0.0007	0.00059
1951	11	0.00072	0.00073	0.000725
