"Italy ,"				
				
Year	Age	Female	Male	Total
1872	0	0.26296	0.29346	0.27821
1872	1	0.13614	0.13815	0.137145
1872	2	0.09307	0.09327	0.09317
1872	3	0.054	0.05416	0.05408
1872	4	0.03515	0.03553	0.03534
1872	5	0.02422	0.02417	0.024195
1872	6	0.01663	0.01614	0.016385
1872	7	0.01107	0.01056	0.010815
1872	8	0.00755	0.00693	0.00724
1872	9	0.00633	0.00565	0.00599
1872	10	0.0063	0.0058	0.00605
1872	11	0.00694	0.00638	0.00666
1872	12	0.00705	0.00635	0.0067
1872	13	0.00705	0.00628	0.006665
1872	14	0.0074	0.00645	0.006925
1872	15	0.00719	0.00624	0.006715
1872	16	0.00731	0.00648	0.006895
1872	17	0.00775	0.00722	0.007485
1872	18	0.0077	0.00792	0.00781
1872	19	0.00842	0.00941	0.008915
1872	20	0.00849	0.01044	0.009465
1872	21	0.00922	0.01063	0.009925
1872	22	0.01048	0.01161	0.011045
1872	23	0.01062	0.01235	0.011485
1872	24	0.0109	0.01265	0.011775
1872	25	0.01051	0.01193	0.01122
1872	26	0.01068	0.01076	0.01072
1872	27	0.01139	0.01047	0.01093
1872	28	0.01118	0.01018	0.01068
1872	29	0.01258	0.01111	0.011845
1872	30	0.00964	0.0094	0.00952
1872	31	0.01007	0.00965	0.00986
1872	32	0.01363	0.01191	0.01277
1872	33	0.01298	0.01183	0.012405
1872	34	0.01333	0.01235	0.01284
1872	35	0.01173	0.01167	0.0117
1872	36	0.0113	0.01141	0.011355
1872	37	0.01304	0.01282	0.01293
1872	38	0.01357	0.01364	0.013605
1872	39	0.01527	0.01571	0.01549
1872	40	0.00932	0.01081	0.010065
1872	41	0.00969	0.01126	0.010475
1872	42	0.01534	0.01646	0.0159
1872	43	0.01502	0.01693	0.015975
1872	44	0.01544	0.01817	0.016805
1872	45	0.01225	0.01524	0.013745
1872	46	0.01244	0.01545	0.013945
1872	47	0.01545	0.01876	0.017105
1872	48	0.01551	0.01908	0.017295
1872	49	0.01752	0.02116	0.01934
1872	50	0.0108	0.01394	0.01237
1872	51	0.01189	0.0148	0.013345
1872	52	0.02135	0.02305	0.0222
1872	53	0.02263	0.02461	0.02362
1872	54	0.02449	0.02753	0.02601
1872	55	0.02165	0.02533	0.02349
1872	56	0.0226	0.02558	0.02409
1872	57	0.02871	0.03068	0.029695
1872	58	0.03191	0.03357	0.03274
1872	59	0.03822	0.03968	0.03895
1872	60	0.02013	0.02413	0.02213
1872	61	0.02268	0.02605	0.024365
1872	62	0.04951	0.04602	0.047765
1872	63	0.05218	0.04941	0.050795
1872	64	0.05595	0.05417	0.05506
1872	65	0.04846	0.04938	0.04892
1872	66	0.05242	0.05214	0.05228
1872	67	0.07008	0.06397	0.067025
1872	68	0.07862	0.07196	0.07529
1872	69	0.09251	0.08579	0.08915
1872	70	0.04995	0.05431	0.05213
1872	71	0.05205	0.05445	0.05325
1872	72	0.10421	0.08681	0.09551
1872	73	0.11892	0.10018	0.10955
1872	74	0.13629	0.11736	0.126825
1872	75	0.12072	0.1093	0.11501
1872	76	0.12546	0.11322	0.11934
1872	77	0.17114	0.14374	0.15744
1872	78	0.17485	0.14704	0.160945
1872	79	0.19369	0.16512	0.179405
1872	80	0.15545	0.14711	0.15128
1872	81	0.16848	0.15827	0.163375
1872	82	0.18126	0.1697	0.17548
1872	83	0.19525	0.1818	0.188525
1872	84	0.21049	0.19496	0.202725
1872	85	0.22747	0.20957	0.21852
1872	86	0.24693	0.22561	0.23627
1872	87	0.26876	0.24315	0.255955
1872	88	0.29164	0.26214	0.27689
1872	89	0.31569	0.28198	0.298835
1872	90	0.34288	0.30343	0.323155
1872	91	0.37042	0.32725	0.348835
1872	92	0.39781	0.35263	0.37522
1872	93	0.42994	0.37938	0.40466
1872	94	0.46455	0.40799	0.43627
1872	95	0.4663	0.41416	0.44023
1872	96	0.49263	0.43752	0.465075
1872	97	0.51901	0.46116	0.490085
1872	98	0.54527	0.48498	0.515125
1872	99	0.57129	0.50887	0.54008
1872	100	0.59691	0.53271	0.56481
1872	101	0.62202	0.55641	0.589215
1872	102	0.64649	0.57985	0.61317
1872	103	0.67022	0.60294	0.63658
1872	104	0.69311	0.62558	0.659345
1872	105	0.71509	0.64768	0.681385
1872	106	0.73609	0.66917	0.70263
1872	107	0.75607	0.68997	0.72302
1872	108	0.775	0.71004	0.74252
1872	109	0.79287	0.72931	0.76109
1872	110+	0.80966	0.74776	0.77871
1873	0	0.2305	0.25283	0.241665
1873	1	0.105	0.10541	0.105205
1873	2	0.09418	0.09494	0.09456
1873	3	0.05978	0.05942	0.0596
1873	4	0.03387	0.03347	0.03367
1873	5	0.02355	0.02313	0.02334
1873	6	0.01607	0.01536	0.015715
1873	7	0.01056	0.00961	0.010085
1873	8	0.0071	0.00617	0.006635
1873	9	0.00561	0.00473	0.00517
1873	10	0.00601	0.00523	0.00562
1873	11	0.0063	0.00572	0.00601
1873	12	0.00684	0.00621	0.006525
1873	13	0.00689	0.00611	0.0065
1873	14	0.00685	0.00594	0.006395
1873	15	0.00713	0.00602	0.006575
1873	16	0.00708	0.0061	0.00659
1873	17	0.00734	0.00668	0.00701
1873	18	0.00791	0.00776	0.007835
1873	19	0.00803	0.0088	0.008415
1873	20	0.00886	0.01051	0.009685
1873	21	0.0089	0.01115	0.010025
1873	22	0.00951	0.01087	0.01019
1873	23	0.01054	0.0113	0.01092
1873	24	0.01051	0.0114	0.010955
1873	25	0.01059	0.01113	0.01086
1873	26	0.01016	0.01043	0.010295
