"Japan,"				
				
Year	Age	Female	Male	Total
1947	0	0.08366	0.09552	0.08959
1947	1	0.03567	0.03705	0.03636
1947	2	0.01728	0.01722	0.01725
1947	3	0.01124	0.01134	0.01129
1947	4	0.00703	0.00747	0.00725
1947	5	0.00483	0.00511	0.00497
1947	6	0.00368	0.00394	0.00381
1947	7	0.00288	0.00333	0.003105
1947	8	0.00222	0.0025	0.00236
1947	9	0.00202	0.00222	0.00212
1947	10	0.00183	0.00201	0.00192
1947	11	0.0017	0.00174	0.00172
1947	12	0.00185	0.00173	0.00179
1947	13	0.0019	0.00181	0.001855
1947	14	0.00238	0.00205	0.002215
1947	15	0.00322	0.00272	0.00297
1947	16	0.0036	0.00317	0.003385
1947	17	0.0045	0.00424	0.00437
1947	18	0.00523	0.00542	0.005325
1947	19	0.00632	0.00685	0.006585
1947	20	0.00698	0.00757	0.007275
1947	21	0.00735	0.00835	0.00785
1947	22	0.00734	0.00877	0.008055
1947	23	0.0078	0.00921	0.008505
1947	24	0.00787	0.00919	0.00853
1947	25	0.00759	0.00903	0.00831
1947	26	0.00739	0.00896	0.008175
1947	27	0.00718	0.00866	0.00792
1947	28	0.00725	0.00835	0.0078
1947	29	0.00729	0.00847	0.00788
1947	30	0.00722	0.00809	0.007655
1947	31	0.00702	0.008	0.00751
1947	32	0.00704	0.0085	0.00777
1947	33	0.00708	0.00847	0.007775
1947	34	0.007	0.00835	0.007675
1947	35	0.00695	0.00843	0.00769
1947	36	0.00706	0.00844	0.00775
1947	37	0.0072	0.00881	0.008005
1947	38	0.00712	0.00876	0.00794
1947	39	0.00752	0.00883	0.008175
1947	40	0.00731	0.00906	0.008185
1947	41	0.00789	0.00941	0.00865
1947	42	0.0083	0.00971	0.009005
1947	43	0.00793	0.01025	0.00909
1947	44	0.00802	0.01081	0.009415
1947	45	0.00824	0.01106	0.00965
1947	46	0.00859	0.01155	0.01007
1947	47	0.00907	0.01233	0.0107
1947	48	0.00937	0.01298	0.011175
1947	49	0.01062	0.01441	0.012515
1947	50	0.01129	0.01459	0.01294
1947	51	0.01171	0.01624	0.013975
1947	52	0.0124	0.01747	0.014935
1947	53	0.01318	0.01918	0.01618
1947	54	0.01378	0.02038	0.01708
1947	55	0.01432	0.02135	0.017835
1947	56	0.01553	0.02293	0.01923
1947	57	0.01696	0.02642	0.02169
1947	58	0.01897	0.0294	0.024185
1947	59	0.0195	0.02983	0.024665
1947	60	0.02333	0.03566	0.029495
