Republic				
				
Year	Age	Female	Male	Total
2003	0	0.00485	0.006	0.005425
2003	1	0.00048	0.00042	0.00045
2003	2	0.00029	0.00041	0.00035
2003	3	0.00029	0.00031	0.0003
2003	4	0.00026	0.00035	0.000305
2003	5	0.00017	0.00026	0.000215
2003	6	0.00022	0.00026	0.00024
2003	7	0.00016	0.00025	0.000205
2003	8	0.00012	0.00018	0.00015
2003	9	0.00014	0.00017	0.000155
2003	10	0.00013	0.00018	0.000155
2003	11	0.00012	0.00018	0.00015
2003	12	0.00012	0.00015	0.000135
2003	13	0.00013	0.00016	0.000145
2003	14	0.00012	0.00024	0.00018
2003	15	0.0002	0.0003	0.00025
2003	16	0.00026	0.00042	0.00034
2003	17	0.00028	0.00049	0.000385
2003	18	0.00026	0.00061	0.000435
2003	19	0.00029	0.00069	0.00049
2003	20	0.00029	0.00063	0.00046
2003	21	0.00032	0.00055	0.000435
2003	22	0.00038	0.00069	0.000535
2003	23	0.00038	0.00076	0.00057
2003	24	0.00036	0.00085	0.000605
2003	25	0.00038	0.00082	0.0006
2003	26	0.00043	0.00085	0.00064
2003	27	0.00045	0.00086	0.000655
2003	28	0.00045	0.0009	0.000675
2003	29	0.00046	0.001	0.00073
2003	30	0.00048	0.00103	0.000755
2003	31	0.00049	0.00104	0.000765
2003	32	0.00051	0.00112	0.000815
2003	33	0.00059	0.00116	0.000875
2003	34	0.00068	0.00151	0.001095
2003	35	0.00066	0.00138	0.00102
2003	36	0.00071	0.00169	0.0012
2003	37	0.00079	0.00176	0.001275
2003	38	0.00077	0.00219	0.00148
2003	39	0.0009	0.00224	0.00157
2003	40	0.001	0.00249	0.001745
2003	41	0.001	0.00277	0.001885
2003	42	0.00105	0.00314	0.002095
2003	43	0.00127	0.00348	0.002375
2003	44	0.00138	0.0038	0.00259
2003	45	0.00127	0.00399	0.00263
2003	46	0.00155	0.00444	0.002995
2003	47	0.00175	0.00495	0.00335
2003	48	0.00181	0.00525	0.00353
2003	49	0.00191	0.00561	0.00376
2003	50	0.00206	0.00588	0.00397
2003	51	0.00243	0.00708	0.004755
2003	52	0.00227	0.00721	0.00474
2003	53	0.00265	0.00799	0.00532
2003	54	0.0027	0.00828	0.00549
2003	55	0.00303	0.00831	0.00567
2003	56	0.00353	0.00955	0.00654
2003	57	0.00342	0.00946	0.00644
2003	58	0.00398	0.01118	0.00758
2003	59	0.00445	0.01155	0.008
2003	60	0.00482	0.01358	0.0092
2003	61	0.00527	0.01492	0.010095
2003	62	0.00581	0.01658	0.011195
2003	63	0.00651	0.01721	0.01186
2003	64	0.00763	0.0191	0.013365
2003	65	0.00822	0.02092	0.01457
2003	66	0.00909	0.02382	0.016455
2003	67	0.01114	0.02521	0.018175
2003	68	0.01266	0.02872	0.02069
2003	69	0.01397	0.03193	0.02295
2003	70	0.01629	0.03457	0.02543
2003	71	0.0181	0.03752	0.02781
2003	72	0.02034	0.04192	0.03113
2003	73	0.02398	0.04606	0.03502
2003	74	0.02711	0.05123	0.03917
2003	75	0.03133	0.05633	0.04383
2003	76	0.03608	0.06311	0.049595
2003	77	0.04213	0.06769	0.05491
2003	78	0.04798	0.07593	0.061955
2003	79	0.05037	0.08252	0.066445
2003	80	0.0646	0.09773	0.081165
2003	81	0.06817	0.10277	0.08547
2003	82	0.07611	0.10822	0.092165
2003	83	0.08909	0.12456	0.106825
2003	84	0.09681	0.13364	0.115225
2003	85	0.11071	0.15344	0.132075
2003	86	0.124	0.17257	0.148285
2003	87	0.13743	0.18232	0.159875
2003	88	0.15023	0.19313	0.17168
2003	89	0.16186	0.21488	0.18837
2003	90	0.19192	0.23366	0.21279
2003	91	0.2077	0.24721	0.227455
2003	92	0.22386	0.25339	0.238625
2003	93	0.23648	0.29832	0.2674
2003	94	0.26256	0.32718	0.29487
2003	95	0.2893	0.33372	0.31151
2003	96	0.31457	0.35732	0.335945
2003	97	0.341	0.38164	0.36132
2003	98	0.36844	0.40656	0.3875
2003	99	0.39677	0.43197	0.41437
2003	100	0.42581	0.45775	0.44178
2003	101	0.45537	0.48375	0.46956
2003	102	0.48525	0.50984	0.497545
2003	103	0.51523	0.53588	0.525555
2003	104	0.5451	0.56173	0.553415
2003	105	0.57466	0.58724	0.58095
2003	106	0.60369	0.61229	0.60799
2003	107	0.632	0.63677	0.634385
2003	108	0.65944	0.66055	0.659995
2003	109	0.68584	0.68355	0.684695
2003	110+	0.7111	0.70569	0.708395
2004	0	0.00457	0.00509	0.00483
2004	1	0.0004	0.00044	0.00042
2004	2	0.00033	0.0004	0.000365
2004	3	0.00026	0.00034	0.0003
2004	4	0.00025	0.00027	0.00026
2004	5	0.00016	0.00027	0.000215
2004	6	0.00018	0.00022	0.0002
2004	7	0.00016	0.00025	0.000205
2004	8	0.00014	0.00023	0.000185
2004	9	0.00013	0.00016	0.000145
2004	10	0.00011	0.00019	0.00015
2004	11	0.00012	0.00017	0.000145
2004	12	0.00009	0.00015	0.00012
2004	13	0.00015	0.00018	0.000165
2004	14	0.00016	0.0002	0.00018
2004	15	0.00015	0.00032	0.000235
2004	16	0.00019	0.00033	0.00026
2004	17	0.00019	0.00041	0.0003
2004	18	0.00022	0.00053	0.000375
2004	19	0.00028	0.00057	0.000425
2004	20	0.00028	0.00062	0.00045
2004	21	0.0003	0.00052	0.00041
2004	22	0.0003	0.00058	0.00044
2004	23	0.00032	0.00057	0.000445
2004	24	0.00033	0.00067	0.0005
2004	25	0.00042	0.0006	0.00051
2004	26	0.0004	0.0008	0.0006
2004	27	0.00034	0.00071	0.000525
2004	28	0.00036	0.00079	0.000575
2004	29	0.00038	0.00084	0.00061
2004	30	0.00045	0.00079	0.00062
2004	31	0.00044	0.00086	0.00065
2004	32	0.00046	0.00093	0.000695
2004	33	0.00057	0.00107	0.00082
2004	34	0.00057	0.00115	0.00086
2004	35	0.00063	0.00138	0.001005
2004	36	0.00067	0.00156	0.001115
2004	37	0.00076	0.00165	0.001205
2004	38	0.00083	0.00188	0.001355
2004	39	0.00089	0.00203	0.00146
2004	40	0.00083	0.00227	0.00155
2004	41	0.00098	0.00263	0.001805
2004	42	0.00112	0.00275	0.001935
2004	43	0.00129	0.00333	0.00231
2004	44	0.00136	0.00351	0.002435
2004	45	0.00135	0.00383	0.00259
2004	46	0.00144	0.00431	0.002875
2004	47	0.00165	0.00473	0.00319
2004	48	0.00167	0.00503	0.00335
2004	49	0.00187	0.00549	0.00368
2004	50	0.00193	0.00589	0.00391
2004	51	0.00203	0.00635	0.00419
2004	52	0.00244	0.00726	0.00485
2004	53	0.00234	0.00731	0.004825
2004	54	0.00283	0.00826	0.005545
2004	55	0.00276	0.0086	0.00568
2004	56	0.003	0.00904	0.00602
2004	57	0.00354	0.01021	0.006875
2004	58	0.00355	0.0102	0.006875
2004	59	0.00409	0.0116	0.007845
2004	60	0.00456	0.01218	0.00837
2004	61	0.00499	0.01408	0.009535
2004	62	0.00569	0.01603	0.01086
