"Lithuania,"				
				
Year	Age	Female	Male	Total
1959	0	0.04732	0.06056	0.05394
1959	1	0.00413	0.00392	0.004025
1959	2	0.00218	0.00237	0.002275
1959	3	0.00127	0.0013	0.001285
1959	4	0.00124	0.00127	0.001255
1959	5	0.00063	0.00108	0.000855
1959	6	0.00093	0.00123	0.00108
1959	7	0.00059	0.00085	0.00072
1959	8	0.00045	0.001	0.000725
1959	9	0.00041	0.00081	0.00061
1959	10	0.00059	0.00128	0.000935
1959	11	0.00053	0.00087	0.0007
1959	12	0.00051	0.00055	0.00053
1959	13	0.0005	0.00067	0.000585
1959	14	0.0006	0.00166	0.00113
1959	15	0.00069	0.00129	0.00099
1959	16	0.00083	0.00125	0.00104
1959	17	0.00056	0.00136	0.00096
1959	18	0.00098	0.00228	0.00163
1959	19	0.00077	0.00254	0.001655
1959	20	0.0011	0.00202	0.00156
1959	21	0.0007	0.00227	0.001485
1959	22	0.00092	0.00237	0.001645
1959	23	0.00107	0.00232	0.001695
1959	24	0.00124	0.00244	0.00184
1959	25	0.001	0.00234	0.00167
1959	26	0.001	0.00251	0.001755
1959	27	0.00175	0.00306	0.002405
1959	28	0.00129	0.00288	0.002085
1959	29	0.0009	0.00309	0.001995
1959	30	0.00146	0.00343	0.002445
1959	31	0.00137	0.00237	0.00187
1959	32	0.00161	0.00345	0.00253
1959	33	0.00168	0.00333	0.002505
1959	34	0.00124	0.00305	0.002145
1959	35	0.00149	0.00392	0.002705
1959	36	0.00213	0.00397	0.00305
1959	37	0.00218	0.00388	0.00303
1959	38	0.00289	0.00407	0.00348
1959	39	0.00175	0.00409	0.00292
1959	40	0.00284	0.00527	0.004055
1959	41	0.00295	0.00326	0.003105
1959	42	0.00284	0.00439	0.003615
1959	43	0.00236	0.00524	0.0038
1959	44	0.00305	0.00553	0.00429
1959	45	0.00337	0.00568	0.004525
1959	46	0.00315	0.00652	0.004835
1959	47	0.0043	0.00621	0.005255
1959	48	0.0041	0.00707	0.005585
1959	49	0.00371	0.0064	0.005055
1959	50	0.00423	0.00847	0.00635
1959	51	0.00468	0.00738	0.00603
1959	52	0.00598	0.01069	0.008335
1959	53	0.00621	0.01055	0.00838
1959	54	0.00699	0.0137	0.010345
1959	55	0.00683	0.01199	0.00941
1959	56	0.00751	0.01369	0.0106
1959	57	0.00684	0.01604	0.01144
1959	58	0.00956	0.01967	0.014615
1959	59	0.00871	0.01892	0.013815
1959	60	0.01095	0.02237	0.01666
1959	61	0.01079	0.02192	0.016355
1959	62	0.0176	0.02355	0.020575
1959	63	0.0173	0.02898	0.02314
1959	64	0.01918	0.02863	0.023905
1959	65	0.01616	0.03197	0.024065
1959	66	0.01944	0.0288	0.02412
1959	67	0.02266	0.03683	0.029745
1959	68	0.02586	0.03733	0.031595
1959	69	0.02665	0.04184	0.034245
1959	70	0.0313	0.05327	0.042285
1959	71	0.03087	0.04522	0.038045
1959	72	0.05245	0.05889	0.05567
1959	73	0.04716	0.0568	0.05198
1959	74	0.05976	0.06667	0.063215
1959	75	0.05414	0.07133	0.062735
1959	76	0.06181	0.07394	0.067875
1959	77	0.06803	0.0988	0.083415
1959	78	0.07695	0.0907	0.083825
1959	79	0.08703	0.11903	0.10303
1959	80	0.10985	0.11697	0.11341
1959	81	0.09135	0.11961	0.10548
1959	82	0.10929	0.12564	0.117465
1959	83	0.12646	0.1304	0.12843
1959	84	0.13577	0.1705	0.153135
1959	85	0.1628	0.18359	0.173195
1959	86	0.17361	0.22058	0.197095
1959	87	0.16096	0.19049	0.175725
1959	88	0.17133	0.20293	0.18713
1959	89	0.18222	0.21597	0.199095
1959	90	0.19365	0.2296	0.211625
1959	91	0.20561	0.24383	0.22472
1959	92	0.2181	0.25864	0.23837
1959	93	0.23114	0.27402	0.25258
1959	94	0.24471	0.28996	0.267335
1959	95	0.25881	0.30644	0.282625
1959	96	0.27343	0.32343	0.29843
1959	97	0.28856	0.34089	0.314725
1959	98	0.30417	0.3588	0.331485
1959	99	0.32024	0.37711	0.348675
1959	100	0.33675	0.39578	0.366265
1959	101	0.35367	0.41476	0.384215
1959	102	0.37097	0.434	0.402485
1959	103	0.3886	0.45343	0.421015
1959	104	0.40653	0.47301	0.43977
1959	105	0.42472	0.49267	0.458695
1959	106	0.4431	0.51236	0.47773
1959	107	0.46165	0.532	0.496825
1959	108	0.4803	0.55155	0.515925
1959	109	0.49901	0.57094	0.534975
1959	110+	0.51772	0.59011	0.553915
1960	0	0.03479	0.04339	0.03909
1960	1	0.00241	0.00307	0.00274
1960	2	0.00178	0.00179	0.001785
1960	3	0.0012	0.0012	0.0012
1960	4	0.00103	0.00088	0.000955
1960	5	0.00092	0.00085	0.000885
1960	6	0.00075	0.00068	0.000715
1960	7	0.00046	0.00065	0.000555
1960	8	0.0008	0.00053	0.000665
1960	9	0.00074	0.00064	0.00069
1960	10	0.00058	0.00101	0.000795
1960	11	0.00034	0.00058	0.00046
1960	12	0.00053	0.00088	0.000705
1960	13	0.0007	0.00041	0.000555
1960	14	0.0005	0.00063	0.000565
1960	15	0.00046	0.00115	0.000805
1960	16	0.00083	0.00102	0.000925
1960	17	0.00058	0.00105	0.000815
1960	18	0.00084	0.00229	0.001565
1960	19	0.0013	0.00233	0.001815
1960	20	0.00107	0.00187	0.00147
1960	21	0.00071	0.00192	0.001315
1960	22	0.00078	0.00236	0.00157
1960	23	0.00104	0.00299	0.002015
1960	24	0.00127	0.00205	0.00166
1960	25	0.00144	0.0028	0.00212
1960	26	0.00088	0.00234	0.00161
1960	27	0.00124	0.00304	0.00214
1960	28	0.00115	0.00289	0.00202
1960	29	0.00192	0.00288	0.0024
1960	30	0.00181	0.00274	0.002275
1960	31	0.00108	0.0032	0.00214
1960	32	0.00107	0.00328	0.002175
1960	33	0.00136	0.00249	0.001925
1960	34	0.00177	0.00412	0.002945
1960	35	0.00116	0.00387	0.002515
1960	36	0.00228	0.00386	0.00307
1960	37	0.00177	0.0041	0.002935
1960	38	0.00244	0.00457	0.003505
1960	39	0.0019	0.00379	0.002845
1960	40	0.00237	0.0049	0.003635
1960	41	0.00221	0.00488	0.003545
1960	42	0.00298	0.00504	0.00401
1960	43	0.00284	0.00462	0.00373
1960	44	0.00266	0.00464	0.00365
1960	45	0.00405	0.0066	0.005325
1960	46	0.00319	0.00597	0.00458
1960	47	0.00281	0.00631	0.00456
1960	48	0.00477	0.00782	0.006295
1960	49	0.00399	0.00745	0.00572
1960	50	0.00548	0.00845	0.006965
1960	51	0.00467	0.0068	0.005735
1960	52	0.00588	0.00838	0.00713
1960	53	0.00548	0.00914	0.00731
1960	54	0.00759	0.01238	0.009985
1960	55	0.00687	0.01161	0.00924
1960	56	0.00821	0.01318	0.010695
1960	57	0.00704	0.01316	0.0101
1960	58	0.00848	0.01934	0.01391
1960	59	0.00901	0.01625	0.01263
1960	60	0.01487	0.01982	0.017345
1960	61	0.00856	0.0206	0.01458
1960	62	0.01255	0.02417	0.01836
1960	63	0.01425	0.02169	0.01797
1960	64	0.01378	0.02604	0.01991
1960	65	0.02009	0.02845	0.02427
1960	66	0.01474	0.02474	0.01974
1960	67	0.01972	0.02832	0.02402
1960	68	0.02167	0.02728	0.024475
1960	69	0.02033	0.03128	0.025805
1960	70	0.03765	0.05211	0.04488
1960	71	0.01896	0.03254	0.02575
1960	72	0.03066	0.05367	0.042165
1960	73	0.04173	0.04871	0.04522
1960	74	0.04717	0.05265	0.04991
1960	75	0.05082	0.06537	0.058095
1960	76	0.04413	0.06138	0.052755
1960	77	0.04806	0.06582	0.05694
1960	78	0.07585	0.10242	0.089135
1960	79	0.05438	0.07559	0.064985
1960	80	0.09811	0.11263	0.10537
1960	81	0.07108	0.09709	0.084085
1960	82	0.09959	0.10372	0.101655
1960	83	0.09363	0.11866	0.106145
1960	84	0.11145	0.13013	0.12079
1960	85	0.11834	0.13885	0.128595
1960	86	0.1256	0.14806	0.13683
1960	87	0.13324	0.15777	0.145505
1960	88	0.14127	0.16798	0.154625
1960	89	0.1497	0.17872	0.16421
1960	90	0.15854	0.18999	0.174265
1960	91	0.1678	0.20179	0.184795
1960	92	0.17749	0.21413	0.19581
1960	93	0.1876	0.22701	0.207305
1960	94	0.19816	0.24043	0.219295
1960	95	0.20916	0.25438	0.23177
1960	96	0.2206	0.26886	0.24473
1960	97	0.23248	0.28385	0.258165
1960	98	0.2448	0.29932	0.27206
1960	99	0.25755	0.31528	0.286415
1960	100	0.27073	0.33168	0.301205
1960	101	0.28433	0.34849	0.31641
1960	102	0.29833	0.3657	0.332015
1960	103	0.31272	0.38325	0.347985
1960	104	0.32748	0.40111	0.364295
1960	105	0.34259	0.41924	0.380915
1960	106	0.35802	0.4376	0.39781
1960	107	0.37376	0.45612	0.41494
1960	108	0.38976	0.47476	0.43226
1960	109	0.40601	0.49348	0.449745
1960	110+	0.42246	0.51222	0.46734
1961	0	0.03119	0.04141	0.0363
1961	1	0.00275	0.00344	0.003095
1961	2	0.00099	0.00169	0.00134
1961	3	0.00111	0.00136	0.001235
1961	4	0.00097	0.00067	0.00082
1961	5	0.00091	0.00061	0.00076
1961	6	0.00056	0.001	0.00078
1961	7	0.00059	0.00076	0.000675
1961	8	0.00021	0.00074	0.000475
1961	9	0.00046	0.00069	0.000575
1961	10	0.00037	0.0012	0.000785
1961	11	0.00037	0.00069	0.00053
1961	12	0.0003	0.00096	0.00063
1961	13	0.00036	0.00053	0.000445
1961	14	0.00028	0.00051	0.000395
1961	15	0.00046	0.00109	0.000775
1961	16	0.00061	0.00158	0.001095
1961	17	0.00046	0.00098	0.00072
1961	18	0.00062	0.00197	0.001295
1961	19	0.00076	0.00182	0.00129
1961	20	0.00098	0.00217	0.001575
1961	21	0.00064	0.00177	0.001205
1961	22	0.00079	0.00241	0.0016
1961	23	0.0007	0.00244	0.00157
1961	24	0.00096	0.00186	0.00141
1961	25	0.00091	0.00257	0.00174
1961	26	0.00119	0.0032	0.002195
1961	27	0.00097	0.0027	0.001835
1961	28	0.00054	0.00282	0.00168
1961	29	0.00095	0.00252	0.001735
1961	30	0.00122	0.00288	0.00205
1961	31	0.00118	0.00318	0.00218
