"Latvia,"				
				
Year	Age	Female	Male	Total
1959	0	0.02629	0.03582	0.031055
1959	1	0.0024	0.00274	0.00257
1959	2	0.00162	0.00184	0.00173
1959	3	0.00105	0.00125	0.00115
1959	4	0.00075	0.00098	0.000865
1959	5	0.00069	0.00106	0.000875
1959	6	0.00065	0.00115	0.0009
1959	7	0.00058	0.00116	0.00087
1959	8	0.00053	0.00114	0.000835
1959	9	0.00046	0.00107	0.000765
1959	10	0.0004	0.00098	0.00069
1959	11	0.00038	0.00095	0.000665
1959	12	0.00041	0.00101	0.00071
1959	13	0.00048	0.00113	0.000805
1959	14	0.00055	0.00122	0.000885
1959	15	0.00062	0.00129	0.000955
1959	16	0.00068	0.00138	0.00103
1959	17	0.00072	0.00147	0.001095
1959	18	0.0008	0.00165	0.001225
1959	19	0.00091	0.00192	0.001415
1959	20	0.00099	0.00217	0.00158
1959	21	0.00107	0.00247	0.00177
1959	22	0.00114	0.0028	0.00197
1959	23	0.00121	0.00311	0.00216
1959	24	0.00128	0.00346	0.00237
1959	25	0.00127	0.00363	0.00245
1959	26	0.00121	0.00348	0.002345
1959	27	0.00124	0.00336	0.0023
1959	28	0.00129	0.00321	0.00225
1959	29	0.0014	0.00314	0.00227
1959	30	0.00147	0.00304	0.002255
1959	31	0.00153	0.00297	0.00225
1959	32	0.00161	0.00329	0.00245
1959	33	0.00159	0.00371	0.00265
1959	34	0.00163	0.00408	0.002855
1959	35	0.0016	0.00424	0.00292
1959	36	0.00159	0.00427	0.00293
1959	37	0.00173	0.00436	0.003045
1959	38	0.00189	0.00435	0.00312
1959	39	0.00207	0.00449	0.00328
1959	40	0.00216	0.00441	0.003285
1959	41	0.00252	0.00477	0.003645
1959	42	0.00302	0.00541	0.004215
1959	43	0.00301	0.00541	0.00421
1959	44	0.00304	0.00554	0.00429
1959	45	0.00324	0.00588	0.00456
1959	46	0.00358	0.00643	0.005005
1959	47	0.00394	0.0072	0.00557
1959	48	0.00417	0.00784	0.006005
1959	49	0.00441	0.00866	0.006535
1959	50	0.00464	0.0096	0.00712
1959	51	0.00489	0.00996	0.007425
1959	52	0.00521	0.01029	0.00775
1959	53	0.00553	0.01106	0.008295
1959	54	0.00599	0.01203	0.00901
1959	55	0.00631	0.01319	0.00975
1959	56	0.00677	0.01466	0.010715
1959	57	0.00781	0.01684	0.012325
1959	58	0.00818	0.01827	0.013225
1959	59	0.00917	0.01991	0.01454
1959	60	0.01082	0.02222	0.01652
1959	61	0.01221	0.0239	0.018055
1959	62	0.01419	0.02632	0.020255
1959	63	0.01496	0.02727	0.021115
1959	64	0.0169	0.02961	0.023255
1959	65	0.01918	0.03304	0.02611
1959	66	0.02131	0.03647	0.02889
1959	67	0.02332	0.04006	0.03169
1959	68	0.02387	0.04203	0.03295
1959	69	0.02613	0.04537	0.03575
1959	70	0.02854	0.04482	0.03668
1959	71	0.0325	0.048	0.04025
1959	72	0.03948	0.05474	0.04711
1959	73	0.04009	0.05564	0.047865
1959	74	0.04471	0.0578	0.051255
1959	75	0.0491	0.05826	0.05368
1959	76	0.05373	0.06276	0.058245
1959	77	0.06236	0.07357	0.067965
1959	78	0.06668	0.07914	0.07291
1959	79	0.07558	0.08739	0.081485
1959	80	0.08536	0.0983	0.09183
1959	81	0.09613	0.11029	0.10321
1959	82	0.10915	0.12266	0.115905
1959	83	0.12017	0.13657	0.12837
1959	84	0.13217	0.15347	0.14282
1959	85	0.15285	0.17249	0.16267
1959	86	0.17451	0.19651	0.18551
1959	87	0.19528	0.23668	0.21598
1959	88	0.22383	0.29573	0.25978
1959	89	0.26683	0.37325	0.32004
1959	90	0.32501	0.46099	0.393
1959	91	0.35754	0.49413	0.425835
1959	92	0.39839	0.54948	0.473935
1959	93	0.44069	0.60364	0.522165
1959	94	0.48388	0.65537	0.569625
1959	95	0.52731	0.70367	0.61549
1959	96	0.57033	0.7478	0.659065
1959	97	0.61232	0.78734	0.69983
1959	98	0.6527	0.82216	0.73743
1959	99	0.69099	0.85235	0.77167
1959	100	0.72683	0.87817	0.8025
1959	101	0.75996	0.9	0.82998
1959	102	0.79023	0.91829	0.85426
1959	103	0.8176	0.93348	0.87554
1959	104	0.84211	0.94601	0.89406
1959	105	0.86388	0.95629	0.910085
1959	106	0.88306	0.96469	0.923875
1959	107	0.89985	0.97152	0.935685
1959	108	0.91446	0.97706	0.94576
1959	109	0.92712	0.98155	0.954335
1959	110+	0.93803	0.98517	0.9616
1960	0	0.02389	0.0306	0.027245
1960	1	0.00217	0.00253	0.00235
1960	2	0.00149	0.00172	0.001605
1960	3	0.00099	0.00116	0.001075
1960	4	0.00074	0.00084	0.00079
1960	5	0.0007	0.00074	0.00072
1960	6	0.00071	0.00073	0.00072
1960	7	0.00069	0.00073	0.00071
1960	8	0.00062	0.00071	0.000665
1960	9	0.00054	0.00072	0.00063
1960	10	0.00045	0.00075	0.0006
1960	11	0.00038	0.00079	0.000585
1960	12	0.00036	0.00086	0.00061
1960	13	0.00039	0.00099	0.00069
1960	14	0.00046	0.00114	0.0008
1960	15	0.00053	0.00124	0.000885
1960	16	0.00058	0.00132	0.00095
1960	17	0.00061	0.00145	0.00103
1960	18	0.00064	0.00159	0.001115
1960	19	0.00069	0.00184	0.001265
1960	20	0.00078	0.00219	0.001485
1960	21	0.00082	0.00243	0.001625
1960	22	0.00088	0.00269	0.001785
1960	23	0.00094	0.00291	0.001925
1960	24	0.00101	0.00309	0.00205
1960	25	0.00111	0.00323	0.00217
1960	26	0.00117	0.00325	0.00221
1960	27	0.00118	0.00304	0.00211
1960	28	0.00126	0.00294	0.0021
1960	29	0.00135	0.00289	0.00212
1960	30	0.00149	0.00297	0.00223
1960	31	0.00154	0.00304	0.00229
1960	32	0.00159	0.0031	0.002345
1960	33	0.00166	0.00348	0.00257
1960	34	0.00166	0.00394	0.0028
1960	35	0.00173	0.00421	0.00297
1960	36	0.00173	0.00419	0.00296
1960	37	0.00172	0.00406	0.00289
1960	38	0.00185	0.00402	0.002935
1960	39	0.00194	0.00392	0.00293
1960	40	0.00203	0.00405	0.00304
1960	41	0.00206	0.00417	0.003115
1960	42	0.00239	0.00482	0.003605
1960	43	0.00284	0.00571	0.004275
1960	44	0.00285	0.00588	0.004365
1960	45	0.00286	0.006	0.00443
1960	46	0.003	0.00612	0.00456
1960	47	0.00333	0.00646	0.004895
1960	48	0.00376	0.00702	0.00539
1960	49	0.00416	0.00747	0.005815
1960	50	0.00465	0.00813	0.00639
1960	51	0.00512	0.00901	0.007065
1960	52	0.00556	0.00957	0.007565
1960	53	0.00593	0.0102	0.008065
1960	54	0.00623	0.01147	0.00885
1960	55	0.00656	0.013	0.00978
1960	56	0.00681	0.01454	0.010675
1960	57	0.00729	0.01622	0.011755
1960	58	0.00842	0.01851	0.013465
1960	59	0.0089	0.01967	0.014285
1960	60	0.01013	0.02112	0.015625
1960	61	0.0118	0.02336	0.01758
1960	62	0.01307	0.0252	0.019135
1960	63	0.01454	0.02757	0.021055
1960	64	0.01466	0.02855	0.021605
1960	65	0.01573	0.0307	0.023215
1960	66	0.01732	0.03371	0.025515
1960	67	0.01937	0.03721	0.02829
1960	68	0.02188	0.04156	0.03172
1960	69	0.02367	0.04494	0.034305
1960	70	0.02783	0.05098	0.039405
1960	71	0.03033	0.05439	0.04236
1960	72	0.03573	0.05978	0.047755
1960	73	0.04355	0.06873	0.05614
1960	74	0.04464	0.07051	0.057575
1960	75	0.04969	0.07332	0.061505
1960	76	0.05444	0.07369	0.064065
1960	77	0.05972	0.07968	0.0697
1960	78	0.06951	0.0937	0.081605
1960	79	0.07443	0.10042	0.087425
1960	80	0.08552	0.11105	0.098285
1960	81	0.09613	0.12442	0.110275
1960	82	0.10711	0.13784	0.122475
1960	83	0.11906	0.14954	0.1343
1960	84	0.12595	0.16006	0.143005
1960	85	0.13957	0.162	0.150785
1960	86	0.15745	0.17006	0.163755
1960	87	0.17397	0.18021	0.17709
1960	88	0.18782	0.21665	0.202235
1960	89	0.20527	0.23377	0.21952
1960	90	0.2239	0.2518	0.23785
1960	91	0.2437	0.27074	0.25722
1960	92	0.26466	0.29055	0.277605
1960	93	0.28674	0.31119	0.298965
1960	94	0.30988	0.33261	0.321245
1960	95	0.33401	0.35474	0.344375
1960	96	0.35904	0.37751	0.368275
1960	97	0.38487	0.40084	0.392855
1960	98	0.41136	0.42463	0.417995
1960	99	0.43838	0.44877	0.443575
1960	100	0.46577	0.47315	0.46946
1960	101	0.49336	0.49766	0.49551
1960	102	0.521	0.52218	0.52159
1960	103	0.54851	0.5466	0.547555
1960	104	0.57572	0.5708	0.57326
1960	105	0.60248	0.59466	0.59857
1960	106	0.62865	0.61808	0.623365
1960	107	0.65408	0.64096	0.64752
1960	108	0.67866	0.66323	0.670945
1960	109	0.70228	0.68479	0.693535
1960	110+	0.72488	0.70558	0.71523
1961	0	0.0202	0.02898	0.02459
1961	1	0.00191	0.00211	0.00201
1961	2	0.00128	0.00137	0.001325
1961	3	0.00087	0.00095	0.00091
1961	4	0.00065	0.00082	0.000735
1961	5	0.0006	0.00093	0.000765
1961	6	0.00058	0.00102	0.0008
1961	7	0.00057	0.00107	0.00082
1961	8	0.00054	0.00102	0.00078
1961	9	0.00049	0.00086	0.000675
1961	10	0.00044	0.00067	0.000555
1961	11	0.0004	0.00054	0.00047
1961	12	0.0004	0.0005	0.00045
1961	13	0.00045	0.00058	0.000515
1961	14	0.00054	0.00078	0.00066
1961	15	0.00067	0.0011	0.000885
1961	16	0.00075	0.0014	0.001075
1961	17	0.00077	0.00164	0.001205
1961	18	0.00076	0.00187	0.001315
1961	19	0.00074	0.00205	0.001395
1961	20	0.00074	0.0023	0.00152
1961	21	0.00077	0.00257	0.00167
1961	22	0.00078	0.00268	0.00173
1961	23	0.00081	0.0028	0.001805
1961	24	0.00085	0.00287	0.00186
1961	25	0.00092	0.0029	0.00191
1961	26	0.00101	0.00302	0.002015
1961	27	0.00106	0.00312	0.00209
1961	28	0.00105	0.00309	0.00207
1961	29	0.00108	0.00321	0.002145
1961	30	0.00112	0.00343	0.002275
1961	31	0.00121	0.00368	0.002445
1961	32	0.00126	0.0038	0.00253
1961	33	0.00136	0.0038	0.00258
1961	34	0.00152	0.00407	0.002795
1961	35	0.00164	0.0043	0.00297
1961	36	0.00181	0.00429	0.00305
1961	37	0.00187	0.00406	0.002965
1961	38	0.00188	0.00382	0.00285
1961	39	0.00198	0.00375	0.002865
1961	40	0.00202	0.00375	0.002885
1961	41	0.00214	0.00416	0.00315
1961	42	0.00224	0.00461	0.003425
1961	43	0.00267	0.0056	0.004135
1961	44	0.00323	0.00683	0.00503
1961	45	0.00327	0.00705	0.00516
1961	46	0.00318	0.00697	0.005075
1961	47	0.00326	0.00697	0.005115
1961	48	0.00355	0.0073	0.005425
1961	49	0.00393	0.00794	0.005935
1961	50	0.0043	0.00855	0.006425
1961	51	0.0047	0.00946	0.00708
1961	52	0.00507	0.01058	0.007825
1961	53	0.00544	0.01123	0.008335
1961	54	0.00573	0.01185	0.00879
1961	55	0.00602	0.01311	0.009565
1961	56	0.00648	0.0143	0.01039
1961	57	0.00695	0.01548	0.011215
1961	58	0.00765	0.01684	0.012245
1961	59	0.00902	0.01881	0.013915
1961	60	0.00974	0.0199	0.01482
1961	61	0.01102	0.02178	0.0164
1961	62	0.01271	0.02452	0.018615
1961	63	0.01397	0.02684	0.020405
1961	64	0.01541	0.02964	0.022525
1961	65	0.01564	0.03084	0.02324
1961	66	0.01717	0.03288	0.025025
1961	67	0.01941	0.03595	0.02768
1961	68	0.02213	0.03972	0.030925
1961	69	0.02529	0.04451	0.0349
1961	70	0.02745	0.04843	0.03794
1961	71	0.0317	0.05491	0.043305
1961	72	0.03423	0.05854	0.046385
1961	73	0.04001	0.06414	0.052075
1961	74	0.04848	0.07341	0.060945
1961	75	0.04982	0.07508	0.06245
1961	76	0.05561	0.07777	0.06669
1961	77	0.06147	0.07809	0.06978
1961	78	0.06802	0.08471	0.076365
1961	79	0.07991	0.10029	0.0901
1961	80	0.08913	0.10801	0.09857
1961	81	0.09904	0.12036	0.1097
1961	82	0.1109	0.13553	0.123215
1961	83	0.12274	0.15049	0.136615
1961	84	0.13501	0.16269	0.14885
1961	85	0.14265	0.16666	0.154655
1961	86	0.16078	0.1794	0.17009
1961	87	0.18185	0.18927	0.18556
1961	88	0.2008	0.20227	0.201535
1961	89	0.21447	0.25766	0.236065
1961	90	0.23403	0.28128	0.257655
1961	91	0.25481	0.30616	0.280485
1961	92	0.27675	0.33223	0.30449
1961	93	0.29983	0.35937	0.3296
1961	94	0.32398	0.38744	0.35571
1961	95	0.34909	0.41628	0.382685
1961	96	0.37508	0.4457	0.41039
1961	97	0.4018	0.47551	0.438655
1961	98	0.42912	0.5055	0.46731
1961	99	0.45688	0.53544	0.49616
1961	100	0.48491	0.56514	0.525025
1961	101	0.51303	0.59437	0.5537
1961	102	0.54107	0.62294	0.582005
1961	103	0.56886	0.65069	0.609775
1961	104	0.59621	0.67745	0.63683
1961	105	0.62299	0.7031	0.663045
1961	106	0.64903	0.72753	0.68828
1961	107	0.67421	0.75066	0.712435
1961	108	0.69843	0.77245	0.73544
1961	109	0.72159	0.79285	0.75722
1961	110+	0.74362	0.81187	0.777745
1962	0	0.0208	0.02793	0.024365
1962	1	0.00268	0.00346	0.00307
1962	2	0.00151	0.00157	0.00154
1962	3	0.0013	0.00152	0.00141
1962	4	0.00085	0.00132	0.001085
1962	5	0.00093	0.00065	0.00079
1962	6	0.00062	0.00073	0.000675
1962	7	0.00044	0.00079	0.000615
1962	8	0.00059	0.00063	0.00061
1962	9	0.0004	0.00076	0.00058
1962	10	0.00033	0.0008	0.000565
1962	11	0.00039	0.00085	0.00062
1962	12	0.00057	0.00054	0.000555
1962	13	0.00012	0.00065	0.000385
1962	14	0.00032	0.00056	0.00044
1962	15	0.00069	0.0004	0.000545
1962	16	0.00051	0.00078	0.000645
1962	17	0.0005	0.00163	0.001065
1962	18	0.00074	0.00219	0.001465
1962	19	0.00068	0.00217	0.001425
1962	20	0.00062	0.00193	0.001275
1962	21	0.00098	0.00235	0.001665
1962	22	0.00108	0.00214	0.00161
1962	23	0.00111	0.00388	0.002495
1962	24	0.00084	0.00307	0.001955
1962	25	0.00059	0.00352	0.002055
1962	26	0.00077	0.00315	0.00196
1962	27	0.00163	0.00388	0.002755
1962	28	0.00134	0.00349	0.002415
1962	29	0.00071	0.00278	0.001745
1962	30	0.00091	0.00346	0.002185
1962	31	0.00136	0.00282	0.00209
1962	32	0.00136	0.00352	0.00244
1962	33	0.001	0.00289	0.001945
1962	34	0.00152	0.00393	0.002725
1962	35	0.00109	0.00432	0.002705
1962	36	0.00141	0.00422	0.002815
1962	37	0.00186	0.00472	0.00329
1962	38	0.00199	0.00525	0.00362
1962	39	0.00199	0.00447	0.00323
1962	40	0.00153	0.00495	0.00324
1962	41	0.00251	0.00635	0.00443
1962	42	0.00297	0.00593	0.00445
1962	43	0.00255	0.00495	0.00375
1962	44	0.00208	0.00609	0.004085
1962	45	0.00244	0.00574	0.00409
1962	46	0.00469	0.00552	0.005105
1962	47	0.00273	0.00716	0.004945
1962	48	0.00272	0.00844	0.00558
1962	49	0.00462	0.00968	0.00715
1962	50	0.00517	0.00934	0.007255
1962	51	0.00498	0.01049	0.007735
1962	52	0.0057	0.00914	0.00742
1962	53	0.00597	0.01114	0.008555
1962	54	0.00731	0.01161	0.00946
1962	55	0.00558	0.01407	0.009825
1962	56	0.00743	0.01221	0.00982
1962	57	0.00731	0.01429	0.0108
1962	58	0.0089	0.01574	0.01232
1962	59	0.00828	0.0196	0.01394
1962	60	0.01071	0.02351	0.01711
1962	61	0.01227	0.02705	0.01966
1962	62	0.01181	0.02563	0.01872
1962	63	0.01219	0.02689	0.01954
1962	64	0.01637	0.03263	0.0245
1962	65	0.01805	0.03124	0.024645
1962	66	0.01941	0.03266	0.026035
1962	67	0.02319	0.04035	0.03177
1962	68	0.02449	0.04061	0.03255
1962	69	0.0244	0.04369	0.034045
1962	70	0.03361	0.0486	0.041105
1962	71	0.03357	0.05441	0.04399
1962	72	0.04078	0.06316	0.05197
1962	73	0.03847	0.06412	0.051295
1962	74	0.04668	0.08763	0.067155
1962	75	0.05428	0.08213	0.068205
1962	76	0.06326	0.0854	0.07433
1962	77	0.07104	0.08694	0.07899
1962	78	0.08027	0.10561	0.09294
1962	79	0.0777	0.10432	0.09101
1962	80	0.1032	0.09972	0.10146
1962	81	0.10847	0.11764	0.113055
1962	82	0.12613	0.14711	0.13662
1962	83	0.13818	0.13471	0.136445
1962	84	0.15403	0.17837	0.1662
1962	85	0.14907	0.17818	0.163625
1962	86	0.19375	0.21205	0.2029
1962	87	0.1989	0.21806	0.20848
1962	88	0.21658	0.23173	0.224155
1962	89	0.25123	0.29842	0.274825
1962	90	0.26183	0.31759	0.28971
1962	91	0.28463	0.34882	0.316725
1962	92	0.30859	0.38142	0.345005
1962	93	0.33362	0.41511	0.374365
1962	94	0.35963	0.44962	0.404625
1962	95	0.3865	0.48462	0.43556
1962	96	0.41407	0.51978	0.466925
1962	97	0.44219	0.55474	0.498465
1962	98	0.47068	0.58916	0.52992
1962	99	0.49937	0.62273	0.56105
1962	100	0.52806	0.65517	0.591615
1962	101	0.55657	0.68622	0.621395
1962	102	0.58471	0.71569	0.6502
1962	103	0.61231	0.74343	0.67787
1962	104	0.6392	0.76933	0.704265
1962	105	0.66525	0.79334	0.729295
1962	106	0.69033	0.81546	0.752895
1962	107	0.71434	0.8357	0.77502
1962	108	0.7372	0.85411	0.795655
1962	109	0.75884	0.87078	0.81481
1962	110+	0.77924	0.8858	0.83252
1963	0	0.02091	0.02954	0.025225
1963	1	0.00293	0.00246	0.002695
1963	2	0.0018	0.00161	0.001705
1963	3	0.00081	0.00122	0.001015
1963	4	0.00041	0.00073	0.00057
1963	5	0.00061	0.00086	0.000735
1963	6	0.00068	0.00065	0.000665
1963	7	0.00043	0.00091	0.00067
1963	8	0.00056	0.00085	0.000705
1963	9	0.00046	0.00081	0.000635
1963	10	0.00046	0.00076	0.00061
1963	11	0.00026	0.00097	0.000615
1963	12	0.00058	0.00143	0.001005
1963	13	0.00038	0.00117	0.000775
1963	14	0.00049	0.00117	0.00083
1963	15	0.00026	0.00141	0.000835
1963	16	0.00068	0.00131	0.000995
1963	17	0.00065	0.00134	0.000995
1963	18	0.00071	0.00183	0.00127
1963	19	0.00113	0.00217	0.00165
1963	20	0.00123	0.00252	0.001875
1963	21	0.00106	0.00168	0.00137
1963	22	0.00092	0.00259	0.001755
1963	23	0.00086	0.00222	0.00154
1963	24	0.00078	0.0026	0.00169
1963	25	0.00115	0.00308	0.002115
1963	26	0.00095	0.00263	0.00179
1963	27	0.00083	0.00323	0.00203
1963	28	0.00098	0.00348	0.00223
1963	29	0.00122	0.00315	0.002185
1963	30	0.00131	0.00371	0.00251
1963	31	0.00144	0.00242	0.00193
1963	32	0.00099	0.00402	0.002505
1963	33	0.00125	0.00407	0.00266
1963	34	0.001	0.00407	0.002535
1963	35	0.00093	0.00379	0.00236
1963	36	0.00153	0.00325	0.00239
1963	37	0.0018	0.00413	0.002965
1963	38	0.00201	0.00385	0.00293
1963	39	0.00143	0.00427	0.00285
1963	40	0.00168	0.00534	0.00351
1963	41	0.00164	0.00446	0.00305
1963	42	0.00298	0.00634	0.00466
1963	43	0.00305	0.00592	0.004485
