"Netherlands,"				
				
Year	Age	Female	Male	Total
1850	0	0.20385	0.24315	0.2235
1850	1	0.06409	0.0675	0.065795
1850	2	0.03214	0.03337	0.032755
1850	3	0.01905	0.02028	0.019665
1850	4	0.01387	0.01551	0.01469
1850	5	0.01173	0.01192	0.011825
1850	6	0.00921	0.00948	0.009345
1850	7	0.00792	0.00811	0.008015
1850	8	0.0072	0.00718	0.00719
1850	9	0.00639	0.00605	0.00622
1850	10	0.00573	0.00536	0.005545
1850	11	0.00521	0.00477	0.00499
1850	12	0.0046	0.00417	0.004385
1850	13	0.00451	0.00367	0.00409
1850	14	0.00551	0.00419	0.00485
1850	15	0.00578	0.00415	0.004965
1850	16	0.00516	0.00398	0.00457
1850	17	0.006	0.00525	0.005625
1850	18	0.00661	0.00721	0.00691
1850	19	0.00664	0.00752	0.00708
1850	20	0.00703	0.00826	0.007645
1850	21	0.00663	0.00902	0.007825
1850	22	0.00829	0.00953	0.00891
1850	23	0.0077	0.00918	0.00844
1850	24	0.00735	0.00819	0.00777
1850	25	0.00886	0.00922	0.00904
1850	26	0.00887	0.00894	0.008905
1850	27	0.00983	0.00937	0.0096
1850	28	0.01115	0.00904	0.010095
1850	29	0.01121	0.00922	0.010215
1850	30	0.01011	0.00888	0.009495
1850	31	0.01074	0.00823	0.009485
1850	32	0.0129	0.00991	0.011405
1850	33	0.01262	0.0105	0.01156
1850	34	0.01262	0.00965	0.011135
1850	35	0.01159	0.00978	0.010685
1850	36	0.0119	0.01017	0.011035
1850	37	0.01286	0.01011	0.011485
1850	38	0.01438	0.01182	0.0131
1850	39	0.01388	0.01217	0.013025
1850	40	0.0139	0.01191	0.012905
1850	41	0.01373	0.01301	0.01337
1850	42	0.01463	0.01442	0.014525
1850	43	0.01333	0.01374	0.013535
1850	44	0.01198	0.01394	0.01296
1850	45	0.01389	0.01553	0.01471
1850	46	0.01348	0.01533	0.014405
1850	47	0.0135	0.01514	0.01432
1850	48	0.01405	0.01733	0.01569
1850	49	0.01373	0.01562	0.014675
1850	50	0.01371	0.01811	0.01591
1850	51	0.01539	0.01927	0.01733
1850	52	0.01788	0.02325	0.020565
1850	53	0.01731	0.02087	0.01909
1850	54	0.01775	0.02353	0.02064
1850	55	0.01807	0.02341	0.02074
1850	56	0.02146	0.02471	0.023085
1850	57	0.02194	0.02566	0.0238
1850	58	0.02243	0.02937	0.0259
1850	59	0.02378	0.02919	0.026485
1850	60	0.02621	0.03363	0.02992
1850	61	0.02677	0.0353	0.031035
1850	62	0.03171	0.03535	0.03353
1850	63	0.03472	0.03798	0.03635
1850	64	0.03981	0.04245	0.04113
1850	65	0.04106	0.0496	0.04533
1850	66	0.04539	0.05147	0.04843
1850	67	0.04441	0.04936	0.046885
1850	68	0.05675	0.05533	0.05604
1850	69	0.05748	0.06065	0.059065
1850	70	0.0593	0.06081	0.060055
1850	71	0.06806	0.0665	0.06728
1850	72	0.08458	0.0755	0.08004
1850	73	0.07868	0.08874	0.08371
1850	74	0.0921	0.09655	0.094325
1850	75	0.0988	0.10377	0.101285
1850	76	0.10542	0.10738	0.1064
1850	77	0.11082	0.11704	0.11393
1850	78	0.12545	0.12629	0.12587
1850	79	0.12958	0.13709	0.133335
1850	80	0.13772	0.16432	0.15102
1850	81	0.13664	0.15916	0.1479
1850	82	0.16312	0.17851	0.170815
1850	83	0.19868	0.18905	0.193865
1850	84	0.20958	0.20521	0.207395
1850	85	0.23019	0.22095	0.22557
1850	86	0.23288	0.23873	0.235805
1850	87	0.25235	0.25539	0.25387
1850	88	0.27288	0.27279	0.272835
1850	89	0.29441	0.29092	0.292665
1850	90	0.3169	0.30973	0.313315
1850	91	0.34029	0.3292	0.334745
1850	92	0.36447	0.34928	0.356875
1850	93	0.38937	0.3699	0.379635
1850	94	0.41485	0.39101	0.40293
1850	95	0.4408	0.41253	0.426665
1850	96	0.46707	0.4344	0.450735
1850	97	0.49353	0.45652	0.475025
1850	98	0.52002	0.47881	0.499415
1850	99	0.5464	0.50119	0.523795
1850	100	0.57253	0.52357	0.54805
1850	101	0.59825	0.54585	0.57205
1850	102	0.62345	0.56795	0.5957
1850	103	0.64799	0.58978	0.618885
1850	104	0.67178	0.61126	0.64152
1850	105	0.69472	0.63232	0.66352
1850	106	0.71673	0.65289	0.68481
1850	107	0.73775	0.6729	0.705325
1850	108	0.75774	0.6923	0.72502
1850	109	0.77667	0.71105	0.74386
1850	110+	0.79452	0.7291	0.76181
1851	0	0.19928	0.23712	0.2182
1851	1	0.07145	0.07218	0.071815
1851	2	0.03969	0.0397	0.039695
1851	3	0.02145	0.0216	0.021525
1851	4	0.01528	0.01499	0.015135
1851	5	0.01143	0.01113	0.01128
1851	6	0.00993	0.01007	0.01
1851	7	0.00842	0.00837	0.008395
1851	8	0.00729	0.00672	0.007005
1851	9	0.00639	0.00551	0.00595
1851	10	0.00577	0.00535	0.00556
1851	11	0.00505	0.00466	0.004855
1851	12	0.00443	0.00358	0.004005
1851	13	0.00429	0.00321	0.00375
1851	14	0.005	0.00338	0.00419
1851	15	0.00516	0.00321	0.004185
1851	16	0.00522	0.00368	0.00445
1851	17	0.006	0.0047	0.00535
1851	18	0.00653	0.00638	0.006455
1851	19	0.00725	0.00726	0.007255
1851	20	0.00812	0.00832	0.00822
1851	21	0.00569	0.00851	0.0071
1851	22	0.00714	0.00888	0.00801
1851	23	0.00729	0.00923	0.00826
1851	24	0.00709	0.00841	0.00775
1851	25	0.00847	0.00908	0.008775
1851	26	0.00827	0.0085	0.008385
1851	27	0.00887	0.00853	0.0087
1851	28	0.00993	0.00817	0.00905
1851	29	0.00992	0.00814	0.00903
1851	30	0.0096	0.00892	0.00926
1851	31	0.00967	0.00786	0.008765
1851	32	0.01125	0.00917	0.01021
1851	33	0.01248	0.01095	0.011715
1851	34	0.01195	0.00964	0.010795
1851	35	0.01058	0.00892	0.00975
1851	36	0.01138	0.00942	0.0104
1851	37	0.01185	0.00923	0.01054
1851	38	0.01387	0.01108	0.012475
1851	39	0.01379	0.01147	0.01263
1851	40	0.01244	0.01038	0.01141
1851	41	0.01158	0.01101	0.011295
1851	42	0.01302	0.01268	0.01285
1851	43	0.0129	0.01279	0.012845
1851	44	0.01102	0.01258	0.0118
1851	45	0.01262	0.01446	0.01354
1851	46	0.01215	0.01427	0.01321
1851	47	0.01234	0.01437	0.013355
1851	48	0.0128	0.0161	0.01445
1851	49	0.01274	0.01499	0.013865
1851	50	0.01435	0.01709	0.01572
1851	51	0.01426	0.0166	0.01543
1851	52	0.0169	0.01987	0.018385
1851	53	0.01612	0.02087	0.018495
1851	54	0.01635	0.02252	0.019435
1851	55	0.01645	0.0233	0.019875
1851	56	0.02049	0.02332	0.021905
1851	57	0.02151	0.02416	0.022835
1851	58	0.02166	0.02724	0.02445
1851	59	0.02357	0.02727	0.02542
1851	60	0.02648	0.03102	0.02875
1851	61	0.02542	0.03404	0.02973
1851	62	0.03031	0.0375	0.033905
1851	63	0.03305	0.03815	0.0356
1851	64	0.03599	0.03909	0.03754
1851	65	0.0393	0.04844	0.04387
1851	66	0.04218	0.04935	0.045765
1851	67	0.03825	0.04851	0.04338
1851	68	0.04924	0.05357	0.051405
1851	69	0.0535	0.058	0.05575
1851	70	0.05657	0.05848	0.057525
1851	71	0.05459	0.05947	0.05703
1851	72	0.07284	0.0759	0.07437
1851	73	0.08501	0.08699	0.086
1851	74	0.09302	0.08743	0.090225
1851	75	0.09837	0.09768	0.098025
1851	76	0.0984	0.09614	0.09727
1851	77	0.10113	0.1192	0.110165
1851	78	0.11371	0.12076	0.117235
1851	79	0.129	0.12762	0.12831
1851	80	0.12976	0.14658	0.13817
1851	81	0.14085	0.1518	0.146325
1851	82	0.16842	0.1791	0.17376
1851	83	0.17853	0.18439	0.18146
1851	84	0.18732	0.18709	0.187205
1851	85	0.20024	0.21498	0.20761
1851	86	0.22067	0.25964	0.240155
1851	87	0.22742	0.24578	0.2366
1851	88	0.24358	0.26331	0.253445
1851	89	0.26051	0.28163	0.27107
1851	90	0.27817	0.30071	0.28944
1851	91	0.29655	0.3205	0.308525
1851	92	0.31562	0.34096	0.32829
1851	93	0.33532	0.36203	0.348675
1851	94	0.35562	0.38364	0.36963
1851	95	0.37645	0.40572	0.391085
1851	96	0.39775	0.42819	0.41297
