"Norway,"				
				
Year	Age	Female	Male	Total
1846	0	0.1095	0.13021	0.119855
1846	1	0.04984	0.05241	0.051125
1846	2	0.02793	0.02756	0.027745
1846	3	0.0205	0.01928	0.01989
1846	4	0.01396	0.01344	0.0137
1846	5	0.00995	0.00986	0.009905
1846	6	0.00861	0.00842	0.008515
1846	7	0.00735	0.00697	0.00716
1846	8	0.00628	0.00607	0.006175
1846	9	0.00457	0.00478	0.004675
1846	10	0.00312	0.00376	0.00344
1846	11	0.0028	0.0036	0.0032
1846	12	0.00284	0.00375	0.003295
1846	13	0.00335	0.00366	0.003505
1846	14	0.00365	0.00351	0.00358
1846	15	0.00383	0.00375	0.00379
1846	16	0.0038	0.00429	0.004045
1846	17	0.00362	0.00504	0.00433
1846	18	0.00382	0.00579	0.004805
1846	19	0.0046	0.00687	0.005735
1846	20	0.00519	0.00759	0.00639
1846	21	0.0054	0.0077	0.00655
1846	22	0.00541	0.00777	0.00659
1846	23	0.00558	0.00755	0.006565
1846	24	0.0057	0.00734	0.00652
1846	25	0.00567	0.00743	0.00655
1846	26	0.00593	0.00726	0.006595
1846	27	0.00632	0.00725	0.006785
1846	28	0.00633	0.00694	0.006635
1846	29	0.00629	0.00704	0.006665
1846	30	0.0065	0.0076	0.00705
1846	31	0.00758	0.00796	0.00777
1846	32	0.00875	0.00892	0.008835
1846	33	0.00809	0.00829	0.00819
1846	34	0.00766	0.00809	0.007875
1846	35	0.00835	0.00904	0.008695
1846	36	0.00918	0.0105	0.00984
1846	37	0.00871	0.01023	0.00947
1846	38	0.00762	0.00844	0.00803
1846	39	0.00835	0.00944	0.008895
1846	40	0.00889	0.00974	0.009315
1846	41	0.0089	0.01031	0.009605
1846	42	0.00965	0.0115	0.010575
1846	43	0.00987	0.0119	0.010885
1846	44	0.00995	0.01332	0.011635
1846	45	0.00932	0.01235	0.010835
1846	46	0.00915	0.01226	0.010705
1846	47	0.0097	0.01443	0.012065
1846	48	0.00991	0.01519	0.01255
1846	49	0.01155	0.01749	0.01452
1846	50	0.01239	0.01711	0.01475
1846	51	0.01158	0.01549	0.013535
1846	52	0.01319	0.01664	0.014915
1846	53	0.01394	0.01652	0.01523
1846	54	0.0147	0.01861	0.016655
1846	55	0.01649	0.02095	0.01872
1846	56	0.01658	0.02226	0.01942
1846	57	0.01654	0.02329	0.019915
1846	58	0.0179	0.02443	0.021165
1846	59	0.02466	0.02827	0.026465
1846	60	0.02723	0.02859	0.02791
1846	61	0.0231	0.02765	0.025375
1846	62	0.0258	0.03207	0.028935
1846	63	0.03	0.03577	0.032885
1846	64	0.0305	0.03668	0.03359
1846	65	0.0316	0.03739	0.034495
1846	66	0.03386	0.04015	0.037005
1846	67	0.03737	0.04244	0.039905
1846	68	0.03934	0.04419	0.041765
1846	69	0.04629	0.05278	0.049535
1846	70	0.04498	0.05028	0.04763
1846	71	0.0444	0.0497	0.04705
1846	72	0.06121	0.06914	0.065175
1846	73	0.07063	0.07551	0.07307
1846	74	0.07828	0.07865	0.078465
1846	75	0.08229	0.08625	0.08427
1846	76	0.08954	0.09553	0.092535
1846	77	0.10398	0.11199	0.107985
1846	78	0.10509	0.11693	0.11101
1846	79	0.12803	0.1326	0.130315
1846	80	0.11583	0.12256	0.119195
1846	81	0.11218	0.12142	0.1168
1846	82	0.12192	0.13397	0.127945
1846	83	0.13237	0.14759	0.13998
1846	84	0.14357	0.16233	0.15295
1846	85	0.15556	0.17825	0.166905
1846	86	0.16834	0.19535	0.181845
1846	87	0.18196	0.21367	0.197815
1846	88	0.19641	0.23322	0.214815
1846	89	0.21171	0.25397	0.23284
1846	90	0.22787	0.2759	0.251885
1846	91	0.24487	0.29897	0.27192
1846	92	0.26272	0.32311	0.292915
1846	93	0.28138	0.34823	0.314805
1846	94	0.30082	0.37422	0.33752
1846	95	0.32101	0.40096	0.360985
1846	96	0.34189	0.4283	0.385095
1846	97	0.3634	0.45609	0.409745
1846	98	0.38547	0.48415	0.43481
1846	99	0.40802	0.51231	0.460165
1846	100	0.43097	0.5404	0.485685
1846	101	0.45422	0.56823	0.511225
1846	102	0.47767	0.59563	0.53665
1846	103	0.50122	0.62246	0.56184
1846	104	0.52476	0.64855	0.586655
1846	105	0.54819	0.67378	0.610985
1846	106	0.57141	0.69805	0.63473
1846	107	0.59432	0.72126	0.65779
1846	108	0.61683	0.74334	0.680085
1846	109	0.63885	0.76424	0.701545
1846	110+	0.6603	0.78394	0.72212
1847	0	0.11381	0.13491	0.12436
1847	1	0.05884	0.06189	0.060365
1847	2	0.03359	0.03317	0.03338
1847	3	0.02595	0.02284	0.024395
1847	4	0.01764	0.01625	0.016945
1847	5	0.01224	0.01224	0.01224
1847	6	0.01044	0.01038	0.01041
1847	7	0.00946	0.00925	0.009355
1847	8	0.00841	0.00834	0.008375
1847	9	0.00637	0.00652	0.006445
1847	10	0.00485	0.00535	0.0051
1847	11	0.00431	0.005	0.004655
1847	12	0.00407	0.00483	0.00445
1847	13	0.00467	0.00478	0.004725
1847	14	0.00527	0.00473	0.005
1847	15	0.00572	0.00511	0.005415
1847	16	0.00577	0.00592	0.005845
1847	17	0.00533	0.00661	0.00597
1847	18	0.00549	0.00747	0.00648
1847	19	0.00584	0.00863	0.007235
1847	20	0.00555	0.00857	0.00706
1847	21	0.00548	0.00816	0.00682
1847	22	0.00564	0.00859	0.007115
1847	23	0.00582	0.00851	0.007165
1847	24	0.00594	0.00821	0.007075
1847	25	0.00587	0.00823	0.00705
1847	26	0.00593	0.00766	0.006795
1847	27	0.0063	0.00767	0.006985
1847	28	0.00658	0.00768	0.00713
1847	29	0.0072	0.00797	0.007585
1847	30	0.00696	0.00768	0.00732
1847	31	0.0071	0.00695	0.007025
1847	32	0.00903	0.00857	0.0088
1847	33	0.0099	0.00961	0.009755
1847	34	0.00872	0.00879	0.008755
1847	35	0.00877	0.00911	0.00894
1847	36	0.00935	0.01	0.009675
1847	37	0.0102	0.01097	0.010585
1847	38	0.0097	0.01037	0.010035
1847	39	0.00986	0.01052	0.01019
1847	40	0.01052	0.01024	0.01038
1847	41	0.01013	0.01012	0.010125
1847	42	0.01134	0.01168	0.01151
1847	43	0.01172	0.01224	0.01198
1847	44	0.01198	0.01426	0.01312
1847	45	0.01169	0.01381	0.01275
1847	46	0.01109	0.01295	0.01202
1847	47	0.01148	0.01498	0.01323
1847	48	0.01168	0.01579	0.013735
1847	49	0.01355	0.01863	0.01609
1847	50	0.01459	0.0189	0.016745
1847	51	0.01435	0.01776	0.016055
1847	52	0.0161	0.01883	0.017465
1847	53	0.01655	0.01862	0.017585
1847	54	0.01702	0.02029	0.018655
1847	55	0.01876	0.02225	0.020505
1847	56	0.01898	0.02388	0.02143
1847	57	0.01897	0.02536	0.022165
1847	58	0.0201	0.02621	0.023155
1847	59	0.02829	0.03099	0.02964
1847	60	0.03149	0.0316	0.031545
1847	61	0.02688	0.03065	0.028765
1847	62	0.02909	0.03502	0.032055
1847	63	0.03478	0.04025	0.037515
1847	64	0.03773	0.04368	0.040705
1847	65	0.03744	0.04297	0.040205
1847	66	0.03852	0.04424	0.04138
1847	67	0.04252	0.04657	0.044545
1847	68	0.04627	0.05052	0.048395
1847	69	0.05108	0.05934	0.05521
1847	70	0.05372	0.06409	0.058905
1847	71	0.04981	0.06018	0.054995
1847	72	0.05852	0.07134	0.06493
1847	73	0.07894	0.09097	0.084955
1847	74	0.09801	0.10549	0.10175
1847	75	0.09785	0.10852	0.103185
1847	76	0.10318	0.11547	0.109325
1847	77	0.11711	0.1332	0.125155
1847	78	0.12064	0.14279	0.131715
1847	79	0.14642	0.15524	0.15083
1847	80	0.13259	0.13793	0.13526
1847	81	0.12668	0.13911	0.132895
1847	82	0.13816	0.1501	0.14413
1847	83	0.15049	0.16179	0.15614
1847	84	0.16372	0.1742	0.16896
1847	85	0.17786	0.18736	0.18261
1847	86	0.19294	0.20127	0.197105
1847	87	0.20898	0.21593	0.212455
1847	88	0.22598	0.23135	0.228665
1847	89	0.24393	0.24753	0.24573
1847	90	0.26283	0.26445	0.26364
1847	91	0.28264	0.28209	0.282365
1847	92	0.30334	0.30043	0.301885
1847	93	0.32486	0.31943	0.322145
1847	94	0.34714	0.33905	0.343095
1847	95	0.37012	0.35924	0.36468
1847	96	0.3937	0.37994	0.38682
1847	97	0.41779	0.40108	0.409435
1847	98	0.44228	0.4226	0.43244
1847	99	0.46705	0.44442	0.455735
1847	100	0.49198	0.46646	0.47922
1847	101	0.51695	0.48862	0.502785
1847	102	0.54184	0.51083	0.526335
1847	103	0.56652	0.533	0.54976
1847	104	0.59088	0.55504	0.57296
1847	105	0.6148	0.57687	0.595835
1847	106	0.63817	0.59839	0.61828
1847	107	0.66091	0.61955	0.64023
1847	108	0.68293	0.64026	0.661595
1847	109	0.70416	0.66046	0.68231
1847	110+	0.72455	0.6801	0.702325
1848	0	0.11135	0.1348	0.123075
1848	1	0.05472	0.05875	0.056735
1848	2	0.0304	0.03205	0.031225
1848	3	0.02404	0.02426	0.02415
1848	4	0.01752	0.01703	0.017275
1848	5	0.0117	0.0115	0.0116
1848	6	0.00919	0.00907	0.00913
1848	7	0.00825	0.00799	0.00812
1848	8	0.00774	0.00773	0.007735
1848	9	0.00595	0.00595	0.00595
1848	10	0.00439	0.00451	0.00445
1848	11	0.00401	0.00434	0.004175
1848	12	0.00368	0.00409	0.003885
1848	13	0.00395	0.00379	0.00387
1848	14	0.00439	0.00376	0.004075
1848	15	0.00497	0.00423	0.0046
1848	16	0.00522	0.00499	0.005105
1848	17	0.00483	0.00562	0.005225
1848	18	0.00474	0.00606	0.0054
1848	19	0.00513	0.00772	0.006425
1848	20	0.00544	0.0091	0.00727
1848	21	0.0054	0.0085	0.00695
1848	22	0.00528	0.00843	0.006855
1848	23	0.00562	0.00871	0.007165
1848	24	0.00582	0.00851	0.007165
1848	25	0.00575	0.00848	0.007115
1848	26	0.00565	0.00787	0.00676
1848	27	0.00572	0.00754	0.00663
1848	28	0.00603	0.00754	0.006785
1848	29	0.00737	0.00857	0.00797
1848	30	0.00784	0.009	0.00842
1848	31	0.00723	0.00747	0.00735
1848	32	0.00797	0.00799	0.00798
1848	33	0.00967	0.00978	0.009725
1848	34	0.01027	0.01075	0.01051
1848	35	0.00955	0.01044	0.009995
1848	36	0.00935	0.01069	0.01002
1848	37	0.00982	0.01114	0.01048
1848	38	0.01079	0.01177	0.01128
1848	39	0.01138	0.01278	0.01208
1848	40	0.01038	0.0109	0.01064
1848	41	0.00962	0.01024	0.00993
1848	42	0.01014	0.01108	0.01061
1848	43	0.01082	0.01204	0.01143
1848	44	0.01132	0.01425	0.012785
1848	45	0.01127	0.01437	0.01282
1848	46	0.01114	0.01413	0.012635
1848	47	0.0111	0.01544	0.01327
1848	48	0.01124	0.01602	0.01363
1848	49	0.0135	0.0197	0.0166
1848	50	0.01468	0.02033	0.017505
1848	51	0.01447	0.01927	0.01687
1848	52	0.01683	0.02127	0.01905
1848	53	0.0172	0.02075	0.018975
1848	54	0.01757	0.02234	0.019955
1848	55	0.01855	0.02377	0.02116
1848	56	0.01827	0.02499	0.02163
1848	57	0.01857	0.0266	0.022585
1848	58	0.02003	0.02792	0.023975
1848	59	0.02895	0.03368	0.031315
1848	60	0.03363	0.03539	0.03451
1848	61	0.02917	0.03426	0.031715
1848	62	0.03176	0.03939	0.035575
1848	63	0.0368	0.0446	0.0407
1848	64	0.04117	0.05004	0.045605
1848	65	0.04345	0.05244	0.047945
1848	66	0.04292	0.05215	0.047535
1848	67	0.04537	0.05284	0.049105
1848	68	0.04958	0.05706	0.05332
1848	69	0.05748	0.06473	0.061105
1848	70	0.05717	0.0624	0.059785
1848	71	0.05754	0.06498	0.06126
1848	72	0.0636	0.07321	0.068405
1848	73	0.073	0.07919	0.076095
1848	74	0.10681	0.10737	0.10709
1848	75	0.12022	0.1228	0.12151
1848	76	0.12034	0.12274	0.12154
1848	77	0.13233	0.13657	0.13445
1848	78	0.13242	0.14432	0.13837
1848	79	0.15966	0.16704	0.16335
1848	80	0.14235	0.15336	0.147855
1848	81	0.12241	0.13542	0.128915
1848	82	0.14432	0.15586	0.15009
1848	83	0.16799	0.1894	0.178695
1848	84	0.18306	0.20952	0.19629
1848	85	0.18944	0.21312	0.20128
1848	86	0.20478	0.23045	0.217615
1848	87	0.22103	0.24875	0.23489
1848	88	0.23818	0.26799	0.253085
1848	89	0.25623	0.28815	0.27219
1848	90	0.27515	0.30919	0.29217
1848	91	0.29491	0.33105	0.31298
1848	92	0.31547	0.35366	0.334565
1848	93	0.33678	0.37695	0.356865
1848	94	0.35878	0.40082	0.3798
1848	95	0.38139	0.42517	0.40328
1848	96	0.40452	0.44989	0.427205
1848	97	0.42808	0.47486	0.45147
1848	98	0.45198	0.49995	0.475965
1848	99	0.4761	0.52505	0.500575
1848	100	0.50033	0.55002	0.525175
1848	101	0.52456	0.57474	0.54965
1848	102	0.54868	0.59909	0.573885
1848	103	0.57257	0.62296	0.597765
1848	104	0.59612	0.64625	0.621185
1848	105	0.61924	0.66887	0.644055
1848	106	0.64183	0.69073	0.66628
1848	107	0.66381	0.71177	0.68779
1848	108	0.6851	0.73194	0.70852
1848	109	0.70564	0.75118	0.72841
1848	110+	0.72538	0.76948	0.74743
1849	0	0.0938	0.11328	0.10354
1849	1	0.0429	0.04757	0.045235
1849	2	0.02271	0.02463	0.02367
1849	3	0.01676	0.01803	0.017395
1849	4	0.01291	0.01341	0.01316
1849	5	0.00955	0.00957	0.00956
1849	6	0.00717	0.00729	0.00723
1849	7	0.00596	0.00598	0.00597
1849	8	0.00556	0.0057	0.00563
1849	9	0.0048	0.00525	0.005025
1849	10	0.004	0.00468	0.00434
1849	11	0.00362	0.0044	0.00401
1849	12	0.0034	0.00429	0.003845
1849	13	0.00354	0.00391	0.003725
1849	14	0.0037	0.00368	0.00369
1849	15	0.00419	0.00415	0.00417
1849	16	0.00452	0.00498	0.00475
1849	17	0.0043	0.00576	0.00503
1849	18	0.00423	0.00631	0.00527
1849	19	0.00497	0.00778	0.006375
1849	20	0.00583	0.00907	0.00745
1849	21	0.00614	0.00909	0.007615
1849	22	0.00591	0.00876	0.007335
1849	23	0.00591	0.0084	0.007155
1849	24	0.0063	0.0086	0.00745
1849	25	0.00638	0.00866	0.00752
1849	26	0.00633	0.008	0.007165
1849	27	0.00633	0.00763	0.00698
1849	28	0.00633	0.00734	0.006835
1849	29	0.00731	0.00845	0.00788
1849	30	0.00792	0.00916	0.00854
1849	31	0.00766	0.00793	0.007795
1849	32	0.00758	0.00775	0.007665
1849	33	0.00799	0.00824	0.008115
1849	34	0.00936	0.01002	0.00969
1849	35	0.01052	0.01166	0.01109
1849	36	0.00959	0.01117	0.01038
1849	37	0.00924	0.01083	0.010035
1849	38	0.00976	0.01085	0.010305
1849	39	0.01187	0.01293	0.0124
1849	40	0.012	0.01207	0.012035
1849	41	0.00995	0.01029	0.01012
1849	42	0.01018	0.01061	0.010395
1849	43	0.01035	0.01082	0.010585
1849	44	0.01117	0.01333	0.01225
1849	45	0.01129	0.01351	0.0124
1849	46	0.01123	0.01372	0.012475
1849	47	0.01164	0.01571	0.013675
1849	48	0.01126	0.01539	0.013325
1849	49	0.01292	0.01917	0.016045
1849	50	0.0139	0.02013	0.017015
1849	51	0.01362	0.01899	0.016305
1849	52	0.01617	0.02107	0.01862
1849	53	0.01719	0.02124	0.019215
1849	54	0.0172	0.02271	0.019955
1849	55	0.01809	0.02396	0.021025
1849	56	0.01718	0.02435	0.020765
1849	57	0.01686	0.02539	0.021125
1849	58	0.01824	0.02669	0.022465
1849	59	0.02611	0.02976	0.027935
1849	60	0.02948	0.02875	0.029115
1849	61	0.02602	0.02801	0.027015
1849	62	0.0287	0.03215	0.030425
1849	63	0.03337	0.03655	0.03496
1849	64	0.03638	0.04068	0.03853
1849	65	0.03941	0.04383	0.04162
1849	66	0.04128	0.04632	0.0438
1849	67	0.04226	0.04523	0.043745
1849	68	0.04433	0.04667	0.0455
1849	69	0.05131	0.05547	0.05339
1849	70	0.05287	0.05738	0.055125
