"New Zealand,"				
				
Year	Age	Female	Male	Total
1948	0	0.02402	0.03214	0.02808
1948	1	0.0039	0.00481	0.004355
1948	2	0.00183	0.00232	0.002075
1948	3	0.00097	0.00165	0.00131
1948	4	0.00146	0.00145	0.001455
1948	5	0.00148	0.0016	0.00154
1948	6	0.00064	0.0009	0.00077
1948	7	0.0007	0.00074	0.00072
1948	8	0.00062	0.00072	0.00067
1948	9	0.0006	0.00052	0.00056
1948	10	0.00077	0.00117	0.00097
1948	11	0.00044	0.00122	0.00083
1948	12	0.00084	0.00111	0.000975
1948	13	0.00149	0.00098	0.001235
1948	14	0.00071	0.00136	0.001035
1948	15	0.00094	0.00127	0.001105
1948	16	0.00159	0.00102	0.001305
1948	17	0.00133	0.00136	0.001345
1948	18	0.00184	0.00214	0.00199
1948	19	0.0014	0.00171	0.001555
1948	20	0.00169	0.00241	0.00205
1948	21	0.00181	0.0017	0.001755
1948	22	0.00179	0.00283	0.00231
1948	23	0.00142	0.00157	0.001495
1948	24	0.00198	0.0018	0.00189
1948	25	0.00224	0.00152	0.00188
1948	26	0.00214	0.0018	0.00197
1948	27	0.00131	0.00196	0.001635
1948	28	0.00208	0.00217	0.002125
1948	29	0.00179	0.00132	0.001555
1948	30	0.00156	0.00184	0.0017
1948	31	0.00167	0.00149	0.00158
1948	32	0.00222	0.00212	0.00217
1948	33	0.00151	0.00195	0.00173
1948	34	0.00197	0.00181	0.00189
1948	35	0.00244	0.00168	0.00206
1948	36	0.00226	0.00289	0.002575
1948	37	0.00199	0.0023	0.002145
1948	38	0.00224	0.00217	0.002205
1948	39	0.00308	0.00243	0.002755
1948	40	0.00267	0.00218	0.002425
1948	41	0.00273	0.00269	0.00271
1948	42	0.0027	0.00525	0.003975
1948	43	0.00352	0.0036	0.00356
1948	44	0.00332	0.00367	0.003495
1948	45	0.00362	0.00433	0.003975
1948	46	0.00354	0.00548	0.00451
1948	47	0.00434	0.00528	0.00481
1948	48	0.00519	0.00759	0.00639
1948	49	0.00376	0.00888	0.00632
1948	50	0.00682	0.00826	0.00754
1948	51	0.00429	0.00643	0.00536
1948	52	0.00723	0.00985	0.00854
1948	53	0.00641	0.0096	0.008005
1948	54	0.00818	0.01291	0.010545
1948	55	0.00691	0.01231	0.00961
1948	56	0.01125	0.01406	0.012655
1948	57	0.01082	0.01216	0.01149
1948	58	0.01131	0.01804	0.014675
1948	59	0.01238	0.01786	0.01512
1948	60	0.0138	0.02014	0.01697
1948	61	0.01154	0.01983	0.015685
1948	62	0.01533	0.02327	0.0193
1948	63	0.01771	0.03101	0.02436
1948	64	0.02064	0.03314	0.02689
1948	65	0.02366	0.0366	0.03013
1948	66	0.02315	0.03136	0.027255
1948	67	0.02469	0.03585	0.03027
1948	68	0.02544	0.04107	0.033255
1948	69	0.03165	0.04395	0.0378
1948	70	0.03432	0.04602	0.04017
1948	71	0.03307	0.04482	0.038945
1948	72	0.04136	0.05497	0.048165
1948	73	0.04707	0.06902	0.058045
1948	74	0.05233	0.0795	0.065915
1948	75	0.05298	0.06941	0.061195
