"Poland,"				
				
Year	Age	Female	Male	Total
1958	0	0.06562	0.08371	0.074665
1958	1	0.00474	0.00503	0.004885
1958	2	0.00173	0.00203	0.00188
1958	3	0.00119	0.00146	0.001325
1958	4	0.00085	0.00107	0.00096
1958	5	0.00071	0.00094	0.000825
1958	6	0.0006	0.00085	0.000725
1958	7	0.00054	0.00079	0.000665
1958	8	0.00043	0.00069	0.00056
1958	9	0.00038	0.00067	0.000525
1958	10	0.00041	0.00064	0.000525
1958	11	0.00036	0.00062	0.00049
1958	12	0.00049	0.00057	0.00053
1958	13	0.00045	0.00067	0.00056
1958	14	0.00045	0.00084	0.000645
1958	15	0.00057	0.00086	0.000715
1958	16	0.00063	0.00101	0.00082
1958	17	0.00058	0.00117	0.000875
1958	18	0.00078	0.00146	0.00112
1958	19	0.00084	0.00175	0.001295
1958	20	0.0009	0.00209	0.001495
1958	21	0.00095	0.00207	0.00151
1958	22	0.00091	0.00198	0.001445
1958	23	0.00104	0.00184	0.00144
1958	24	0.00115	0.00212	0.001635
1958	25	0.00119	0.00211	0.00165
1958	26	0.00116	0.0021	0.00163
1958	27	0.00125	0.00206	0.001655
1958	28	0.00131	0.00213	0.00172
1958	29	0.00134	0.00242	0.00188
1958	30	0.00155	0.00246	0.002005
1958	31	0.00135	0.00255	0.00195
1958	32	0.00148	0.00249	0.001985
1958	33	0.00147	0.00274	0.002105
1958	34	0.00184	0.00283	0.002335
1958	35	0.00186	0.00275	0.002305
1958	36	0.00191	0.00275	0.00233
1958	37	0.00193	0.00286	0.002395
1958	38	0.00218	0.00338	0.00278
1958	39	0.00203	0.00322	0.002625
1958	40	0.0025	0.00358	0.00304
1958	41	0.00245	0.00358	0.003015
1958	42	0.00266	0.00422	0.00344
1958	43	0.00316	0.0046	0.00388
1958	44	0.00311	0.00483	0.00397
1958	45	0.0031	0.00482	0.00396
1958	46	0.00355	0.00573	0.00464
1958	47	0.00385	0.00607	0.00496
1958	48	0.00428	0.00674	0.00551
1958	49	0.0048	0.00786	0.00633
1958	50	0.00466	0.00787	0.006265
1958	51	0.00534	0.00901	0.007175
1958	52	0.00556	0.00999	0.007775
1958	53	0.00653	0.01098	0.008755
1958	54	0.00707	0.01213	0.0096
1958	55	0.00761	0.0126	0.010105
1958	56	0.00851	0.015	0.011755
1958	57	0.00893	0.01576	0.012345
1958	58	0.01027	0.01846	0.014365
1958	59	0.01158	0.01982	0.0157
1958	60	0.01315	0.02273	0.01794
1958	61	0.01356	0.02437	0.018965
1958	62	0.01585	0.02675	0.0213
1958	63	0.01642	0.02803	0.022225
1958	64	0.01988	0.0313	0.02559
1958	65	0.02034	0.03286	0.0266
1958	66	0.0248	0.03604	0.03042
1958	67	0.02616	0.04164	0.0339
1958	68	0.02944	0.04458	0.03701
1958	69	0.03292	0.04789	0.040405
1958	70	0.03556	0.05121	0.043385
1958	71	0.04262	0.05872	0.05067
1958	72	0.04523	0.0651	0.055165
1958	73	0.04938	0.0673	0.05834
1958	74	0.05643	0.07609	0.06626
1958	75	0.06149	0.08014	0.070815
1958	76	0.06907	0.09353	0.0813
1958	77	0.07535	0.09111	0.08323
1958	78	0.08487	0.11073	0.0978
1958	79	0.10003	0.12257	0.1113
1958	80	0.10642	0.1306	0.11851
