"Portugal,"				
				
Year	Age	Female	Male	Total
1940	0	0.13727	0.15228	0.144775
1940	1	0.0479	0.05115	0.049525
1940	2	0.01976	0.01991	0.019835
1940	3	0.01018	0.00999	0.010085
1940	4	0.0063	0.00683	0.006565
1940	5	0.00401	0.00469	0.00435
1940	6	0.00339	0.00383	0.00361
1940	7	0.00259	0.0034	0.002995
1940	8	0.00236	0.00294	0.00265
1940	9	0.00223	0.00216	0.002195
1940	10	0.00204	0.00253	0.002285
1940	11	0.00198	0.00221	0.002095
1940	12	0.00191	0.0018	0.001855
1940	13	0.00216	0.00261	0.002385
1940	14	0.00223	0.00215	0.00219
1940	15	0.00259	0.00237	0.00248
1940	16	0.00308	0.00269	0.002885
1940	17	0.00311	0.00334	0.003225
1940	18	0.00376	0.00429	0.004025
1940	19	0.00389	0.00477	0.00433
1940	20	0.0042	0.00469	0.004445
1940	21	0.00439	0.00429	0.00434
1940	22	0.00399	0.00459	0.00429
1940	23	0.00421	0.00544	0.004825
1940	24	0.00421	0.00489	0.00455
1940	25	0.00443	0.00464	0.004535
1940	26	0.00474	0.0051	0.00492
1940	27	0.00461	0.0057	0.005155
1940	28	0.00525	0.0058	0.005525
1940	29	0.00435	0.00508	0.004715
1940	30	0.00488	0.00638	0.00563
1940	31	0.00425	0.00573	0.00499
1940	32	0.00459	0.00689	0.00574
1940	33	0.00558	0.00711	0.006345
1940	34	0.00485	0.00622	0.005535
1940	35	0.00492	0.00694	0.00593
1940	36	0.00496	0.00716	0.00606
1940	37	0.00461	0.007	0.005805
1940	38	0.0054	0.00783	0.006615
1940	39	0.00503	0.00666	0.005845
1940	40	0.00648	0.00851	0.007495
1940	41	0.0055	0.00809	0.006795
1940	42	0.00612	0.01082	0.00847
1940	43	0.00632	0.00911	0.007715
1940	44	0.00533	0.00907	0.0072
1940	45	0.00686	0.01092	0.00889
1940	46	0.00744	0.0117	0.00957
1940	47	0.00539	0.01161	0.0085
1940	48	0.00745	0.01308	0.010265
1940	49	0.00637	0.01086	0.008615
1940	50	0.0088	0.01547	0.012135
1940	51	0.00817	0.01378	0.010975
1940	52	0.0094	0.01458	0.01199
1940	53	0.00947	0.01477	0.01212
1940	54	0.00916	0.01753	0.013345
1940	55	0.01131	0.01913	0.01522
1940	56	0.01225	0.02082	0.016535
1940	57	0.01271	0.02042	0.016565
1940	58	0.01559	0.02436	0.019975
1940	59	0.01105	0.02004	0.015545
1940	60	0.02221	0.02927	0.02574
1940	61	0.01787	0.02624	0.022055
1940	62	0.02058	0.03118	0.02588
1940	63	0.02401	0.035	0.029505
1940	64	0.02263	0.03749	0.03006
1940	65	0.02909	0.04189	0.03549
1940	66	0.03123	0.04122	0.036225
1940	67	0.02995	0.04525	0.0376
1940	68	0.04264	0.06079	0.051715
1940	69	0.02663	0.0438	0.035215
1940	70	0.06177	0.0792	0.070485
1940	71	0.04671	0.06977	0.05824
1940	72	0.06786	0.08504	0.07645
1940	73	0.07057	0.09759	0.08408
1940	74	0.06356	0.09536	0.07946
1940	75	0.0854	0.11812	0.10176
1940	76	0.0945	0.11259	0.103545
1940	77	0.0904	0.11471	0.102555
1940	78	0.13381	0.15841	0.14611
1940	79	0.10032	0.12805	0.114185
1940	80	0.17958	0.2033	0.19144
1940	81	0.09209	0.12814	0.110115
1940	82	0.14269	0.18931	0.166
1940	83	0.13983	0.16003	0.14993
1940	84	0.15857	0.21593	0.18725
1940	85	0.21137	0.27922	0.245295
1940	86	0.20036	0.24815	0.224255
1940	87	0.19329	0.23373	0.21351
1940	88	0.21518	0.29457	0.254875
1940	89	0.16658	0.29657	0.231575
1940	90	0.33783	0.36586	0.351845
1940	91	0.24327	0.29908	0.271175
1940	92	0.25565	0.3134	0.284525
1940	93	0.26844	0.32809	0.298265
1940	94	0.28162	0.34312	0.31237
1940	95	0.29519	0.35847	0.32683
1940	96	0.30913	0.37412	0.341625
1940	97	0.32343	0.39003	0.35673
1940	98	0.33806	0.40619	0.372125
1940	99	0.35302	0.42255	0.387785
1940	100	0.36826	0.43908	0.40367
1940	101	0.38378	0.45574	0.41976
1940	102	0.39953	0.47251	0.43602
1940	103	0.41549	0.48934	0.452415
1940	104	0.43164	0.50619	0.468915
1940	105	0.44793	0.52303	0.48548
1940	106	0.46433	0.53981	0.50207
1940	107	0.48081	0.55651	0.51866
1940	108	0.49733	0.57308	0.535205
1940	109	0.51386	0.58949	0.551675
1940	110+	0.53036	0.6057	0.56803
1941	0	0.16191	0.17594	0.168925
1941	1	0.07014	0.07097	0.070555
1941	2	0.02629	0.02673	0.02651
1941	3	0.01196	0.01309	0.012525
1941	4	0.00701	0.00735	0.00718
