"Russia,"				
				
Year	Age	Female	Male	Total
1959	0	1349964.909	1408482.621	2758447.53
1959	1	1310291.968	1359823.742	2670115.71
1959	2	1281009.467	1332299.18	2613308.648
1959	3	1332066.637	1383720.552	2715787.189
1959	4	1324963.605	1374211.233	2699174.838
1959	5	1275536.505	1320544.513	2596081.018
1959	6	1240348.023	1284121.873	2524469.897
1959	7	1240123.098	1282570.545	2522693.643
1959	8	1206226.512	1244127.607	2450354.118
1959	9	1224124.633	1264936.143	2489060.777
1959	10	1119983.443	1157174.535	2277157.978
1959	11	1077183.037	1105824.037	2183007.073
1959	12	1004493.38	1032618.488	2037111.868
1959	13	786572.8117	812918.0067	1599490.818
1959	14	515964.6167	533963.2833	1049927.9
1959	15	432303.73	445028.595	877332.325
1959	16	525118.6667	528130.8367	1053249.503
1959	17	845921.4567	837233.3517	1683154.808
1959	18	1109462.705	1098391.11	2207853.815
1959	19	1197629.232	1217042.622	2414671.853
1959	20	1311638.82	1332164.163	2643802.983
1959	21	1329234.77	1347950.36	2677185.13
1959	22	1234973.305	1245343.383	2480316.688
1959	23	1095931.188	1095766.872	2191698.06
1959	24	943467.4267	948256.3017	1891723.728
1959	25	878056.0783	870137.35	1748193.428
1959	26	965088.3367	944251.1833	1909339.52
1959	27	1032929.292	1016968.595	2049897.887
1959	28	1126900.87	1119067.198	2245968.068
1959	29	1198375.075	1172757.462	2371132.537
1959	30	1288475.94	1216545.432	2505021.372
1959	31	1273861.283	1194309.37	2468170.653
1959	32	1213448.237	1080675.707	2294123.943
1959	33	1190254.023	941477.6883	2131731.712
1959	34	1102486.05	778648.2283	1881134.278
1959	35	1048744.397	678851.02	1727595.417
1959	36	931343.6033	570215.79	1501559.393
1959	37	776222.0783	478500.4667	1254722.545
1959	38	713207.5467	454346.0783	1167553.625
1959	39	685132.4983	436588.1933	1121720.692
1959	40	757002.4067	478244.785	1235247.192
1959	41	693584.6233	443781.85	1137366.473
1959	42	602660.395	381092.79	983753.185
1959	43	726679.025	442942.8	1169621.825
1959	44	876382.1067	524087.3317	1400469.438
1959	45	948005.4383	569855.8267	1517861.265
1959	46	948518.135	567371.5417	1515889.677
1959	47	903300.2867	538533.0983	1441833.385
1959	48	913713.165	537597.9833	1451311.148
1959	49	869112.145	509639.8233	1378751.968
1959	50	815463.35	476876.6	1292339.95
1959	51	797473.7733	461513.4983	1258987.272
