"Russia,"				
				
Year	Age	Female	Male	Total
1959	0	0.037393209	0.046387424	0.041985718
1959	1	0.006387813	0.006817229	0.006606504
1959	2	0.00253308	0.002726152	0.002631511
1959	3	0.001572917	0.001761468	0.001668986
1959	4	0.001221875	0.001566877	0.001397523
1959	5	0.001044878	0.001362332	0.001206357
1959	6	0.000959964	0.001373694	0.001170416
1959	7	0.000813298	0.001323873	0.001072881
1959	8	0.00076896	0.001267466	0.001022069
1959	9	0.000619586	0.000982421	0.000803978
1959	10	0.000696841	0.001131843	0.000917894
1959	11	0.000522038	0.000810717	0.000668271
1959	12	0.000673374	0.000974774	0.000826155
1959	13	0.000683103	0.000887433	0.00078695
1959	14	0.000729159	0.001058706	0.000896757
1959	15	0.000840173	0.001121928	0.000983094
1959	16	0.000705003	0.001227669	0.000967083
1959	17	0.000891856	0.001688657	0.0012882
1959	18	0.001098469	0.002123397	0.001608363
1959	19	0.001061046	0.001934468	0.001501268
1959	20	0.0012793	0.002272025	0.001779516
1959	21	0.00105235	0.001972254	0.001515517
1959	22	0.001285801	0.002526034	0.00190851
1959	23	0.001290072	0.002772223	0.002031092
1959	24	0.001304465	0.002862654	0.002085532
1959	25	0.001345802	0.002985115	0.002161746
1959	26	0.001320864	0.00287056	0.002087256
1959	27	0.001400725	0.003092308	0.002239931
1959	28	0.001471265	0.003368993	0.00241682
1959	29	0.001360968	0.003266797	0.002303587
1959	30	0.001748826	0.003998823	0.002841521
1959	31	0.001443705	0.003389641	0.002385313
1959	32	0.00179594	0.004301586	0.002976256
1959	33	0.001707358	0.003950279	0.002697943
1959	34	0.001790635	0.004295765	0.002827571
1959	35	0.002165752	0.004824092	0.003210335
1959	36	0.001957462	0.004463994	0.002909315
1959	37	0.002181064	0.005005972	0.00325837
1959	38	0.002630497	0.005620033	0.003793856
1959	39	0.00211762	0.004659196	0.003106834
1959	40	0.00297398	0.006358083	0.004284187
1959	41	0.002433719	0.005724524	0.003717738
1959	42	0.00315287	0.006340608	0.004387757
1959	43	0.002917712	0.006295576	0.004196929
1959	44	0.003089509	0.006943614	0.004531802
1959	45	0.00377117	0.00809961	0.005396211
1959	46	0.003385154	0.007796478	0.005036237
1959	47	0.003909066	0.008561424	0.005646748
1959	48	0.004495295	0.010029874	0.006545426
1959	49	0.004323032	0.00969467	0.006308597
1959	50	0.005535062	0.012515544	0.008110877
1959	51	0.004541993	0.010785838	0.006830832
1959	52	0.006169485	0.014779694	0.009348313
1959	53	0.005737118	0.014233735	0.008820058
1959	54	0.006550127	0.016403548	0.010034872
1959	55	0.007271549	0.018245602	0.010956219
1959	56	0.007414624	0.018850028	0.011059285
1959	57	0.007969049	0.021224898	0.012041292
1959	58	0.009405414	0.02365387	0.013558926
1959	59	0.010087234	0.023551854	0.014222433
1959	60	0.012703093	0.028311696	0.017659849
1959	61	0.010316475	0.024919941	0.014964402
1959	62	0.01550482	0.032843099	0.021218783
1959	63	0.015293831	0.032088759	0.020757584
1959	64	0.017055358	0.03618888	0.02330649
1959	65	0.018628919	0.039488235	0.025394148
1959	66	0.017544811	0.037362125	0.023921121
1959	67	0.022999743	0.045039845	0.029993762
1959	68	0.024871849	0.04801147	0.032122718
1959	69	0.026122609	0.047020491	0.032586633
1959	70	0.03715239	0.05963093	0.043983282
1959	71	0.032238817	0.054640098	0.039035628
1959	72	0.041501511	0.06832679	0.049557404
1959	73	0.04636624	0.071438208	0.053788576
1959	74	0.049147462	0.072801388	0.056140295
1959	75	0.059808147	0.090446224	0.068837435
1959	76	0.06261648	0.086369136	0.06954538
1959	77	0.061169349	0.084536186	0.067965943
1959	78	0.081920284	0.111641362	0.090492481
1959	79	0.073730947	0.09985576	0.081150732
1959	80	0.106783361	0.131362501	0.113643754
1959	81	0.080693412	0.099222745	0.085786551
1959	82	0.109345025	0.143897272	0.118794662
1959	83	0.115972429	0.138881427	0.122111326
1959	84	0.123829389	0.155973442	0.132282183
1959	85	0.143603959	0.17117453	0.150841622
1959	86	0.15401434	0.181632332	0.161233919
1959	87	0.151993919	0.183301715	0.16005582
1959	88	0.158358827	0.182471491	0.164450135
1959	89	0.163400534	0.203072759	0.173267997
1959	90	0.224482138	0.237593674	0.227631916
1959	91	0.136593289	0.146442647	0.138853947
1959	92	0.17302449	0.194323835	0.177891302
1959	93	0.169265909	0.189076011	0.173792582
1959	94	0.163288781	0.169919772	0.164792687
1959	95	0.241679454	0.263814563	0.24679079
1959	96	0.255534664	0.276472578	0.260321667
1959	97	0.26990147	0.289499102	0.27433944
1959	98	0.284767044	0.302882459	0.288831985
1959	99	0.300114819	0.316608818	0.303783698
1959	100	0.315924404	0.330662179	0.319175415
1959	101	0.332171547	0.345024396	0.334984382
1959	102	0.34882817	0.359675217	0.351184277
1959	103	0.365862456	0.374592356	0.367745294
1959	104	0.38323901	0.389751596	0.384634286
1959	105	0.400919085	0.405126912	0.401814969
1959	106	0.418860875	0.420690635	0.419248186
1959	107	0.437019869	0.436413626	0.436892234
1959	108	0.455349266	0.452265487	0.454703241
1959	109	0.473800442	0.468214784	0.472635587
1959	110+	0.492323448	0.484229294	0.490642369
1960	0	0.033417571	0.041527469	0.037564204
1960	1	0.005253225	0.005547359	0.005403092
1960	2	0.002147929	0.002363778	0.002257878
1960	3	0.001453035	0.001674027	0.001565689
1960	4	0.001067001	0.001304268	0.001187878
1960	5	0.000926189	0.001332069	0.001132751
1960	6	0.000814759	0.001241152	0.001031595
1960	7	0.000786268	0.001222464	0.001008255
1960	8	0.000657411	0.00112566	0.000895622
1960	9	0.000611597	0.000980608	0.000799415
1960	10	0.000559706	0.000914886	0.000740749
1960	11	0.000562535	0.000865701	0.000717017
1960	12	0.000562849	0.000823414	0.000694938
1960	13	0.000601624	0.000820729	0.000712735
1960	14	0.00060333	0.000957705	0.000783506
1960	15	0.000686751	0.001158274	0.000926712
1960	16	0.000865919	0.001264208	0.001068107
1960	17	0.000831511	0.001393059	0.001113151
1960	18	0.000938379	0.002035687	0.001484424
1960	19	0.001048778	0.002255022	0.00164922
1960	20	0.001195247	0.00231695	0.001760089
1960	21	0.001047082	0.002167027	0.001610632
1960	22	0.001169819	0.002627568	0.001903118
1960	23	0.001186884	0.002819824	0.002006176
1960	24	0.001240665	0.002945651	0.002092778
1960	25	0.001385756	0.003325276	0.002357359
1960	26	0.001190737	0.00312274	0.002152035
1960	27	0.001220314	0.003183322	0.002190551
1960	28	0.001395661	0.003543067	0.00246035
1960	29	0.001356706	0.003315483	0.002332151
1960	30	0.001746048	0.004155732	0.002936461
1960	31	0.001209378	0.003382468	0.002263655
1960	32	0.001755237	0.004365614	0.003016669
1960	33	0.001672595	0.004185216	0.002854295
1960	34	0.001648619	0.004243314	0.002792089
1960	35	0.001945564	0.004905409	0.003167354
1960	36	0.002032828	0.005051935	0.003216297
1960	37	0.00194858	0.004929701	0.003077753
