Slovakia				
				
Year	Age	Female	Male	Total
1950	0	0.11055	0.13088	0.120715
1950	1	0.0097	0.00889	0.009295
1950	2	0.00335	0.00355	0.00345
1950	3	0.00205	0.00259	0.00232
1950	4	0.0011	0.00156	0.00133
1950	5	0.00101	0.00137	0.00119
1950	6	0.00099	0.00151	0.00125
1950	7	0.00123	0.00111	0.00117
1950	8	0.00085	0.00115	0.001
1950	9	0.00065	0.0008	0.000725
1950	10	0.00096	0.00124	0.0011
1950	11	0.00085	0.00101	0.00093
1950	12	0.00066	0.001	0.00083
1950	13	0.00081	0.00147	0.00114
1950	14	0.0007	0.0011	0.0009
1950	15	0.00097	0.00136	0.001165
1950	16	0.00182	0.0015	0.00166
1950	17	0.00191	0.00245	0.00218
1950	18	0.00187	0.00267	0.00227
1950	19	0.00209	0.00309	0.00259
1950	20	0.00256	0.00268	0.00262
1950	21	0.0024	0.00341	0.002905
1950	22	0.00306	0.00369	0.003375
1950	23	0.00253	0.00326	0.002895
1950	24	0.00253	0.00291	0.00272
1950	25	0.00203	0.00308	0.002555
1950	26	0.0032	0.00313	0.003165
1950	27	0.00221	0.00267	0.00244
1950	28	0.00247	0.00287	0.00267
1950	29	0.00291	0.00311	0.00301
1950	30	0.00295	0.00363	0.00329
1950	31	0.00264	0.00249	0.002565
1950	32	0.00232	0.0025	0.00241
1950	33	0.0028	0.00263	0.002715
1950	34	0.00245	0.00263	0.00254
1950	35	0.00327	0.00321	0.00324
1950	36	0.00175	0.0039	0.002825
1950	37	0.00356	0.00305	0.003305
1950	38	0.00343	0.00431	0.00387
1950	39	0.00305	0.00357	0.00331
1950	40	0.00371	0.00378	0.003745
1950	41	0.00313	0.00518	0.004155
1950	42	0.00328	0.00474	0.00401
1950	43	0.00422	0.00505	0.004635
1950	44	0.004	0.00535	0.004675
1950	45	0.00397	0.00636	0.005165
1950	46	0.0045	0.00602	0.00526
1950	47	0.00586	0.00713	0.006495
1950	48	0.00487	0.00713	0.006
1950	49	0.00602	0.00931	0.007665
1950	50	0.00673	0.00904	0.007885
1950	51	0.00544	0.00808	0.00676
1950	52	0.00884	0.01215	0.010495
1950	53	0.00716	0.01127	0.009215
1950	54	0.01025	0.01303	0.01164
1950	55	0.01136	0.01383	0.012595
1950	56	0.00974	0.01509	0.012415
1950	57	0.01291	0.01615	0.01453
1950	58	0.01223	0.01956	0.015895
1950	59	0.01419	0.01881	0.0165
1950	60	0.01645	0.02033	0.01839
1950	61	0.01576	0.02352	0.01964
1950	62	0.02037	0.02176	0.021065
1950	63	0.02142	0.02659	0.024005
1950	64	0.02234	0.028	0.02517
1950	65	0.02493	0.03004	0.027485
1950	66	0.02637	0.03543	0.0309
1950	67	0.03148	0.03759	0.034535
1950	68	0.03329	0.03844	0.035865
1950	69	0.03675	0.03653	0.03664
1950	70	0.04467	0.04665	0.04566
1950	71	0.04946	0.05306	0.05126
1950	72	0.05374	0.05724	0.05549
1950	73	0.06127	0.05837	0.05982
1950	74	0.06542	0.0689	0.06716
1950	75	0.06556	0.07031	0.067935
1950	76	0.07407	0.08454	0.079305
1950	77	0.07661	0.09822	0.087415
1950	78	0.0861	0.10967	0.097885
1950	79	0.09508	0.13253	0.113805
1950	80	0.10823	0.13048	0.119355
1950	81	0.12767	0.13853	0.1331
1950	82	0.13142	0.14044	0.13593
1950	83	0.14317	0.14675	0.14496
