"Slovenia,"				
				
Year	Age	Female	Male	Total
1983	0	0.01267	0.01429	0.01348
1983	1	0.00152	0.00109	0.001305
1983	2	0.00091	0.00033	0.00062
1983	3	0.00055	0.0007	0.000625
1983	4	0.00041	0.00051	0.00046
1983	5	0.00014	0.00013	0.000135
1983	6	0.00007	0.00051	0.00029
1983	7	0.00041	0.00039	0.0004
1983	8	0.00021	0.00053	0.00037
1983	9	0.00007	0.00026	0.000165
1983	10	0.00014	0.00013	0.000135
1983	11	0.00007	0.0002	0.000135
1983	12	0.00007	0.00014	0.000105
1983	13	0	0.00042	0.00021
1983	14	0.0003	0.00042	0.00036
1983	15	0.00022	0.00048	0.00035
1983	16	0.00035	0.00067	0.00051
1983	17	0.00048	0.00131	0.000895
1983	18	0.00021	0.00156	0.000885
1983	19	0.00063	0.00117	0.0009
1983	20	0.00048	0.00163	0.001055
1983	21	0.0002	0.00202	0.00111
1983	22	0.00053	0.0017	0.001115
1983	23	0.0006	0.00135	0.000975
1983	24	0.0004	0.00106	0.00073
1983	25	0.00052	0.00213	0.001325
1983	26	0.00063	0.00153	0.00108
1983	27	0.0005	0.00201	0.001255
1983	28	0.0005	0.0016	0.00105
1983	29	0.00081	0.00222	0.001515
1983	30	0.00043	0.00202	0.001225
1983	31	0.00076	0.00212	0.00144
1983	32	0.00095	0.00249	0.00172
1983	33	0.0006	0.00207	0.001335
1983	34	0.00113	0.00268	0.001905
1983	35	0.00095	0.00319	0.00207
1983	36	0.00123	0.00283	0.00203
1983	37	0.00092	0.00341	0.002165
1983	38	0.00098	0.00283	0.001905
1983	39	0.00141	0.00524	0.003325
1983	40	0.00171	0.00401	0.00286
1983	41	0.00146	0.00438	0.00292
1983	42	0.00266	0.00491	0.003785
1983	43	0.00181	0.00566	0.003735
1983	44	0.00276	0.0075	0.00513
1983	45	0.0029	0.00673	0.004815
1983	46	0.00344	0.00741	0.005425
1983	47	0.00383	0.00809	0.00596
1983	48	0.00341	0.00997	0.00669
1983	49	0.00414	0.01228	0.00821
1983	50	0.00372	0.01018	0.00695
1983	51	0.00494	0.01328	0.00911
1983	52	0.00704	0.01482	0.01093
1983	53	0.00602	0.0176	0.01181
1983	54	0.00561	0.01441	0.01001
1983	55	0.00688	0.01846	0.01267
1983	56	0.00725	0.01832	0.012785
1983	57	0.00808	0.02216	0.01512
1983	58	0.00901	0.0207	0.014855
1983	59	0.01165	0.02484	0.018245
1983	60	0.00909	0.02589	0.01749
1983	61	0.01197	0.02562	0.018795
1983	62	0.01229	0.02682	0.019555
1983	63	0.01363	0.03184	0.022735
1983	64	0.01391	0.03045	0.02218
1983	65	0.01715	0.03986	0.028505
1983	66	0.01575	0.0393	0.027525
1983	67	0.02087	0.03884	0.029855
1983	68	0.02601	0.05045	0.03823
1983	69	0.0235	0.04414	0.03382
1983	70	0.02834	0.05398	0.04116
1983	71	0.03477	0.06451	0.04964
1983	72	0.03591	0.06327	0.04959
1983	73	0.04064	0.07332	0.05698
1983	74	0.04835	0.08209	0.06522
1983	75	0.05251	0.08895	0.07073
1983	76	0.06097	0.11389	0.08743
1983	77	0.06331	0.11106	0.087185
1983	78	0.07499	0.11502	0.095005
1983	79	0.08303	0.13757	0.1103
1983	80	0.09603	0.14134	0.118685
1983	81	0.11058	0.16139	0.135985
1983	82	0.11848	0.16897	0.143725
1983	83	0.13808	0.20743	0.172755
1983	84	0.1561	0.19348	0.17479
1983	85	0.14782	0.22901	0.188415
1983	86	0.18746	0.26207	0.224765
1983	87	0.19979	0.26824	0.234015
1983	88	0.21985	0.29064	0.255245
1983	89	0.24132	0.31411	0.277715
1983	90	0.26417	0.33857	0.30137
