"Sweden,"				
				
Year	Age	Female	Male	Total
1751	0	0.21223	0.2411	0.226665
1751	1	0.04941	0.05295	0.05118
1751	2	0.03225	0.03459	0.03342
1751	3	0.02601	0.02788	0.026945
1751	4	0.0237	0.02569	0.024695
1751	5	0.01876	0.0208	0.01978
1751	6	0.01296	0.01463	0.013795
1751	7	0.00877	0.01015	0.00946
1751	8	0.00608	0.00724	0.00666
1751	9	0.00494	0.00589	0.005415
1751	10	0.0052	0.00601	0.005605
1751	11	0.00575	0.0065	0.006125
1751	12	0.00617	0.00686	0.006515
1751	13	0.00643	0.00705	0.00674
1751	14	0.00647	0.00704	0.006755
1751	15	0.00612	0.00674	0.00643
1751	16	0.0057	0.00641	0.006055
1751	17	0.00552	0.00632	0.00592
1751	18	0.00552	0.00655	0.006035
1751	19	0.00565	0.00705	0.00635
1751	20	0.006	0.00768	0.00684
1751	21	0.00647	0.00828	0.007375
1751	22	0.00689	0.00873	0.00781
1751	23	0.00726	0.00892	0.00809
1751	24	0.00763	0.00899	0.00831
1751	25	0.00793	0.00902	0.008475
1751	26	0.00817	0.00905	0.00861
1751	27	0.00852	0.00924	0.00888
1751	28	0.00898	0.00953	0.009255
1751	29	0.00959	0.00988	0.009735
1751	30	0.01057	0.01054	0.010555
1751	31	0.01169	0.01139	0.01154
1751	32	0.01262	0.01208	0.01235
1751	33	0.01324	0.01247	0.012855
1751	34	0.01341	0.01249	0.01295
1751	35	0.01261	0.01182	0.012215
1751	36	0.01148	0.01096	0.01122
1751	37	0.01083	0.01052	0.010675
1751	38	0.01065	0.01056	0.010605
1751	39	0.01099	0.01112	0.011055
1751	40	0.01234	0.01262	0.01248
1751	41	0.01419	0.01465	0.01442
1751	42	0.01566	0.01641	0.016035
1751	43	0.01671	0.01788	0.017295
1751	44	0.01723	0.0192	0.018215
1751	45	0.01605	0.01938	0.017715
1751	46	0.01411	0.01854	0.016325
1751	47	0.01286	0.01795	0.015405
1751	48	0.01224	0.01761	0.014925
1751	49	0.01225	0.01767	0.01496
1751	50	0.0138	0.01931	0.016555
1751	51	0.01656	0.0223	0.01943
1751	52	0.01933	0.02547	0.0224
1751	53	0.02191	0.02856	0.025235
1751	54	0.02412	0.03107	0.027595
1751	55	0.02409	0.03067	0.02738
1751	56	0.02289	0.02885	0.02587
1751	57	0.02271	0.02841	0.02556
1751	58	0.02317	0.02932	0.026245
1751	59	0.02412	0.03161	0.027865
1751	60	0.02696	0.03626	0.03161
1751	61	0.03084	0.04145	0.036145
1751	62	0.0346	0.04575	0.040175
1751	63	0.03874	0.04939	0.044065
1751	64	0.04307	0.0517	0.047385
1751	65	0.0456	0.05225	0.048925
1751	66	0.04659	0.05262	0.049605
1751	67	0.04811	0.05398	0.051045
1751	68	0.05045	0.05679	0.05362
1751	69	0.05386	0.0617	0.05778
1751	70	0.06124	0.07014	0.06569
1751	71	0.07262	0.08063	0.076625
1751	72	0.0848	0.09141	0.088105
1751	73	0.09795	0.10286	0.100405
1751	74	0.11158	0.11431	0.112945
1751	75	0.11545	0.1192	0.117325
1751	76	0.11023	0.11812	0.114175
1751	77	0.10667	0.11765	0.11216
1751	78	0.1051	0.1185	0.1118
1751	79	0.10939	0.12211	0.11575
1751	80	0.12453	0.13459	0.12956
1751	81	0.14507	0.15415	0.14961
1751	82	0.16525	0.1748	0.170025
1751	83	0.1838	0.19547	0.189635
1751	84	0.19677	0.21319	0.20498
1751	85	0.19435	0.21404	0.204195
1751	86	0.20882	0.23046	0.21964
1751	87	0.22407	0.24774	0.235905
1751	88	0.24009	0.26587	0.25298
1751	89	0.25688	0.28483	0.270855
1751	90	0.27442	0.30457	0.289495
1751	91	0.29269	0.32506	0.308875
1751	92	0.31165	0.34625	0.32895
1751	93	0.33126	0.36806	0.34966
1751	94	0.35148	0.39042	0.37095
1751	95	0.37224	0.41326	0.39275
1751	96	0.39349	0.43647	0.41498
1751	97	0.41515	0.45997	0.43756
1751	98	0.43714	0.48365	0.460395
1751	99	0.45938	0.50739	0.483385
1751	100	0.48178	0.53111	0.506445
1751	101	0.50426	0.55469	0.529475
1751	102	0.52672	0.57802	0.55237
1751	103	0.54907	0.60101	0.57504
1751	104	0.57122	0.62356	0.59739
1751	105	0.5931	0.64559	0.619345
1751	106	0.61461	0.66702	0.640815
1751	107	0.63568	0.68778	0.66173
1751	108	0.65624	0.70781	0.682025
1751	109	0.67624	0.72707	0.701655
1751	110+	0.69561	0.74551	0.72056
1752	0	0.24635	0.27443	0.26039
1752	1	0.07252	0.07799	0.075255
1752	2	0.0483	0.05118	0.04974
1752	3	0.03386	0.03811	0.035985
1752	4	0.02974	0.03551	0.032625
1752	5	0.02726	0.03216	0.02971
1752	6	0.0207	0.02309	0.021895
1752	7	0.0156	0.01616	0.01588
1752	8	0.01194	0.01139	0.011665
1752	9	0.00949	0.00862	0.009055
1752	10	0.00812	0.00749	0.007805
1752	11	0.00759	0.00733	0.00746
1752	12	0.00718	0.00719	0.007185
1752	13	0.00697	0.0071	0.007035
1752	14	0.00696	0.00707	0.007015
1752	15	0.0071	0.00708	0.00709
1752	16	0.0068	0.00691	0.006855
1752	17	0.00655	0.00684	0.006695
1752	18	0.00643	0.00697	0.0067
1752	19	0.00638	0.00739	0.006885
1752	20	0.00634	0.00802	0.00718
1752	21	0.00658	0.00856	0.00757
1752	22	0.00681	0.00896	0.007885
1752	23	0.00702	0.00914	0.00808
1752	24	0.0072	0.00899	0.008095
1752	25	0.00743	0.00871	0.00807
1752	26	0.00757	0.00841	0.00799
1752	27	0.0078	0.00826	0.00803
1752	28	0.00813	0.00828	0.008205
1752	29	0.00857	0.00841	0.00849
1752	30	0.00911	0.00858	0.008845
1752	31	0.00995	0.00912	0.009535
1752	32	0.01058	0.00969	0.010135
1752	33	0.01092	0.0102	0.01056
1752	34	0.01088	0.01058	0.01073
1752	35	0.01046	0.01082	0.01064
1752	36	0.00951	0.01052	0.010015
1752	37	0.00898	0.01033	0.009655
1752	38	0.00896	0.01035	0.009655
1752	39	0.00943	0.01064	0.010035
1752	40	0.01025	0.01118	0.010715
1752	41	0.01193	0.01264	0.012285
1752	42	0.01329	0.01398	0.013635
1752	43	0.01408	0.01495	0.014515
1752	44	0.01421	0.01551	0.01486
1752	45	0.0138	0.01592	0.01486
1752	46	0.01216	0.01524	0.0137
1752	47	0.01121	0.0148	0.013005
1752	48	0.01097	0.01473	0.01285
1752	49	0.01133	0.01503	0.01318
1752	50	0.012	0.0156	0.0138
1752	51	0.01429	0.01801	0.01615
1752	52	0.01647	0.02062	0.018545
1752	53	0.01821	0.02333	0.02077
1752	54	0.01915	0.02584	0.022495
1752	55	0.01943	0.02798	0.023705
1752	56	0.01795	0.02693	0.02244
1752	57	0.01806	0.02631	0.022185
1752	58	0.01952	0.02637	0.022945
1752	59	0.02182	0.02713	0.024475
1752	60	0.02417	0.0284	0.026285
1752	61	0.02843	0.03202	0.030225
1752	62	0.03144	0.03472	0.03308
1752	63	0.03381	0.03702	0.035415
1752	64	0.0358	0.03911	0.037455
1752	65	0.03742	0.04076	0.03909
1752	66	0.03741	0.04215	0.03978
1752	67	0.03841	0.0445	0.041455
1752	68	0.04062	0.04785	0.044235
1752	69	0.04435	0.05265	0.0485
1752	70	0.04923	0.05909	0.05416
1752	71	0.05864	0.06793	0.063285
1752	72	0.06889	0.07679	0.07284
1752	73	0.07922	0.08506	0.08214
1752	74	0.08925	0.09246	0.090855
1752	75	0.0989	0.09858	0.09874
1752	76	0.09553	0.09788	0.096705
1752	77	0.09323	0.09724	0.095235
1752	78	0.09297	0.09803	0.0955
1752	79	0.09484	0.10102	0.09793
1752	80	0.10082	0.1028	0.10181
1752	81	0.11963	0.11925	0.11944
1752	82	0.12577	0.12815	0.12696
