"Taiwan,"				
				
Year	Age	Female	Male	Total
1970	0	0.01539	0.01778	0.016585
1970	1	0.00447	0.00508	0.004775
1970	2	0.00306	0.00346	0.00326
1970	3	0.00193	0.00217	0.00205
1970	4	0.00119	0.00137	0.00128
1970	5	0.00083	0.00103	0.00093
1970	6	0.0006	0.0008	0.0007
1970	7	0.00044	0.00063	0.000535
1970	8	0.00035	0.00053	0.00044
1970	9	0.00032	0.00047	0.000395
1970	10	0.00035	0.00046	0.000405
1970	11	0.00039	0.0005	0.000445
1970	12	0.00044	0.00058	0.00051
1970	13	0.0005	0.00068	0.00059
1970	14	0.00056	0.0008	0.00068
1970	15	0.00064	0.00098	0.00081
1970	16	0.00071	0.00117	0.00094
1970	17	0.00075	0.00129	0.00102
1970	18	0.00075	0.00133	0.00104
1970	19	0.00077	0.00142	0.001095
1970	20	0.00082	0.00157	0.001195
1970	21	0.00086	0.00168	0.00127
1970	22	0.00094	0.00181	0.001375
1970	23	0.00106	0.00206	0.00156
1970	24	0.0012	0.00235	0.001775
1970	25	0.00115	0.00225	0.0017
1970	26	0.00107	0.00204	0.001555
1970	27	0.00112	0.00204	0.00158
1970	28	0.00118	0.00211	0.001645
1970	29	0.00126	0.00216	0.00171
1970	30	0.00137	0.00227	0.00182
1970	31	0.00153	0.00247	0.002
1970	32	0.00166	0.0027	0.00218
1970	33	0.00172	0.00287	0.002295
1970	34	0.00174	0.00297	0.002355
1970	35	0.00177	0.00306	0.002415
1970	36	0.00189	0.00316	0.002525
1970	37	0.00198	0.00327	0.002625
1970	38	0.00204	0.00332	0.00268
1970	39	0.00215	0.00337	0.00276
1970	40	0.00232	0.0036	0.00296
1970	41	0.0025	0.00394	0.00322
1970	42	0.0027	0.00423	0.003465
1970	43	0.00296	0.00458	0.00377
1970	44	0.00321	0.00498	0.004095
1970	45	0.00356	0.00553	0.004545
1970	46	0.00391	0.00632	0.005115
1970	47	0.00409	0.00689	0.00549
1970	48	0.00424	0.0071	0.00567
1970	49	0.00482	0.00769	0.006255
1970	50	0.00576	0.00894	0.00735
1970	51	0.00638	0.01006	0.00822
1970	52	0.00656	0.01085	0.008705
1970	53	0.00704	0.01162	0.00933
1970	54	0.0079	0.01272	0.01031
1970	55	0.00822	0.01355	0.010885
1970	56	0.00856	0.01435	0.011455
1970	57	0.00939	0.01488	0.012135
1970	58	0.01031	0.01703	0.01367
1970	59	0.0118	0.0213	0.01655
1970	60	0.01388	0.02347	0.018675
1970	61	0.01633	0.02698	0.021655
1970	62	0.01873	0.0301	0.024415
1970	63	0.02035	0.03201	0.02618
1970	64	0.02206	0.03511	0.028585
1970	65	0.02454	0.03863	0.031585
1970	66	0.02808	0.04445	0.036265
1970	67	0.02944	0.04745	0.038445
1970	68	0.03161	0.05063	0.04112
1970	69	0.03553	0.05597	0.04575
1970	70	0.03953	0.06301	0.05127
1970	71	0.04197	0.06764	0.054805
1970	72	0.0471	0.07079	0.058945
1970	73	0.06204	0.08152	0.07178
1970	74	0.06582	0.08785	0.076835
1970	75	0.0663	0.09593	0.081115
1970	76	0.07529	0.10666	0.090975
1970	77	0.07499	0.11163	0.09331
1970	78	0.07886	0.12372	0.10129
1970	79	0.09262	0.12984	0.11123
1970	80	0.10604	0.13687	0.121455
1970	81	0.11257	0.14273	0.12765
1970	82	0.11999	0.14754	0.133765
1970	83	0.13014	0.1584	0.14427
1970	84	0.14264	0.17132	0.15698
1970	85	0.15431	0.17981	0.16706
1970	86	0.16692	0.18802	0.17747
1970	87	0.18214	0.1998	0.19097
1970	88	0.19731	0.2159	0.206605
1970	89	0.21198	0.23123	0.221605
1970	90	0.22817	0.24488	0.236525
1970	91	0.24522	0.25906	0.25214
1970	92	0.26311	0.27376	0.268435
1970	93	0.28181	0.28898	0.285395
1970	94	0.3013	0.30468	0.30299
1970	95	0.32153	0.32085	0.32119
1970	96	0.34246	0.33747	0.339965
1970	97	0.36401	0.3545	0.359255
1970	98	0.38613	0.3719	0.379015
1970	99	0.40873	0.38964	0.399185
1970	100	0.43172	0.40768	0.4197
1970	101	0.45501	0.42597	0.44049
1970	102	0.47849	0.44446	0.461475
1970	103	0.50207	0.46312	0.482595
1970	104	0.52565	0.48187	0.50376
1970	105	0.54911	0.50068	0.524895
1970	106	0.57235	0.51948	0.545915
1970	107	0.59528	0.53823	0.566755
1970	108	0.6178	0.55687	0.587335
1970	109	0.63982	0.57535	0.607585
1970	110+	0.66127	0.59363	0.62745
1971	0	0.01403	0.01628	0.015155
1971	1	0.00563	0.00565	0.00564
1971	2	0.00253	0.00298	0.002755
1971	3	0.00129	0.00157	0.00143
1971	4	0.00094	0.00105	0.000995
1971	5	0.00071	0.00087	0.00079
1971	6	0.00057	0.00079	0.00068
1971	7	0.00045	0.0007	0.000575
1971	8	0.00038	0.00062	0.0005
1971	9	0.00033	0.00056	0.000445
1971	10	0.00031	0.00051	0.00041
1971	11	0.00032	0.00049	0.000405
1971	12	0.00034	0.00052	0.00043
1971	13	0.0004	0.00059	0.000495
1971	14	0.00048	0.00069	0.000585
1971	15	0.00056	0.00081	0.000685
1971	16	0.00064	0.00095	0.000795
1971	17	0.00071	0.0011	0.000905
1971	18	0.00074	0.00121	0.000975
1971	19	0.00072	0.00127	0.000995
1971	20	0.00073	0.0014	0.001065
1971	21	0.00077	0.00161	0.00119
1971	22	0.00081	0.00177	0.00129
1971	23	0.00089	0.00194	0.001415
1971	24	0.001	0.00218	0.00159
1971	25	0.00114	0.00241	0.001775
1971	26	0.00109	0.00226	0.001675
1971	27	0.00102	0.00202	0.00152
1971	28	0.00105	0.00202	0.001535
1971	29	0.0011	0.0021	0.0016
1971	30	0.00115	0.00218	0.001665
1971	31	0.00123	0.0023	0.001765
1971	32	0.00135	0.00249	0.00192
1971	33	0.00148	0.0027	0.00209
1971	34	0.00158	0.00281	0.002195
1971	35	0.00166	0.00289	0.002275
1971	36	0.00179	0.003	0.002395
1971	37	0.00199	0.00315	0.00257
1971	38	0.00213	0.00334	0.002735
1971	39	0.00225	0.00348	0.002865
1971	40	0.00238	0.00363	0.003005
1971	41	0.00259	0.00389	0.00324
1971	42	0.00278	0.00423	0.003505
1971	43	0.00302	0.00448	0.00375
1971	44	0.00331	0.00478	0.004045
1971	45	0.00358	0.00506	0.00432
1971	46	0.00399	0.00553	0.00476
1971	47	0.00436	0.00628	0.00532
1971	48	0.00456	0.00683	0.005695
1971	49	0.0047	0.00707	0.005885
1971	50	0.0053	0.00781	0.006555
1971	51	0.00625	0.00926	0.007755
1971	52	0.0069	0.01062	0.00876
1971	53	0.00714	0.01169	0.009415
1971	54	0.00778	0.01275	0.010265
1971	55	0.00882	0.01427	0.011545
1971	56	0.00931	0.01527	0.01229
1971	57	0.00985	0.0162	0.013025
1971	58	0.01081	0.01667	0.01374
1971	59	0.01171	0.01879	0.01525
1971	60	0.01323	0.02324	0.018235
1971	61	0.015	0.02494	0.01997
1971	62	0.01726	0.02824	0.02275
1971	63	0.01934	0.03095	0.025145
1971	64	0.02083	0.03293	0.02688
1971	65	0.0225	0.03606	0.02928
1971	66	0.0253	0.04003	0.032665
1971	67	0.02952	0.04644	0.03798
1971	68	0.03167	0.04973	0.0407
1971	69	0.03487	0.0537	0.044285
1971	70	0.03971	0.05956	0.049635
1971	71	0.0444	0.06713	0.055765
1971	72	0.04684	0.07146	0.05915
1971	73	0.05199	0.07522	0.063605
1971	74	0.06682	0.08681	0.076815
1971	75	0.06739	0.09234	0.079865
1971	76	0.06767	0.10181	0.08474
1971	77	0.07458	0.11324	0.09391
1971	78	0.07311	0.11957	0.09634
1971	79	0.07703	0.13327	0.10515
1971	80	0.10479	0.13742	0.121105
1971	81	0.1144	0.14976	0.13208
1971	82	0.1212	0.15492	0.13806
1971	83	0.129	0.1584	0.1437
1971	84	0.14007	0.16904	0.154555
1971	85	0.15403	0.18179	0.16791
1971	86	0.16694	0.18838	0.17766
1971	87	0.18104	0.19399	0.187515
1971	88	0.19856	0.20336	0.20096
1971	89	0.21731	0.21613	0.21672
1971	90	0.23478	0.22634	0.23056
1971	91	0.25319	0.2369	0.245045
1971	92	0.27254	0.24778	0.26016
1971	93	0.29278	0.259	0.27589
1971	94	0.31388	0.27054	0.29221
1971	95	0.33578	0.2824	0.30909
1971	96	0.35841	0.29457	0.32649
1971	97	0.38168	0.30704	0.34436
1971	98	0.40551	0.3198	0.362655
1971	99	0.4298	0.33284	0.38132
1971	100	0.45443	0.34613	0.40028
1971	101	0.47928	0.35967	0.419475
1971	102	0.50423	0.37344	0.438835
1971	103	0.52917	0.38742	0.458295
1971	104	0.55396	0.40158	0.47777
1971	105	0.57848	0.41591	0.497195
1971	106	0.60263	0.43038	0.516505
1971	107	0.62628	0.44497	0.535625
1971	108	0.64935	0.45966	0.554505
1971	109	0.67173	0.47442	0.573075
1971	110+	0.69337	0.48923	0.5913
1972	0	0.01382	0.01557	0.014695
1972	1	0.00322	0.00352	0.00337
1972	2	0.00196	0.00264	0.0023
1972	3	0.00135	0.00158	0.001465
1972	4	0.00085	0.00096	0.000905
1972	5	0.00061	0.0008	0.000705
1972	6	0.00048	0.00072	0.0006
1972	7	0.00039	0.00067	0.00053
1972	8	0.00034	0.00061	0.000475
1972	9	0.00032	0.00056	0.00044
1972	10	0.00033	0.00052	0.000425
1972	11	0.00036	0.0005	0.00043
1972	12	0.00039	0.00053	0.00046
1972	13	0.00044	0.00061	0.000525
1972	14	0.0005	0.00074	0.00062
1972	15	0.00057	0.00088	0.000725
1972	16	0.00062	0.001	0.00081
1972	17	0.00068	0.00114	0.00091
1972	18	0.00075	0.00129	0.00102
1972	19	0.00079	0.0014	0.001095
1972	20	0.00081	0.00144	0.001125
1972	21	0.00086	0.00157	0.001215
1972	22	0.00095	0.00176	0.001355
1972	23	0.00101	0.00186	0.001435
1972	24	0.00107	0.00194	0.001505
1972	25	0.00113	0.00206	0.001595
1972	26	0.00121	0.00222	0.001715
1972	27	0.00114	0.00209	0.001615
1972	28	0.00108	0.00194	0.00151
1972	29	0.00115	0.00205	0.0016
1972	30	0.00128	0.00225	0.001765
1972	31	0.00136	0.00239	0.001875
1972	32	0.00145	0.00254	0.001995
1972	33	0.00157	0.00274	0.002155
1972	34	0.00166	0.00289	0.002275
1972	35	0.00169	0.00294	0.002315
1972	36	0.00173	0.00304	0.002385
1972	37	0.00182	0.0032	0.00251
1972	38	0.002	0.00343	0.002715
1972	39	0.00217	0.00372	0.002945
1972	40	0.00232	0.00393	0.003125
1972	41	0.00249	0.00408	0.003285
1972	42	0.00273	0.00434	0.003535
1972	43	0.00294	0.00469	0.003815
1972	44	0.00319	0.00498	0.004085
1972	45	0.00346	0.00532	0.00439
1972	46	0.00372	0.00566	0.00469
1972	47	0.00411	0.00622	0.005165
1972	48	0.00446	0.00703	0.005745
1972	49	0.00464	0.00754	0.00609
1972	50	0.00476	0.00773	0.006245
1972	51	0.00533	0.00852	0.006925
1972	52	0.00624	0.01005	0.008145
1972	53	0.00691	0.01149	0.0092
1972	54	0.00725	0.01267	0.00996
1972	55	0.00798	0.01394	0.01096
1972	56	0.00905	0.01553	0.01229
1972	57	0.00957	0.01637	0.01297
1972	58	0.01019	0.01712	0.013655
1972	59	0.01114	0.01723	0.014185
1972	60	0.01205	0.01911	0.01558
1972	61	0.0136	0.02343	0.018515
1972	62	0.0155	0.02501	0.020255
1972	63	0.01811	0.0283	0.023205
1972	64	0.02075	0.03129	0.02602
1972	65	0.02312	0.03393	0.028525
1972	66	0.02559	0.03765	0.03162
1972	67	0.02901	0.04226	0.035635
1972	68	0.03376	0.04924	0.0415
1972	69	0.03567	0.05307	0.04437
1972	70	0.03777	0.05761	0.04769
1972	71	0.04114	0.06347	0.052305
1972	72	0.04498	0.07068	0.05783
1972	73	0.04708	0.07471	0.060895
1972	74	0.05214	0.07838	0.06526
1972	75	0.06686	0.08889	0.077875
1972	76	0.07013	0.09327	0.0817
1972	77	0.07414	0.10241	0.088275
1972	78	0.08431	0.11388	0.099095
1972	79	0.08677	0.12111	0.10394
1972	80	0.10257	0.12805	0.11531
1972	81	0.11691	0.14181	0.12936
1972	82	0.12877	0.15632	0.142545
1972	83	0.13714	0.16618	0.15166
1972	84	0.14577	0.17487	0.16032
1972	85	0.15253	0.17318	0.162855
1972	86	0.16855	0.18751	0.17803
1972	87	0.18392	0.19587	0.189895
1972	88	0.20107	0.20347	0.20227
1972	89	0.23314	0.22911	0.231125
1972	90	0.25358	0.24257	0.248075
1972	91	0.27517	0.25655	0.26586
1972	92	0.29786	0.27105	0.284455
1972	93	0.32159	0.28605	0.30382
1972	94	0.34628	0.30155	0.323915
1972	95	0.37182	0.3175	0.34466
1972	96	0.39811	0.3339	0.366005
1972	97	0.42499	0.35071	0.38785
1972	98	0.45233	0.3679	0.410115
1972	99	0.47995	0.38543	0.43269
1972	100	0.5077	0.40326	0.45548
1972	101	0.5354	0.42135	0.478375
1972	102	0.56289	0.43966	0.501275
1972	103	0.58999	0.45813	0.52406
1972	104	0.61656	0.47672	0.54664
1972	105	0.64245	0.49537	0.56891
1972	106	0.66753	0.51404	0.590785
1972	107	0.6917	0.53266	0.61218
1972	108	0.71487	0.5512	0.633035
1972	109	0.73695	0.56959	0.65327
1972	110+	0.7579	0.5878	0.67285
1973	0	0.01361	0.0155	0.014555
1973	1	0.00324	0.00337	0.003305
1973	2	0.00197	0.00226	0.002115
1973	3	0.00132	0.00144	0.00138
1973	4	0.00096	0.00108	0.00102
1973	5	0.00071	0.00091	0.00081
1973	6	0.00051	0.00074	0.000625
1973	7	0.00036	0.00062	0.00049
1973	8	0.00028	0.00056	0.00042
1973	9	0.00027	0.00052	0.000395
1973	10	0.0003	0.00054	0.00042
1973	11	0.00035	0.00058	0.000465
1973	12	0.0004	0.00063	0.000515
1973	13	0.00046	0.0007	0.00058
1973	14	0.00052	0.0008	0.00066
1973	15	0.00059	0.00093	0.00076
1973	16	0.00065	0.00103	0.00084
1973	17	0.00068	0.00111	0.000895
1973	18	0.00074	0.00124	0.00099
1973	19	0.0008	0.00138	0.00109
1973	20	0.00083	0.00149	0.00116
1973	21	0.00083	0.00152	0.001175
1973	22	0.00087	0.00163	0.00125
1973	23	0.00093	0.00176	0.001345
1973	24	0.00095	0.00179	0.00137
1973	25	0.00097	0.0018	0.001385
1973	26	0.00103	0.00193	0.00148
1973	27	0.00113	0.00214	0.001635
1973	28	0.00108	0.00208	0.00158
1973	29	0.00102	0.00201	0.001515
1973	30	0.00108	0.00218	0.00163
1973	31	0.00116	0.00236	0.00176
1973	32	0.00124	0.00247	0.001855
1973	33	0.00136	0.00262	0.00199
1973	34	0.00154	0.00282	0.00218
1973	35	0.00173	0.00299	0.00236
1973	36	0.00188	0.00316	0.00252
1973	37	0.00201	0.0034	0.002705
1973	38	0.00214	0.00367	0.002905
1973	39	0.0023	0.00399	0.003145
1973	40	0.00241	0.00431	0.00336
1973	41	0.0025	0.00444	0.00347
1973	42	0.00261	0.00449	0.00355
1973	43	0.00283	0.00467	0.00375
1973	44	0.00305	0.00495	0.004
1973	45	0.00335	0.00519	0.00427
1973	46	0.00366	0.00553	0.004595
1973	47	0.00398	0.00589	0.004935
1973	48	0.00444	0.00654	0.00549
1973	49	0.00487	0.00745	0.00616
1973	50	0.00513	0.00809	0.00661
1973	51	0.00531	0.00843	0.00687
1973	52	0.00594	0.00941	0.007675
1973	53	0.0069	0.01109	0.008995
