The United				
				
Year	Age	Female	Male	Total
1933	0	0.05418	0.06818	0.06118
1933	1	0.00887	0.01004	0.009455
1933	2	0.00402	0.00467	0.004345
1933	3	0.00287	0.00333	0.0031
1933	4	0.00223	0.00254	0.002385
1933	5	0.00185	0.00209	0.00197
1933	6	0.00164	0.0019	0.00177
1933	7	0.00147	0.00174	0.001605
1933	8	0.00132	0.00161	0.001465
1933	9	0.00119	0.00151	0.00135
1933	10	0.0011	0.00144	0.00127
1933	11	0.00106	0.00141	0.001235
1933	12	0.0011	0.00146	0.00128
1933	13	0.00121	0.00158	0.001395
1933	14	0.00139	0.00177	0.00158
1933	15	0.00163	0.00201	0.00182
1933	16	0.00187	0.00225	0.00206
1933	17	0.0021	0.00248	0.00229
1933	18	0.00233	0.00271	0.00252
1933	19	0.00256	0.00293	0.002745
1933	20	0.00279	0.00315	0.00297
1933	21	0.00299	0.00334	0.003165
1933	22	0.00316	0.0035	0.00333
1933	23	0.0033	0.00362	0.00346
1933	24	0.0034	0.00369	0.003545
1933	25	0.00346	0.00373	0.003595
1933	26	0.00353	0.00379	0.00366
1933	27	0.0036	0.00386	0.00373
1933	28	0.00367	0.00395	0.00381
1933	29	0.00374	0.00407	0.003905
1933	30	0.00381	0.00421	0.00401
1933	31	0.00392	0.00438	0.00415
1933	32	0.00406	0.00461	0.004335
1933	33	0.00426	0.00488	0.00457
1933	34	0.0045	0.0052	0.00485
1933	35	0.00476	0.00554	0.00515
1933	36	0.00497	0.00584	0.005405
1933	37	0.00513	0.00609	0.00561
1933	38	0.00525	0.00633	0.00579
1933	39	0.00536	0.00657	0.005965
1933	40	0.00549	0.00685	0.00617
1933	41	0.00571	0.00724	0.006475
1933	42	0.00603	0.00774	0.006885
1933	43	0.00643	0.00831	0.00737
1933	44	0.00688	0.00894	0.00791
1933	45	0.00739	0.00962	0.008505
1933	46	0.0079	0.01033	0.009115
1933	47	0.00844	0.01106	0.00975
1933	48	0.00902	0.01184	0.01043
1933	49	0.00966	0.01269	0.011175
1933	50	0.01035	0.01359	0.01197
1933	51	0.01105	0.01448	0.012765
1933	52	0.01172	0.01536	0.01354
1933	53	0.01237	0.01621	0.01429
1933	54	0.013	0.01706	0.01503
1933	55	0.01367	0.01797	0.01582
1933	56	0.01455	0.01914	0.016845
1933	57	0.01568	0.02064	0.01816
1933	58	0.0171	0.02249	0.019795
1933	59	0.01882	0.02472	0.02177
1933	60	0.02078	0.02723	0.024005
1933	61	0.02273	0.02964	0.026185
1933	62	0.0246	0.03186	0.02823
1933	63	0.02641	0.0339	0.030155
1933	64	0.02819	0.03579	0.03199
1933	65	0.03005	0.03769	0.03387
1933	66	0.03237	0.0402	0.036285
1933	67	0.03531	0.04355	0.03943
1933	68	0.03894	0.04783	0.043385
1933	69	0.04334	0.05317	0.048255
1933	70	0.04843	0.05941	0.05392
1933	71	0.05354	0.06548	0.05951
1933	72	0.05845	0.07101	0.06473
1933	73	0.06319	0.07603	0.06961
1933	74	0.06752	0.08023	0.073875
1933	75	0.07115	0.0834	0.077275
1933	76	0.0774	0.08972	0.08356
1933	77	0.08465	0.09729	0.09097
1933	78	0.09297	0.1062	0.099585
1933	79	0.10222	0.11639	0.109305
1933	80	0.10907	0.12746	0.118265
1933	81	0.11917	0.13947	0.12932
1933	82	0.12952	0.15187	0.140695
1933	83	0.14017	0.16464	0.152405
1933	84	0.15125	0.17768	0.164465
1933	85	0.16275	0.19078	0.176765
1933	86	0.17554	0.20481	0.190175
1933	87	0.19	0.22005	0.205025
1933	88	0.20543	0.23591	0.22067
1933	89	0.22102	0.25102	0.23602
1933	90	0.23599	0.26354	0.249765
1933	91	0.24931	0.27215	0.26073
1933	92	0.26095	0.27624	0.268595
1933	93	0.27114	0.27574	0.27344
1933	94	0.27893	0.27551	0.27722
1933	95	0.30115	0.33441	0.31778
1933	96	0.31851	0.35224	0.335375
1933	97	0.33639	0.3705	0.353445
1933	98	0.35475	0.38914	0.371945
1933	99	0.37355	0.40811	0.39083
1933	100	0.39274	0.42735	0.410045
1933	101	0.41226	0.44682	0.42954
1933	102	0.43207	0.46645	0.44926
1933	103	0.45209	0.48618	0.469135
1933	104	0.47227	0.50596	0.489115
1933	105	0.49254	0.52572	0.50913
1933	106	0.51284	0.5454	0.52912
1933	107	0.53309	0.56494	0.549015
1933	108	0.55324	0.58428	0.56876
1933	109	0.57321	0.60336	0.588285
1933	110+	0.59295	0.62213	0.60754
1934	0	0.06021	0.07648	0.068345
1934	1	0.00989	0.01121	0.01055
1934	2	0.00454	0.00516	0.00485
1934	3	0.00298	0.00347	0.003225
1934	4	0.00224	0.00266	0.00245
1934	5	0.00186	0.00219	0.002025
1934	6	0.00167	0.00197	0.00182
1934	7	0.0015	0.00179	0.001645
1934	8	0.00135	0.00165	0.0015
1934	9	0.00123	0.00154	0.001385
1934	10	0.00115	0.00146	0.001305
1934	11	0.00111	0.00144	0.001275
1934	12	0.00114	0.00147	0.001305
1934	13	0.00123	0.00159	0.00141
1934	14	0.0014	0.00178	0.00159
1934	15	0.00162	0.00203	0.001825
1934	16	0.00185	0.00229	0.00207
1934	17	0.00208	0.00253	0.002305
1934	18	0.0023	0.00277	0.002535
1934	19	0.00252	0.00301	0.002765
1934	20	0.00274	0.00324	0.00299
1934	21	0.00293	0.00344	0.003185
1934	22	0.0031	0.00359	0.003345
