"","Popx","YEAR","Sexx","x","nx","ax","mx","qx","lx","dx","Lx","Tx","ex","mx_l","mx_u","mx_s"
"0","AUS",2020,"m",0,1,0.14,0.0032913,0.003282,100000,328,99717,8148966,81.49,0.0031399,0.0034499,0.0000791
"1","AUS",2020,"m",1,1,0.5,0.000244,0.000244,99672,24,99660,8049249,80.758,0.0002311,0.0002577,0.0000068
"2","AUS",2020,"m",2,1,0.5,0.0001396,0.0001396,99647,14,99641,7949590,79.777,0.0001297,0.0001502,0.0000052
"3","AUS",2020,"m",3,1,0.5,0.0001082,0.0001082,99634,11,99628,7849949,78.788,0.0001014,0.0001155,0.0000036
"4","AUS",2020,"m",4,1,0.5,0.0000911,0.0000911,99623,9,99618,7750321,77.797,0.0000861,0.0000964,0.0000026
"5","AUS",2020,"m",5,1,0.5,0.0000782,0.0000782,99614,8,99610,7650703,76.804,0.0000732,0.0000836,0.0000027
"6","AUS",2020,"m",6,1,0.5,0.0000663,0.0000663,99606,7,99603,7551093,75.81,0.0000618,0.0000711,0.0000024
"7","AUS",2020,"m",7,1,0.5,0.0000687,0.0000687,99599,7,99596,7451490,74.815,0.0000645,0.0000732,0.0000022
"8","AUS",2020,"m",8,1,0.5,0.0000807,0.0000807,99592,8,99588,7351894,73.82,0.0000791,0.0000824,0.0000008
"9","AUS",2020,"m",9,1,0.5,0.00007,0.00007,99584,7,99581,7252306,72.826,0.0000663,0.0000739,0.0000019
"10","AUS",2020,"m",10,1,0.5,0.0000686,0.0000686,99577,7,99574,7152725,71.831,0.0000651,0.0000724,0.0000019
"11","AUS",2020,"m",11,1,0.5,0.0000607,0.0000607,99571,6,99568,7053151,70.836,0.0000577,0.0000638,0.0000015
"12","AUS",2020,"m",12,1,0.5,0.0000823,0.0000823,99565,8,99561,6953583,69.84,0.0000784,0.0000864,0.0000021
"13","AUS",2020,"m",13,1,0.5,0.0001133,0.0001133,99556,11,99551,6854023,68.846,0.0001096,0.0001171,0.0000019
"14","AUS",2020,"m",14,1,0.5,0.0001286,0.0001286,99545,13,99539,6754472,67.853,0.0001245,0.0001328,0.0000021
"15","AUS",2020,"m",15,1,0.5,0.0001896,0.0001896,99532,19,99523,6654933,66.862,0.0001825,0.0001971,0.0000037
"16","AUS",2020,"m",16,1,0.5,0.0002238,0.0002237,99513,22,99502,6555410,65.875,0.0002118,0.0002364,0.0000063
"17","AUS",2020,"m",17,1,0.5,0.000354,0.0003539,99491,35,99474,6455908,64.889,0.0003351,0.0003739,0.0000099
"18","AUS",2020,"m",18,1,0.5,0.0004525,0.0004524,99456,45,99433,6356434,63.912,0.000428,0.0004785,0.0000129
"19","AUS",2020,"m",19,1,0.5,0.0005016,0.0005015,99411,50,99386,6257001,62.941,0.0004766,0.000528,0.0000131
"20","AUS",2020,"m",20,1,0.5,0.0005299,0.0005297,99361,53,99335,6157615,61.972,0.0005056,0.0005554,0.0000127
"21","AUS",2020,"m",21,1,0.5,0.0005136,0.0005134,99308,51,99283,6058280,61.005,0.0004871,0.0005415,0.0000139
"22","AUS",2020,"m",22,1,0.5,0.0004956,0.0004955,99258,49,99233,5958997,60.036,0.0004726,0.0005196,0.000012
"23","AUS",2020,"m",23,1,0.5,0.0005358,0.0005357,99208,53,99182,5859764,59.065,0.0005087,0.0005645,0.0000142
"24","AUS",2020,"m",24,1,0.5,0.0005337,0.0005336,99155,53,99129,5760582,58.097,0.0005057,0.0005633,0.0000147
"25","AUS",2020,"m",25,1,0.5,0.0005368,0.0005367,99102,53,99076,5661454,57.127,0.000506,0.0005696,0.0000162
"26","AUS",2020,"m",26,1,0.5,0.0005826,0.0005824,99049,58,99020,5562378,56.158,0.000555,0.0006116,0.0000144
"27","AUS",2020,"m",27,1,0.5,0.0005846,0.0005844,98991,58,98962,5463358,55.19,0.000556,0.0006147,0.000015
"28","AUS",2020,"m",28,1,0.5,0.0005892,0.000589,98934,58,98904,5364395,54.222,0.0005597,0.0006202,0.0000154
"29","AUS",2020,"m",29,1,0.5,0.0006274,0.0006272,98875,62,98844,5265491,53.254,0.0005953,0.0006612,0.0000168
"30","AUS",2020,"m",30,1,0.5,0.0006756,0.0006754,98813,67,98780,5166647,52.287,0.0006462,0.0007064,0.0000154
"31","AUS",2020,"m",31,1,0.5,0.0006681,0.0006679,98747,66,98714,5067867,51.322,0.0006359,0.0007019,0.0000168
"32","AUS",2020,"m",32,1,0.5,0.0007773,0.000777,98681,77,98642,4969153,50.356,0.0007476,0.0008082,0.0000155
"33","AUS",2020,"m",33,1,0.5,0.0008049,0.0008046,98604,79,98564,4870511,49.395,0.0007767,0.0008341,0.0000146
