"","Popx","YEAR","Sexx","x","nx","ax","mx","qx","lx","dx","Lx","Tx","ex","mx_l","mx_u","mx_s","EE","EElo","EEhi"
"1","AUS",2020,"m",0,1,0.14,0.0032913,0.003282,100000,328,99717,8148966,81.49,0.0031399,0.0034499,0.0000791,81.4887707176316,81.4440806483393,81.5368591280601
"2","AUS",2020,"m",1,1,0.5,0.000244,0.000244,99672,24,99660,8049249,80.758,0.0002311,0.0002577,0.0000068,80.7564966916147,80.7117668300651,80.8017680362581
"3","AUS",2020,"m",2,1,0.5,0.0001396,0.0001396,99647,14,99641,7949590,79.777,0.0001297,0.0001502,0.0000052,79.7760734545451,79.7313726917025,79.8215914665329
"4","AUS",2020,"m",3,1,0.5,0.0001082,0.0001082,99634,11,99628,7849949,78.788,0.0001014,0.0001155,0.0000036,78.7871393091587,78.7423342394034,78.8324563911707
"5","AUS",2020,"m",4,1,0.5,0.0000911,0.0000911,99623,9,99618,7750321,77.797,0.0000861,0.0000964,0.0000026,77.7956049116896,77.7510440593719,77.8409802374647
"6","AUS",2020,"m",5,1,0.5,0.0000782,0.0000782,99614,8,99610,7650703,76.804,0.0000732,0.0000836,0.0000027,76.802641674414,76.7580526356031,76.8479980790739
"7","AUS",2020,"m",6,1,0.5,0.0000663,0.0000663,99606,7,99603,7551093,75.81,0.0000618,0.0000711,0.0000024,75.8086119710578,75.7641924368774,75.8541282269027
"8","AUS",2020,"m",7,1,0.5,0.0000687,0.0000687,99599,7,99596,7451490,74.815,0.0000645,0.0000732,0.0000022,74.813605174036,74.7691453441299,74.8590882468326
"9","AUS",2020,"m",8,1,0.5,0.0000807,0.0000807,99592,8,99588,7351894,73.82,0.0000791,0.0000824,0.0000008,73.8187108839041,73.7743675615049,73.8643303179517
"10","AUS",2020,"m",9,1,0.5,0.00007,0.00007,99584,7,99581,7252306,72.826,0.0000663,0.0000739,0.0000019,72.8246276153009,72.7802186814163,72.8702078458486
"11","AUS",2020,"m",10,1,0.5,0.0000686,0.0000686,99577,7,99574,7152725,71.831,0.0000651,0.0000724,0.0000019,71.8296900760771,71.7853586732237,71.8751783305894
"12","AUS",2020,"m",11,1,0.5,0.0000607,0.0000607,99571,6,99568,7053151,70.836,0.0000577,0.0000638,0.0000015,70.8345872976485,70.79022327374,70.8801150151894
"13","AUS",2020,"m",12,1,0.5,0.0000823,0.0000823,99565,8,99561,6953583,69.84,0.0000784,0.0000864,0.0000021,69.8388580688497,69.7945690028417,69.8845245374658
"14","AUS",2020,"m",13,1,0.5,0.0001133,0.0001133,99556,11,99551,6854023,68.846,0.0001096,0.0001171,0.0000019,68.844560641997,68.8001062729395,68.8900606655677
"15","AUS",2020,"m",14,1,0.5,0.0001286,0.0001286,99545,13,99539,6754472,67.853,0.0001245,0.0001328,0.0000021,67.8523028472164,67.807815070725,67.897735941489
"16","AUS",2020,"m",15,1,0.5,0.0001896,0.0001896,99532,19,99523,6654933,66.862,0.0001825,0.0001971,0.0000037,66.8609701819252,66.8164566391543,66.906452390256
"17","AUS",2020,"m",16,1,0.5,0.0002238,0.0002237,99513,22,99502,6555410,65.875,0.0002118,0.0002364,0.0000063,65.8735602631281,65.8291226258222,65.9191420833221
"18","AUS",2020,"m",17,1,0.5,0.000354,0.0003539,99491,35,99474,6455908,64.889,0.0003351,0.0003739,0.0000099,64.8881930866638,64.8438779222961,64.9339682805481
"19","AUS",2020,"m",18,1,0.5,0.0004525,0.0004524,99456,45,99433,6356434,63.912,0.000428,0.0004785,0.0000129,63.9109980811918,63.8661672628412,63.9568194082207
"20","AUS",2020,"m",19,1,0.5,0.0005016,0.0005015,99411,50,99386,6257001,62.941,0.0004766,0.000528,0.0000131,62.9396570745983,62.895268608502,62.9852432500032
"21","AUS",2020,"m",20,1,0.5,0.0005299,0.0005297,99361,53,99335,6157615,61.972,0.0005056,0.0005554,0.0000127,61.9709854830642,61.9258246216613,62.0160853389179
"22","AUS",2020,"m",21,1,0.5,0.0005136,0.0005134,99308,51,99283,6058280,61.005,0.0004871,0.0005415,0.0000139,61.0035989339361,60.9587285090186,61.0489915625199
